"EC_number","LigandID","Commentary"
"2.4.99.17",2953,"100% activity in the presence of 25 mM carbonate"
"2.4.99.17",293,"activity is highest in the presence of 0.2 mg/ml DNA"
"2.4.99.17",21,"100% activity in the presence of 100 mM EDTA"
"2.4.99.17",1803,"100% activity in the presence of 750 mM sodium acetate"
"2.5.1.6",404,"enhances tripolyphosphatase activity"
"2.5.1.7",45,"included in the assay reaction mixture"
"2.5.1.31",650,""
"2.5.1.31",31076,"0.01 microM of UPPs with 5 microM of (2E,6E)-farnesyl diphosphate and 50 microM of isopentenyl diphosphate, 0.5 mM MgCl2, and 50 mM KCl in Hepes buffer (pH 7.5) is 190fold less active (0.013 s-1) for the IPP consumption in the absence of Triton; the UPPs steady-state kcat value in the presence of 0.1% Triton is 190fold larger than in the absence of Triton"
"2.5.1.31",61,"no activity in absence; no activity in the activation by Triton X-100 is almost saturated at a concentration of 0.02%"
"2.5.1.31",61,"1.5% v/v, 2 molecules are bound in the active site tunnel of the beta-subunit, binding structure"
"2.5.1.31",61,""
"2.5.1.B36",1352,"presence of reducing agents is essential, and dithionite is most effective among reagents tested"
"2.5.1.39",1137,"46% increase at 0.01%"
"2.5.1.47",45,"slight activation"
"2.5.1.47",67,"slight activation"
"2.5.1.54",63,"activates"
"2.5.1.54",2,"sulfhydryl groups and possibly a Lys residue may be implicated in activity"
"2.5.1.54",2,"enzyme uses divalent metal ion to activate a phosphorylated carbohydrate-like substrate"
"2.5.1.55",21,"1 mM, 40% stimulation"
"2.5.1.55",21,""
"2.5.1.90",61,"presence can accelerate the steady-state rate by 3fold"
"2.6.1.85",755,"prevents loss of activity"
"2.6.1.85",45809,""
"2.6.1.102",32,"pyridoxal 5'-phosphate dependent aminotransferase"
"2.7.1.11",13,""
"2.7.1.11",53,"activation"
"2.7.1.11",53,""
"2.7.1.11",108,"the apparent Km for MgATP2- is 0.022 mM"
"2.7.1.11",2,""
"2.7.1.11",54,""
"2.7.1.11",54,"can replace K+"
"2.7.1.15",54,"activates"
"2.7.1.21",274,"activation at 0.2 mg/ml"
"2.7.1.21",1124,"activation"
"2.7.1.21",179,"activation"
"2.7.1.21",37,"activation"
"2.7.1.21",93657,"activation"
"2.7.1.21",93658,"activation"
"2.7.1.21",2,"Km values of allosteric regulators"
"2.7.1.25",94,"activation"
"2.7.1.25",45,"activation"
"2.7.1.25",44,"reduced glutathione increases the activity significantly"
"2.7.1.25",74,"activation"
"2.7.1.25",2,"not activated by 2-mercaptoethanol"
"2.7.1.25",121,"activation in the presence of dithiothreitol"
"2.7.1.29",2,"the DhaR transcription factor stimulates the transcription of the dhaKLM operon from a sigma70 promotor and autorepresses expression of DhaR"
"2.7.1.33",45,"activation"
"2.7.1.39",54,"30% of the activity obtained with 0.5 M K+"
"2.7.1.40",106,"heterotropic activator of PK1, the modulation of oligomeric state by the allosteric effector D-fructose 1,6-bisphosphate does not occur at a concentration of 10 nM or above"
"2.7.1.40",583,"activation"
"2.7.1.40",105,"isozyme PK II"
"2.7.1.40",183,"activation; isozyme PK II"
"2.7.1.40",183,""
"2.7.1.40",51,"homotropic activator of PK1, the modulation of oligomeric state by the allosteric effector phosphoenolpyruvate does not occur at a concentration of 10 nM or above"
"2.7.1.69",2491,"purified enzyme is dependent on Lubrol PX and phospholipids for maximal activity"
"2.7.1.69",845,"purified enzyme is dependent on Lubrol PX and phospholipids for maximal activity"
"2.7.1.69",172447,"Escherichia coli gene sgrS encodes a small peptide consisting of 43 amino-acids, which is named SgrT. Overproduction of SgrT alone causes a dramatic reduction of cell growth in minimal medium with glucose as a sole carbon source, which indicates a negative effect on the activity of the glucose-PTS, post-transcriptional regulation of the glucose–PTS activity by the sgrRST-system, overview. The small peptide inhibits the transport mechanism of a group of EII proteins, Inhibition requires the highly conserved -LKTPGRED motif between the two functional domains of the EIICBGlc, P384R single amino-acid substitution in EIICBGlc that causes complete release of SgrT inhibition"
"2.7.1.73",39,"the enzyme requires both Mg2+ and K+"
"2.7.1.73",6,"enzyme requires both Mg2+ and K+"
"2.7.1.89",4,"dependent on the presence of"
"2.7.1.94",6071,"no absolute requirement, optimal concentration: 0.1%"
"2.7.1.107",21922,"activates"
"2.7.1.107",6409,"activates"
"2.7.1.107",112221,"half-maximal activation at 21.9 mol%"
"2.7.1.107",31291,"activates"
"2.7.1.107",113152,"half-maximal activation at 3.9 mol%"
"2.7.1.107",813,"mitochondrial, half-maximal activation at 2.3 mol%"
"2.7.1.107",813,"good activator"
"2.7.1.107",813,"activates"
"2.7.1.107",6106,"activates"
"2.7.1.107",113306,"half-maximal activation at 13.5 mol%"
"2.7.1.107",112044,"the enzyme apoprotein is attributed to a novel feedback activation involving diacylglycerol 3-phosphate"
"2.7.1.107",113330,"activates"
"2.7.1.107",113331,"activates"
"2.7.1.107",113332,"activates"
"2.7.1.107",113333,"activates"
"2.7.1.107",9154,"half-maximal activation at 11.9 mol%"
"2.7.1.107",113335,"activates"
"2.7.1.107",113337,"activates"
"2.7.1.107",8233,"half-maximal activation at 10.4 mol%"
"2.7.1.107",113339,"half-maximal activation at 6.3 mol%"
"2.7.1.107",51151,"activates only in presence of Triton X-100"
"2.7.1.107",1379,"activates"
"2.7.1.107",113620,"half-maximal activation at 17.3 mol%"
"2.7.1.107",113621,"activates"
"2.7.1.107",51760,"activates in presence of 11 mM Triton X-100"
"2.7.1.107",3254,"purified enzyme is completely inactive unless a lipid is added to the assay buffer containing Triton X-100"
"2.7.1.107",3685,"activates"
"2.7.1.107",9438,"activates"
"2.7.1.107",113819,"activates"
"2.7.1.107",113821,"activates"
"2.7.1.107",113952,"activates in presence of 11 mM Triton X-100"
"2.7.1.107",114105,"activates"
"2.7.1.107",7505,"activates"
"2.7.1.107",44626,"activates in presence of 11 mM Triton X-100"
"2.7.1.107",380,"activates only in presence of Triton X-100"
"2.7.1.107",114179,"activates"
"2.7.1.107",535,"activates only in presence of Triton X-100"
"2.7.1.107",491,"activates only in presence of Triton X-100"
"2.7.1.107",20850,"good activator"
"2.7.1.107",215,""
"2.7.1.107",215,"activates"
"2.7.1.107",114227,"half-maximal activation at 7.3 mol%"
"2.7.1.107",513,"activates only in presence of Triton X-100"
"2.7.1.107",513,"plus cardiolipin, activates"
"2.7.1.107",430,"activates"
"2.7.1.107",430,""
"2.7.1.107",430,"good activator"
"2.7.1.107",4556,"half-maximal activation at 22.4 mol%"
"2.7.1.107",114463,"half-maximal activation at 2.7 mol%"
"2.7.1.107",4868,"activates"
"2.7.1.107",16871,"activates"
"2.7.1.107",1358,"activates"
"2.7.1.107",114445,"half-maximal activation at 9.8 mol%"
"2.7.1.107",44828,"activates"
"2.7.1.107",1359,"activates only in presence of Triton X-100"
"2.7.1.107",114456,"half-maximal activation at 15.8 mol%"
"2.7.1.107",61,"activates"
"2.7.1.130",813,"other phospholipids including phosphatidylethanolamine, phosphatidylserine, phosphatidylcholine and phosphatidylglycerol are not as effective as cardiolipin"
"2.7.1.136",5148,"crude cell extracts from cells treated with erythromycin show increased activity"
"2.7.3.9",51,"physiological concentrations of phosphoenolpyruvate and Mg2+ increase the amount of dimeric, active dephospho-enzyme I"
"2.7.4.1",399,""
"2.7.4.1",399,"activation, up to 100 mM, inhibition at higher concentrations"
"2.7.4.1",399,"40 mM, approx. 14fold activation of ATP synthesis"
"2.7.4.1",7535,"activation"
"2.7.4.1",274,"activation, can substitute for histone only in the absence of phosphate"
"2.7.4.1",738,"activation, can substitute for histone only in the absence of phosphate"
"2.7.4.1",17,"10 mM, 100% activation of guanosine 5'-tetraphosphate synthesis"
"2.7.4.1",5552,"5 mM, 20% activation of guanosine 5'-tetraphosphate synthesis"
"2.7.4.1",1017,"maximum activation in the presence of 20 mM phosphate; strong inhibition of reverse reaction"
"2.7.4.1",16,"inhibiton above 20 mM; required for activity, only in the presence of histone"
"2.7.4.1",1289,""
"2.7.4.1",1289,"required for maximal activity"
"2.7.4.1",3366,"activation, removes lag-phase in synthesis at low ATP-levels, not phosphate, diphosphate or tripolyphosphate"
"2.7.4.22",18295,""
"2.7.4.22",156315,""
"2.7.4.22",18293,""
"2.7.4.22",342,"lower affinity or extent of activation than GTP"
"2.7.4.22",219,"lower affinity or extent of activation than GTP"
"2.7.4.22",219,""
"2.7.4.22",129911,"slight stimulatory effect, 30% maximal increase in UMP-kinase activity"
"2.7.4.22",162,"lower affinity or extent of activation than GTP"
"2.7.4.22",18294,""
"2.7.4.22",37,"activates only the wild-type, not the mutant D201N"
"2.7.4.22",37,"most effective at pH 8 and a high (1 mM) UMP concentration"
"2.7.4.22",37,"0.5 mM, reverses the inhibition of excess UMP, it increases the affinity for ATP"
"2.7.4.22",37,"; allosteric activator, the GTP-binding site, situated at 15 A from the UMP-binding site and at 24 A from the ATP-binding site, is delineated by two contiguous dimers. movements induced by binding GTP, overview. UTP and GTP are tightly coupled in both wild-type enzyme and N140A variant"
"2.7.4.22",37,""
"2.7.4.22",296,"lower affinity or extent of activation than GTP"
"2.7.4.22",229,""
"2.7.4.22",1941,""
"2.7.6.5",69,"little activity unless activated either by a complex of 70S ribosomes, mRNA and uncharged tRNA or by a solvent like ethanol at approximately 20%"
"2.7.6.5",2,"little activity unless activated either by a complex of 70S ribosomes, mRNA and uncharged tRNA or by a solvent like ethanol at approximately 20%"
"2.7.6.5",2,"addition of template, unacylated tRNA and ribosomes to the activity assay stimulates SF 30fold when using optimal conditions, activity of SF increases threefold in the presence of twice salt-washed tight-couple ribosomes and twofold in the presence of reassociated ribosomes compared to the endogenous activity of the enzyme"
"2.7.6.5",2,"ribosome complexes formed with tight binding tRNAVal stimulate enzyme activity at lower concentrations than that required for ribosome complexes formed with the weaker binding tRNAPhe"
"2.7.6.5",7378,"little activity unless activated either by a complex of 70S ribosomes, mRNA and uncharged tRNA or by a solvent like ethanol at approximately 20%"
"2.7.6.5",127690,"in the ribosomal amino-acyl site (A-site)"
"2.7.7.1",329,"activation, can substitute for KCl"
"2.7.7.B3",147702,"requirement for a heat-stable soluble activator present in bacterial extracts"
"2.7.7.6",297,"glutamate remodels the sigma38 transcription complex for activation. Accumulation of the simple signaling molecule glutamate can reprogram RNA polymerase in vitro without the need for specific protein receptors. During osmotic activation, glutamate appears to act as a Hofmeister series osmolyte to facilitate promoter escape. Escape is accompanied by a remodeling of the key interaction between the sigma38 stress protein and the beta-flap of the bacterial core RNA polymerase. This activation event contrasts with the established mechanism of inhibition in which glutamate, by virtue of its electrostatic properties, helps to inhibit binding to ribosomal promoters after osmotic shock"
"2.7.7.6",2,"interaction of elongation factors with RNAP, such as NusG and RfaH, affects the frequency and duration of pausing during transcription"
"2.7.7.6",2,"RNAP contains the vegetative sigma subunit sigma70 (RpoD) and/or the flagellar sigma factor sigma28 (FliA)"
"2.7.7.6",5207,"activates"
"2.7.7.6",156318,"activates"
"2.7.7.6",16886,"activates"
"2.7.7.6",12826,"activates highly, role of potassium ion in the activation of osmotic transcription"
"2.7.7.6",32713,"activates"
"2.7.7.6",13818,"in response to the Rho termination factor, RNA synthesis ceases and the completed transcript is released"
"2.7.7.6",156326,"a dissociable specificity sigma factor, regulated by factors such as anti-sigma factors, which can sequester r factors and prevent core association, and possibly by factors that enhance sigma-core association"
"2.7.7.6",172456,"the sigma factor increases the transcription efficiency of templates with nonphysiological nonprokaryotic promoters"
"2.7.7.7",63,""
"2.7.7.7",63,"required for maximal activity"
"2.7.7.7",98425,"pol III can repair short gaps created by nuclease in duplex DNA, for efficient replication of the long, single-stranded templates pol III requires auxiliary subunits beta, gamma and delta"
"2.7.7.7",177,""
"2.7.7.7",177,"required for maximal activity"
"2.7.7.7",2,"two factors are essential for efficient Pol V-mediated lesion bypass: 1. a DNA substrate onto which the beta-clamp is stably loaded and 2. an extended single-stranded RecA/ATP filament assembled downstream from the lesion site. For efficient bypass, Pol V needs to interact simultaneously with the beta-clamp and the 3' tip of the RecA filament"
"2.7.7.7",2,"the DNA polymerase V is comprised by the UmuD'2C protein complex. Pol V activity depends on the beta-clamp and gamma-clamp loaders UmuC and UmuD'2, overview. Pol V shows robust activity on an SSB-coated circular DNA template in the presence of the beta/gamma-complex and a RecA nucleoprotein filament formed in trans"
"2.7.7.7",9648,"DNA polymerase V is activated by a RecA nucleoprotein filament, RecA transfers a single RecA-ATP stoichiometrically from its DNA 3'-end to free pol V (UmuD'2C) to form an active mutasome with the composition UmuD'2C-RecA-ATP"
"2.7.7.7",172457,"SSB protein, Pol V has intrinsically weak DNA polymerase activity, but its catalytic activity can be stimulated in vitro in the presence the beta-processivity clamp, RecA protein bound to ssDNA, and single-stranded-binding protein"
"2.7.7.8",131,"a PNPase-mediated response to citrate, and PNPase deletion broadly impacts on the metabolome. PNPase-dependent cells show reduced growth in the presence of increased citrate concentration. In vitro, citrate directly binds and modulates PNPase activity, and the enzyme is inhibited by binding of metal-chelated citrate, predominantly complexed as magnesium-citrate, in the active site at physiological concentrations. In the contrary, metal-free citrate is bound at a vestigial active site, where it stimulates PNPase activity, this vestigial site as an allosteric binding pocket that recognizes metal-free citrate"
"2.7.7.8",17,"activation of PNPase RNA synthesis activity at very low concentrations of phosphate"
"2.7.7.8",16,"1-10 mM, strong activation of PNPase exonuclease activity"
"2.7.7.8",16,""
"2.7.7.8",148,"0.1-1.0 mM, activates ADP-phosphate exchange 2fold"
"2.7.7.8",197,"0.1-1.0 mM, activates ADP-phosphate exchange 2fold"
"2.7.7.12",63,"2fold at 10 mM"
"2.7.7.12",153,"requirement"
"2.7.7.12",153,"activation; requirement"
"2.7.7.19",5478,"slight stimulation"
"2.7.7.19",127691,"Hfq-PAP I interaction facilitates RNA recognition by PAP I"
"2.7.7.27",1269,"activation; D-fructose 1,6-bisphosphate analog, most effective"
"2.7.7.27",1269,""
"2.7.7.27",1482,"activation; fructose 6-phosphate and pyruvate analog, less effective than fructose bisphosphate"
"2.7.7.27",371,"slight activation, pyruvate analog"
"2.7.7.27",194,"activation"
"2.7.7.27",194,"activation; pH-dependent"
"2.7.7.27",194,""
"2.7.7.27",91772,"activation"
"2.7.7.27",13,"activation, less effective than 3-phosphoglycerate"
"2.7.7.27",30,"activation, less effective than 3-phosphoglycerate"
"2.7.7.27",30,""
"2.7.7.27",93028,"activation"
"2.7.7.27",106,"allosteric activator"
"2.7.7.27",106,"allosteric activator; most important in vivo"
"2.7.7.27",106,"mainly Escherichia coli and chimeric enzyme AE containing the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme, not chimeric enzyme EA containing the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme, C-terminus of Escherichia coli is relavant for the selectivity"
"2.7.7.27",106,""
"2.7.7.27",106,"50% activation at 0.0364 mM for wild-type, at 0.0523 mM for mutant lacking N-terminal 3 amino acids, at 0.0887 mM for mutant lacking N-terminal 7 amino acids"
"2.7.7.27",583,"50% of maximal activation at 0.059 for wild-type"
"2.7.7.27",87,"activation"
"2.7.7.27",87,"mainly Agrobacterium tumefaciens and chimeric enzyme AE containing the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme, not chimeric enzyme EA containing the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme"
"2.7.7.27",87,""
"2.7.7.27",105,"activation"
"2.7.7.27",105,""
"2.7.7.27",183,"D-fructose 6-phosphate analog"
"2.7.7.27",113272,"activation"
"2.7.7.27",1398,"activation, D-fructose 6-phosphate analog"
"2.7.7.27",574,"less effective than fructose bisphosphate"
"2.7.7.27",93541,"activation"
"2.7.7.27",389,"slight activation, pyruvate analog"
"2.7.7.27",2,"activator/inhibitor interaction in vivo and in vitro; effector binding studies, structural requirements for an activator"
"2.7.7.27",2,"ADP-glucose diphosphorylase comprises two domains with a strong interaction between them. That interaction is important for allosteric properties and structural stability"
"2.7.7.27",10,"less effective than fructose bisphosphate"
"2.7.7.27",5,"activation; no activation"
"2.7.7.27",51,"activation; less effective than fructose bisphosphate"
"2.7.7.27",51,""
"2.7.7.27",32,"activation"
"2.7.7.27",32,"activation; allosteric activator; wild-type enzyme and mutant SG14"
"2.7.7.27",32,""
"2.7.7.27",31,"activation of chimeric enzyme EA contains the N-terminus of Escherichia coli enzyme and the C-terminus of Agrobacterium tumefaciens enzyme with higher affinity than activation of chimeric enzyme AE contains the N-terminus of Agrobacterium tumefaciens enzyme and the C-terminus of Escherichia coli enzyme"
"2.7.7.27",869,"activation; isosteric analog of fructose bisphosphate"
"2.7.7.38",142,""
"2.7.7.41",4,"a maximal stimulation of about 3fold with CTP as substrate and 1.25fold with dCTP"
"2.7.7.42",820,"0.02 mM"
"2.7.7.42",820,"1 mM; regulates both adenylyltransferase and adenylyl-removing reaction, acts through its binding to signal transduction protein PII and signal transduction protein PII-UMP does not alter the binding of signal transduction protein PII or signal transduction protein PII-UMP to the enzyme, adenylyltransferase assay with 0.05 mM and adenylyl-removing assay with 1 mM alpha-ketoglutarate"
"2.7.7.42",378,"C-terminal truncation constructs are dependent on Gln for full adenylylation activity; wild-tpye AT needs both signal transduction protein PII and Gln to stimulate full adenylylation activity"
"2.7.7.42",755,"activates the adenylyltransferase reaction; binding of PII signal transduction to ATase is stimulated by glutamine"
"2.7.7.42",755,"activates the adenylyltransferase reaction"
"2.7.7.42",755,"adenylyltransferase activity"
"2.7.7.42",102,"activator of adenylylation; highly activating"
"2.7.7.42",102,"establishes feed-back control by stimulating the adenylylation and inactivation of the [L-glutamate:ammonia ligase (ADP-forming)]"
"2.7.7.42",102,"required"
"2.7.7.42",102,"activator of adenylylation; in presence of saturating amounts of PIIA protein Mg2+-supported activity is activated, Mn2+-supported activity is almost unchanged; required"
"2.7.7.42",102,"adenylyltransferase reaction is activated by glutamine, enzyme contains one site for glutamine, sites of signal transduction protein PII, signal transduction protein PII-UMP and glutamine are in communication, glutamine favours binding of signal transduction protein PII but competes with signal transduction protein PII-UMP for the enzyme"
"2.7.7.42",9647,"activity is modulated by a regulatory protein PII, which exists in two interconvertible forms, PIIA and PIID, the unmodified form PIIA stimulates the adenylylation of [L-glutamate:ammonia ligase (ADP-forming)] , the uridylated form PIID is required for deadenylylation; PIIA is required"
"2.7.7.42",9647,"3-5fold stimulation without glutamine, pH-independent in the range of pH 7.2-8.5"
"2.7.7.42",9647,""
"2.7.7.42",26022,"activates the adenylyltransferase reaction"
"2.7.7.42",26022,"0.0004 mM, activates the adenylyltransferase reaction"
"2.7.7.42",26022,"adenylyltransferase activity"
"2.7.7.42",77913,"adenylyl-removing activity"
"2.7.7.42",5016,"binding of signal transduction protein PII is stimulated by glutamine"
"2.7.7.42",5016,"adenylyltransferase reaction is activated by signal transduction protein PII, binding of signal transduction protein PII is favoured by glutamine and reduced by signal transduction protein PII-UMP, enzyme appears to have two distinct sites for signal transduction protein PII and signal transduction protein PII-UMP"
"2.7.7.42",5016,"wild-tpye AT needs both signal transduction protein PII and Gln to stimulate full adenylylation activity"
"2.7.7.42",5016,""
"2.7.7.42",62660,"activates the adenylyl-removing reaction, enzyme appears to have two distinct sites for signal transduction protein PII and signal transduction protein PII-UMP"
"2.7.7.47",63,"enhances the degree of streptomycin inactivation"
"2.7.7.47",2227,""
"2.7.7.58",2,"no activation by DTT"
"2.7.7.58",2,"addition of a 4fold excess of dihydro-2,3-dihydroxybenzoate dehydrogenase EntA to an 2,3-dihydroxybenzoate-AMP ligaseEntE assay mixture results in a 6fold stimulation of EntE activity"
"2.7.7.59",34,"at low concentration, required for PII uridylylation"
"2.7.7.59",755,"5 mM, no effect at pH 8.6; pH 7.6, enhances uridylyl removing activity at 0.5 mM"
"2.7.7.65",9,""
"2.7.7.72",28963,"the multifunctional protein Hfq, originally discovered as a host factor for phage Qb, can stimulate the CCA-adding activity, Hfq facilitates the release of the reaction product, after CCA addition has taken place"
"2.7.7.89",34,"activation"
"2.7.7.89",122,"activation by nucleotides, most efficient in presence of two different nucleotides"
"2.7.7.89",37,"activation by nucleotides, most efficient in presence of two different nucleotides"
"2.7.7.89",229,"activation by nucleotides, most efficient in presence of two different nucleotides"
"2.7.8.5",61,"0.5-6%, absolute requirement"
"2.7.8.5",61,"0.2%; maximal activity is dependent on Triton X-100"
"2.7.8.8",813,"activates. The enzyme is completely desensitized by treatment for 5 min at 40°C against the effect of cadiolipin without loss of activity"
"2.7.8.8",10644,"membrane association and activity of PtdSer synthase is increased, studied with mixed micelles containing phosphatidylglycerol (one charge) or diphosphatidylglycerol (two charges), the two main anionic membrane lipids in Escherichia coli"
"2.7.8.8",2,"optimal activity is dependent on ionic strength, 0.3 or higher"
"2.7.8.8",2,"the enzyme reconstituted with lipid vesicles of various compositions exhibits practically no activity in the absence of a detergent and with the substrate CDP-diacylglycerol present only in the lipid vesicles. Inclusion of octylglucoside in the assay mixture increases the activity 20- to 1000fold, the degree of activation depends on the lipid composition of the vesicles. Inclusion of additional CDP-diacylglycerol in the assay mixture increases the activity 5- to 25-fold. When the fraction of phosphatidylglycerol is increased from 15 to 100 mol% in the vesicles the activity increases 10fold using the assay mixture containing octylglucoside. The highest activities are exhibited with the anionic lipids diphosphatidylglycerol and phosphatidic acid while phosphatidylinositol gives lower activity"
"2.7.8.8",2,"activity of phosphatidylserine synthase depends significantly on the nature and level of the lipids in the matrix, at which the enzyme is operating"
"2.7.8.8",513,"slightly activates. The enzyme is completely desensitized by treatment for 5 min at 40°C against the effect of phosphatidylethanolamine without loss of activity"
"2.7.8.8",681,"membrane association and activity of PtdSer synthase is increased, studied with mixed micelles containing phosphatidylglycerol (one charge) or diphosphatidylglycerol (two charges), the two main anionic membrane lipids in Escherichia coli"
"2.7.8.8",61,"enzyme is dependent on a nonionic detergent such as Triton X-100"
"2.7.8.8",61,"dependent on nonionic detergent, at 0.1 mM CDP-diacylglycerol optimal activity occurs at a Triton to substrate molar ratio of 8:1"
"2.7.8.8",61,"increasing levels of Triton X-100 at low molecular ratios of Triton X-100 to CDP-diacylglycerol stimulate"
"2.7.8.B10",22019,"stimulates the reaction but does not participate as phosphatidyl donor"
"2.7.8.B10",31076,"maximal activation at 0.015%"
"2.7.8.13",3650,"activates partially purified enzyme, maximal activation at 1 mg moenomycin/mg protein"
"2.7.8.13",681,"activity is stimulated 5-10fold by inclusion of 0.1 mg/ml in both radiochemical and fluorescence enhancement assays"
"2.7.8.13",650,"phospholipide sensitive to phospholipase necessary for enzymatic activity"
"2.7.10.2",2,"protein kinase activation through an intra-molecular autophosphorylation process"
"2.7.13.3",131,"effector of CitA"
"2.7.13.3",170,"effector of DcuS"
"2.7.13.3",156314,"direct regulator of KdpD"
"2.7.13.3",156313,"direct regulator of KdpD"
"2.7.13.3",156312,"UhpC stimulates UhpB autophosphorylation in the presence of D-glucose 6-phosphate"
"2.8.1.6",4786,"one of the amino acids: Asn, Asp, Gln or Ser"
"2.8.1.6",2264,"required"
"2.8.1.6",45,"potential sulfur donor"
"2.8.1.6",45,""
"2.8.1.6",45,"10fold stimulation of cysteine desulfurase activity of the enzyme at 20 mM"
"2.8.1.6",45,"required for formation of mixed [Fe-S] cluster state"
"2.8.1.6",1054,""
"2.8.1.6",52541,"omission results in a 100fold decrease in activity"
"2.8.1.6",52541,""
"2.8.1.6",295,""
"2.8.1.6",74,"required as sulfur donor"
"2.8.1.6",74,"required"
"2.8.1.6",74,"increases biotin production"
"2.8.1.6",116081,"essential, may function as an electron transport protein"
"2.8.1.6",2,"a labile low-molecular-weight product of the 7,8-diaminoperlargonic acid aminotransferase reaction stimulates by 3fold"
"2.8.1.6",116199,"a member of the Nif protein family stimulates biotin production"
"2.8.1.6",116200,"a member of the Nif protein family stimulates biotin production"
"2.8.1.6",31117,"required, NADPH being most effective"
"2.8.1.6",32,"required for cysteine desulfurase activity of the enzyme"
"2.8.1.6",24,"two molecules of S-adenosyl-L-methionine are used to synthesize one molecule of biotin, one from dethiobiotin to the intermediate, and a second from the intermediate to biotin"
"2.8.1.6",24,"required"
"2.8.1.6",24,"one molecule S-adenosyl-L-methionine is required to form one molecule of biotin"
"2.8.1.6",24,""
"2.8.1.6",98781,"required"
"2.8.1.7",115828,"forms disulfide bonds with IcsS and stimulates its activity 6fold"
"2.8.1.7",4558,""
"2.8.1.7",31,"increases activity of CSD towards L-selenocysteine, but not towards L-cysteine"
"2.8.1.7",116823,"SufE protein can stimulate up to 8fold, addition of the SufBCD complex further stimulates up to 32fold"
"2.8.1.7",33600,"binding of SufE, a member of the SUF protein system, to SufS stimulates the cysteine desulfurase activity of SufS by 50fold"
"2.8.1.7",33600,"SufE protein can stimulate up to 8fold"
"2.8.1.10",5,"strong stimulation"
"2.8.1.10",404,"strong stimulation"
"2.8.1.11",172460,"IscS, a three-domain rhodanese-like protein, specifically interacts with YnjE for the formation of the persulfide group on YnjE and enhances the reaction in an in vitro system, consisting of MPT synthase, MoeB, Mg-ATP, IscS, L-cysteine, and YnjE. It also interacts with MoeB. The role of YnjE is to make the sulfur transfer from IscS for Moco biosynthesis more specific, since IscS is involved in a variety of different sulfur transfer reactions in the cell. IscS is the preferred sulfur donor for YnjE in vivo"
"2.8.1.11",172461,"specifically interacts with IscS for the formation of the persulfide group on YnjE and enhances the reaction in an in vitro system, consisting of MPT synthase, MoeB, Mg-ATP, IscS, L-cysteine, and YnjE. Best activating in a ratio of 1:2 with MPT, is inhibitory at ratio 1:10. It also interacts with MoeB. The role of YnjE is to make the sulfur transfer from IscS for Moco biosynthesis more specific, since IscS is involved in a variety of different sulfur transfer reactions in the cell. IscS is the preferred sulfur donor for YnjE in vivo. Nevertheless YnjE is not a real enhancer of L-cysteine desulfurase activity, but rather leads to a better rate of conversion of cPMP to MPT. YnjE occurs in the cytosol and the periplasm"
"2.8.2.22",147705,"besides the role of DsbL in the formation of the structural disulfide bond of ASST, it might improve the folding efficiency of ASST in vivo by preventing unspecific aggregation of ASST"
"2.10.1.1",80089,"in presence of Mg2+ and ATP"
"3.1.1.1",23,"150% activation of recombinant BioHe at 5-10 mM"
"3.1.1.4",61,""
"3.1.2.12",2,"FrmB is induced 45-75fold by formaldehyde, while YeiG is constitutively expressed"
"3.1.3.1",6,""
"3.1.3.1",2,"Zn2+ and Mg2+ do not affect the mutant T59R enzyme"
"3.1.3.1",317,"activation at 0.2 M, increases with increasing concentration to a plateau"
"3.1.3.1",14,"stimulation of mutant enzymes, in presence or absence of a phosphoryl group acceptor in the reaction, except for mutnat H412Y, whose activity is reduced in presence of phosphoryl group acceptor and 0.1 mM Zn2+"
"3.1.3.2",47,"stimulates"
"3.1.3.2",131,"stimulates"
"3.1.3.2",131,""
"3.1.3.2",31,"stimulates"
"3.1.3.2",58,"stimulates"
"3.1.3.5",45,"mutant P90C/L424C, 2fold activation, mutant S228C/P513C, 250fold activation"
"3.1.3.11",131,"activates"
"3.1.3.11",177,"increases activity by 40-50%"
"3.1.3.11",79,"slightly increases activity by 20%"
"3.1.3.11",2,"mechanism of activation involves binding of anionic ligands which bind to allosteric activation sites, which in turn stabilize a tetramer and a polypeptide fold that obstructs AMP binding"
"3.1.3.11",51,""
"3.1.3.11",51,"up to 300% activation"
"3.1.3.11",51,"activates"
"3.1.3.11",160,"up to 300% activation"
"3.1.3.18",141,"the activity is 11fold increased, cooperative effect of Cl- and Mg2+"
"3.1.3.25",11,"activating"
"3.1.3.26",131,"slight activation"
"3.1.3.27",21,"1 mM"
"3.1.3.27",21,"distinctly stimulatory at 1 mM"
"3.1.3.27",124,""
"3.1.3.27",61,"optimal at 1-1.5 mg/ml"
"3.1.3.41",4,"stimulates the 4-nitrophenyl phosphatase activity 3.5fold at concentrations of 0.001-0.030 mM, but inhibits it at concentrations above 0.5 mM, mechanism"
"3.1.3.74",2,"the presence of glucose in the growth medium increases the amount of pyridoxal phosphate phosphatase compared with pyridoxamine oxidase activity"
"3.1.3.81",21,"35% stimulation at 2 mM"
