ReactionID,EC,RegID,Metabolite,Mode,KI,Mechanism,Chebi
"PHENYLALANINE--TRNA-LIGASE-RXN","6.1.1.20","REG0-7569","BENZYL-ALCOHOL","-","NaN","COMPETITIVE",17987
"3-DEHYDROQUINATE-DEHYDRATASE-RXN","4.2.1.10","REG0-11784","BH4NA","-","NaN","NaN",50985
"OHMETHYLBILANESYN-RXN","2.5.1.61","REG0-7236","BH4NA","-","NaN","NaN",50985
"ASPDECARBOX-RXN","4.1.1.11","REG0-8808","BH4NA","-","NaN","NaN",50985
"BIOTIN-CARBOXYL-RXN","6.3.4.14","REG0-8538","BIOTIN","-","NaN","NONCOMPETITIVE",57586
"KDOTRANS2-RXN","2.4.99.13","REG0-9696","BISOHMYR-GLC","-","NaN","NaN",58466
"KDOTRANS-RXN","2.4.99.12","REG0-9697","BISOHMYR-GLC","-","NaN","NaN",58466
"2.1.1.79-RXN","2.1.1.79","REG0-7656","BORATE","-","NaN","COMPETITIVE",33118
"ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN","1.2.1.11","REG0-8117","BORATE","-","NaN","NaN",33118
"GLUTAMIN-RXN","3.5.1.38","REG0-9641","BORATE","-","NaN","NaN",33118
"GLUTAMIN-RXN","3.5.1.38","REG0-9642","BORATE","+","NaN","NaN",33118
"2.9.1.1-RXN","2.9.1.1","REG0-11613","BOROHYDRIDE","-","NaN","NaN",30157
"F16ALDOLASE-RXN","4.1.2.13","REG0-12166","BOROHYDRIDE","-","NaN","IRREVERSIBLE",30157
"SAMDECARB-RXN","4.1.1.50","REG0-7184","BOROHYDRIDE","-","NaN","NaN",30157
"PHOSPHASERDECARB-RXN","4.1.1.65","REG0-8161","BOROHYDRIDE","-","NaN","NaN",30157
"R524-RXN","4.2.1.104","REG0-7825","BR-","-","NaN","COMPETITIVE",15858
"KDGALDOL-RXN","4.1.2.20","REG0-8703","BR-","-","NaN","NaN",15858
"GLUTCYSLIG-RXN","6.3.2.2","REG0-10521","BUTHIONINE-SULFOXIMINE","-","NaN","IRREVERSIBLE",28714
"RXN0-5359","2.7.7.65","REG0-11798","C-DI-GMP","-","44","NONCOMPETITIVE",58805
"CELLULOSE-SYNTHASE-UDP-FORMING-RXN","2.4.1.12","REG0-12032","C-DI-GMP","+","NaN","NaN",58805
"SAMDECARB-RXN","4.1.1.50","REG0-10718","CA+2","+","NaN","NaN",29108
"RXN0-6527","3.1.27.6","REG0-10831","CA+2","-","NaN","NaN",29108
"PEPCARBOXYKIN-RXN","4.1.1.49","REG0-11593","CA+2","+","NaN","NaN",29108
"TRIPHOSPHATASE-RXN","3.6.1.25","REG0-11597","CA+2","-","NaN","NaN",29108
"RXN-9514","2.3.1.86","REG0-11689","CA+2","-","NaN","NaN",29108
"UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN","2.3.1.191","REG0-11803","CA+2","-","NaN","NaN",29108
"RXN0-5120","2.4.1","REG0-12146","CA+2","-","NaN","NaN",29108
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-12159","CA+2","-","NaN","NaN",29108
"3.4.15.5-RXN","3.4.15.5","REG0-12309","CA+2","+","NaN","NaN",29108
"ADENYLATECYC-RXN","4.6.1.1","REG0-6681","CA+2","-","NaN","NaN",29108
"RXN0-4181","3.1.4.52","REG0-6853","CA+2","-","NaN","NaN",29108
"GLYCDEH-RXN","1.1.1.6","REG0-6879","CA+2","-","NaN","NaN",29108
"INORGPYROPHOSPHAT-RXN","3.6.1.1","REG0-6913","CA+2","-","NaN","COMPETITIVE",29108
"PHOSPHAGLYPSYN-RXN","2.7.8.5","REG0-6973","CA+2","-","NaN","NaN",29108
"HYPOXANPRIBOSYLTRAN-RXN","2.4.2.8","REG0-7024","CA+2","-","NaN","NaN",29108
"ADENPRIBOSYLTRAN-RXN","2.4.2.7","REG0-7232","CA+2","-","NaN","NaN",29108
"3.1.27.6-RXN","3.1.27.6","REG0-7345","CA+2","-","NaN","NaN",29108
"ACID-PHOSPHATASE-RXN","3.1.3.2","REG0-8014","CA+2","-","NaN","NaN",29108
"GDPMANDEHYDRA-RXN","4.2.1.47","REG0-8097","CA+2","+","NaN","NaN",29108
"MANNONOXIDOREDUCT-RXN","1.1.1.57","REG0-8138","CA+2","+","NaN","NaN",29108
"PEPDEPHOS-RXN","2.7.1.40","REG0-8164","CA+2","-","NaN","NaN",29108
"PEPDEPHOS-RXN","2.7.1.40","REG0-8168","CA+2","+","NaN","NaN",29108
"KDO-8PPHOSPHAT-RXN","3.1.3.45","REG0-8244","CA+2","-","NaN","NaN",29108
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8290","CA+2","-","NaN","NaN",29108
"METHYLISOCITRATE-LYASE-RXN","4.1.3.30","REG0-8432","CA+2","-","NaN","NaN",29108
"PRPPSYN-RXN","2.7.6.1","REG0-8455","CA+2","-","50","COMPETITIVE",29108
"DIACYLGLYKIN-RXN","2.7.1.107","REG0-8523","CA+2","-","NaN","NaN",29108
"GLUTAMIN-RXN","3.5.1.38","REG0-8758","CA+2","+","NaN","NaN",29108
"D-PPENTOMUT-RXN","5.4.2.7","REG0-8820","CA+2","-","NaN","NaN",29108
"325-BISPHOSPHATE-NUCLEOTIDASE-RXN","3.1.3.7","REG0-9534","CA+2","-","NaN","NaN",29108
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-10498","CADAVERINE","-","NaN","NaN",58384
"RXN-9514","2.3.1.86","REG0-11687","CAFFEOYLQUINATE","-","NaN","NaN",57644
"MALIC-NADP-RXN","1.1.1.40","REG0-7615","CAMP","-","NaN","ALLOSTERIC",58165
"ARGININE--TRNA-LIGASE-RXN","6.1.1.19","REG0-8361","CANAVANINE","-","300","COMPETITIVE",78902
"NADH-DEHYDROG-A-RXN","1.6.5.3","REG0-8793","CAPSAICIN","-","NaN","NaN",3374
"GLUTAMINESYN-RXN","6.3.1.2","REG0-8899","CARBAMOYL-P","-","NaN","NaN",58228
"RXN0-5256","1.12.99.6","REG0-12012","CARBON-MONOXIDE","-","NaN","NaN",17245
"R621-RXN","1.14.12.17","REG0-12108","CARBON-MONOXIDE","-","NaN","NaN",17245
"ACETYLORNDEACET-RXN","3.5.1.16","REG0-10702","CD+2","-","NaN","NaN",48775
"THREODEHYD-RXN","1.1.1.103","REG0-11289","CD+2","+","NaN","NaN",48775
"FUMHYDR-RXN","4.2.1.2","REG0-11461","CD+2","-","NaN","NaN",48775
"AKBLIG-RXN","2.3.1.29","REG0-6694","CD+2","-","NaN","NaN",48775
"ALPHAGALACTOSID-RXN","3.2.1.22","REG0-6705","CD+2","-","NaN","NaN",48775
"N-ACETYLTRANSFER-RXN","2.3.1.1","REG0-6947","CD+2","-","NaN","NaN",48775
"DARAB5PISOM-RXN","5.3.1.13","REG0-7129","CD+2","-","NaN","NaN",48775
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7162","CD+2","-","NaN","NaN",48775
"KDO-8PPHOSPHAT-RXN","3.1.3.45","REG0-8243","CD+2","-","NaN","NaN",48775
"RXN0-5268","1.10.3.10","REG0-8502","CD+2","-","NaN","NaN",48775
"KDO-8PSYNTH-RXN","2.5.1.55","REG0-8517","CD+2","-","NaN","NaN",48775
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8578","CD+2","-","NaN","NaN",48775
"D-PPENTOMUT-RXN","5.4.2.7","REG0-8822","CD+2","-","NaN","NaN",48775
"FUCISOM-RXN","5.3.1.25","REG0-9153","CD+2","-","NaN","NaN",48775
"DARABISOM-RXN","5.3.1.3","REG0-9155","CD+2","-","NaN","NaN",48775
"PEPCARBOX-RXN","4.1.1.31","REG0-7278","CDP","+","NaN","NaN",58069
"UDPSUGARHYDRO-RXN","3.6.1.45","REG0-8840","CDP-D-GLUCOSE","-","NaN","COMPETITIVE",28942
"RXN-16649","3.4.16.4","REG0-9913","CEPHALOSPORIN-C","-","NaN","NaN",57511
"2.8.1.6-RXN","2.8.1.6","REG0-6730","CH33ADO","-","NaN","NaN",17319
"VALINE-PYRUVATE-AMINOTRANSFER-RXN","2.6.1.66","REG0-12034","CHLORALAN-CPD","-","NaN","NaN",58132
"UDP-NACMUR-ALA-LIG-RXN","6.3.2.8","REG0-9776","CHLORALAN-CPD","-","NaN","NaN",58132
"BADH-RXN","1.2.1.8","REG0-10195","CHOLINE","-","NaN","COMPETITIVE",15354
"CROBETREDUCT-RXN","1.3.99","REG0-8532","CHOLINE","-","NaN","NaN",15354
"PREPHENATEDEHYDRAT-RXN","4.2.1.51","REG0-8038","CHORISMATE","-","NaN","NaN",29748
"PREPHENATEDEHYDRAT-RXN","4.2.1.51","REG0-8034","CIS-ACONITATE","-","NaN","COMPETITIVE",16383
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8289","CIS-ACONITATE","-","NaN","NaN",16383
"FUMHYDR-RXN","4.2.1.2","REG0-11410","CIT","-","NaN","COMPETITIVE",16947
"F16BDEPHOS-RXN","3.1.3.11","REG0-12210","CIT","+","NaN","NaN",16947
"F16ALDOLASE-RXN","4.1.2.13","REG0-6860","CIT","+","NaN","NaN",16947
"GSADENYLATION-RXN","2.7.7.42","REG0-6905","CIT","-","NaN","NaN",16947
"ASPARTASE-RXN","4.3.1.1","REG0-7459","CIT","-","NaN","OTHER",16947
"PHOSICITDEHASE-RXN","2.7.11.5","REG0-7690","CIT","-","NaN","NaN",16947
"CHORISMATEMUT-RXN","5.4.99.5","REG0-7954","CIT","-","NaN","COMPETITIVE",16947
"RXN-13990","4.1.3.42","REG0-8863","CIT","-","NaN","COMPETITIVE",16947
"GALACTARDEHYDRA-RXN","4.2.1.42","REG0-9649","CIT","-","NaN","NaN",16947
"GLYOHMETRANS-RXN","2.1.2.1","REG0-11228","CL-","-","10000","COMPETITIVE",17996
"3-DEHYDROQUINATE-DEHYDRATASE-RXN","4.2.1.10","REG0-11783","CL-","-","NaN","COMPETITIVE",17996
"RXN0-3281","1.1.99.33","REG0-7817","CL-","-","NaN","NaN",17996
"R524-RXN","4.2.1.104","REG0-7824","CL-","-","NaN","COMPETITIVE",17996
"KDO-8PPHOSPHAT-RXN","3.1.3.45","REG0-8241","CL-","-","NaN","NaN",17996
"ISOCIT-CLEAV-RXN","4.1.3.1","REG0-8288","CL-","-","NaN","NaN",17996
"KDGALDOL-RXN","4.1.2.20","REG0-8705","CL-","-","NaN","NaN",17996
"CPM-KDOSYNTH-RXN","2.7.7.38","REG0-10449","CMP","-","NaN","COMPETITIVE",60377
"PEPCARBOX-RXN","4.1.1.31","REG0-7277","CMP","+","NaN","NaN",60377
"GUANOSINEKIN-RXN","2.7.1.73","REG0-8832","CMP","+","NaN","NaN",60377
"SAMDECARB-RXN","4.1.1.50","REG0-11002","CO+2","+","NaN","NaN",48828
"5-NUCLEOTID-RXN","3.1.3.5","REG0-11329","CO+2","+","NaN","NaN",48828
"UDPSUGARHYDRO-RXN","3.6.1.45","REG0-11330","CO+2","+","NaN","NaN",48828
"RXN0-5462","3.6.5.1","REG0-11672","CO+2","-","NaN","NaN",48828
"RXN0-5120","2.4.1","REG0-12144","CO+2","-","NaN","NaN",48828
"3.4.15.5-RXN","3.4.15.5","REG0-12308","CO+2","+","NaN","NaN",48828
"AMINOPROPDEHYDROG-RXN","1.1.1.75","REG0-6715","CO+2","-","NaN","NaN",48828
"CYCPHOSDIESTER-RXN","3.1.4.16","REG0-6750","CO+2","+","NaN","NaN",48828
"RXN0-299","1.14.11.17","REG0-6790","CO+2","-","NaN","NaN",48828
"3.4.13.18-RXN","3.4.13.18","REG0-6850","CO+2","+","NaN","NaN",48828
"GLUCARDEHYDRA-RXN","4.2.1.40","REG0-7226","CO+2","-","NaN","NaN",48828
"POLYPHOSPHATE-KINASE-RXN","2.7.4.1","REG0-7289","CO+2","+","NaN","NaN",48828
"TETHYDPICSUCC-RXN","2.3.1.117","REG0-7440","CO+2","-","NaN","NaN",48828
"ARGSUCCINLYA-RXN","4.3.2.1","REG0-7722","CO+2","+","NaN","NaN",48828
"ACETYLORNDEACET-RXN","3.5.1.16","REG0-8092","CO+2","+","NaN","NaN",48828
"RXN0-5256","1.12.99.6","REG0-8140","CO+2","-","NaN","NaN",48828
"1.1.1.283-RXN","1.1.1.283","REG0-8178","CO+2","-","NaN","NaN",48828
"KDO-8PPHOSPHAT-RXN","3.1.3.45","REG0-8247","CO+2","+","NaN","NaN",48828
"RXN0-5268","1.10.3.10","REG0-8501","CO+2","-","NaN","NaN",48828
"SULFITE-REDUCT-RXN","1.8.1.2","REG0-8614","CO+2","-","NaN","NaN",48828
"3-NUCLEOTID-RXN","3.1.3.6","REG0-8788","CO+2","+","NaN","NaN",48828
"MANNOSE-ISOMERASE-RXN","5.3.1.7","REG0-9436","CO+2","-","NaN","NaN",48828
"OXALYL-COA-DECARBOXYLASE-RXN","4.1.1.8","REG0-10749","CO-A","-","NaN","COMPETITIVE",57287
"AKBLIG-RXN","2.3.1.29","REG0-6689","CO-A","-","NaN","NaN",57287
"GSADENYLATION-RXN","2.7.7.42","REG0-6903","CO-A","-","NaN","NaN",57287
"MALONYL-COA-ACP-TRANSACYL-RXN","2.3.1.86","REG0-7083","CO-A","-","NaN","COMPETITIVE",57287
"RXN-1381","2.3.1.15","REG0-7217","CO-A","-","NaN","NaN",57287
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7409","CO-A","-","NaN","NONCOMPETITIVE",57287
"RXN-9952","1.1.1.44","REG0-7505","CO-A","-","NaN","NaN",57287
"1.1.1.39-RXN","1.1.1.38","REG0-7670","CO-A","-","NaN","ALLOSTERIC",57287
"ACP-S-ACETYLTRANSFER-RXN","2.3.1.86","REG0-8249","CO-A","-","NaN","COMPETITIVE",57287
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN","2.1.2.11","REG0-8343","CO-A","-","NaN","NaN",57287
"PANTOTHENATE-KIN-RXN","2.7.1.33","REG0-8346","CO-A","-","NaN","COMPETITIVE",57287
"MALTACETYLTRAN-RXN","2.3.1.79","REG0-8635","CO-A","-","NaN","COMPETITIVE",57287
"GALACTOACETYLTRAN-RXN","2.3.1.18","REG0-8718","CO-A","-","NaN","COMPETITIVE",57287
"ACETOACETYL-COA-TRANSFER-RXN","2.8.3","REG0-8779","CO-A","-","NaN","COMPETITIVE",57287
"ACYL-COA-HYDROLASE-RXN","3.1.2.20","REG0-9394","CO-A","-","NaN","NaN",57287
"RXN0-1382","2.8.3.16","REG0-9396","CO-A","-","NaN","NaN",57287
"PANTEPADENYLYLTRAN-RXN","2.7.7.3","REG0-9520","CO-A","-","NaN","COMPETITIVE",57287
"ADENODEAMIN-RXN","3.5.4.4","REG0-7427","COFORMYCIN","-","NaN","NaN",57682
"PEPTIDYLPROLYL-ISOMERASE-RXN","5.2.1.8","REG0-6825","CPD-10016","-","NaN","NaN",61049
"NAD-SYNTH-NH3-RXN","6.3.1.5","REG0-7921","CPD-10129","-","NaN","NaN",29014
"ATPSYN-RXN","3.6.3.14","REG0-11930","CPD-10322","-","NaN","NaN",53090
"TRANS-RXN0-277","1.6.1.5","REG0-8848","CPD-10322","-","NaN","NaN",53090
"ARYLAMINE-N-ACETYLTRANSFERASE-RXN","2.3.1.5","REG0-11682","CPD-110","-","NaN","COMPETITIVE",30762
"ALTRODEHYDRAT-RXN","4.2.1.7","REG0-7250","CPD-1114","-","NaN","COMPETITIVE",16157
"DNA-DIRECTED-DNA-POLYMERASE-RXN","2.7.7.7","REG0-6647","CPD-11426","-","NaN","COMPETITIVE",428431
"ATPSYN-RXN","3.6.3.14","REG0-11936","CPD-11925","-","NaN","NaN",80713
"CHORISMATEMUT-RXN","5.4.99.5","REG0-10600","CPD-12153","-","NaN","NaN",53063
"RXN0-2381","4.1.2.8","REG0-10635","CPD-12164","-","NaN","COMPETITIVE",231937
"RXN-16650","2.4.1.129","REG0-10083","CPD-12245","-","NaN","NaN",28001
"RXN-16659","3.4.16.4","REG0-12254","CPD-12245","-","NaN","NaN",28001
"RXN-16650","2.4.1.129","REG0-12259","CPD-12245","-","NaN","NaN",28001
"RXN-16650","2.4.1.129","REG0-12264","CPD-12251","-","NaN","NaN",599869
"RXN-16659","3.4.16.4","REG0-10076","CPD-12294","-","NaN","NaN",29007
"RXN-16659","3.4.16.4","REG0-12245","CPD-12294","-","NaN","NaN",29007
"UDPGLUCEPIM-RXN","5.1.3.2","REG0-9765","CPD-13245","-","NaN","COMPETITIVE",156539
"CATAL-RXN","1.11.1.6","REG0-11606","CPD-13584","-","NaN","NaN",17514
"SUPEROX-DISMUT-RXN","1.15.1.1","REG0-11610","CPD-13584","-","NaN","NaN",17514
"2.9.1.1-RXN","2.9.1.1","REG0-11612","CPD-13584","-","NaN","NaN",17514
"PYRUVFORMLY-RXN","2.3.1.54","REG0-11286","CPD-13859","-","NaN","IRREVERSIBLE",25218
"AMINEPHEN-RXN","1.4.3.21","REG0-11304","CPD-13895","-","NaN","NaN",8060
"AMINEPHEN-RXN","1.4.3.21","REG0-11307","CPD-13898","-","NaN","NaN",7930
"SAMDECARB-RXN","4.1.1.50","REG0-10715","CPD-1484","+","NaN","NaN",49470
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7414","CPD-1484","-","NaN","NaN",49470
"ALPHAGALACTOSID-RXN","3.2.1.22","REG0-6703","CPD-1490","-","NaN","NaN",30475
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7412","CPD-1492","-","NaN","NaN",30502
"THREODEHYD-RXN","1.1.1.103","REG0-7519","CPD-1492","-","NaN","NaN",30502
"RXN-9514","2.3.1.86","REG0-11690","CPD-15291","-","NaN","NaN",4806
"RXN-9659","1.3.1.9","REG0-11705","CPD-15291","-","NaN","COMPETITIVE",4806
"3-OXOACYL-ACP-SYNTH-RXN","2.3.1.86","REG0-11707","CPD-15302","-","NaN","NaN",68236
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7138","CPD-183","-","NaN","COMPETITIVE",16918
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8556","CPD-183","-","NaN","COMPETITIVE",16918
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7150","CPD-1831","-","NaN","COMPETITIVE",15357
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8567","CPD-1831","-","NaN","COMPETITIVE",15357
"DIHYDROFOLATEREDUCT-RXN","1.5.1.3","REG0-7045","CPD-2","-","NaN","NaN",49547
"IMP-DEHYDROG-RXN","1.1.1.205","REG0-7390","CPD-2","+","NaN","NaN",49547
"GLUTDECARBOX-RXN","4.1.1.15","REG0-7159","CPD-205","-","NaN","COMPETITIVE",36165
"GLUTDECARBOX-RXN","4.1.1.15","REG0-8561","CPD-205","-","NaN","COMPETITIVE",36165
"PREPHENATEDEHYDRAT-RXN","4.2.1.51","REG0-8035","CPD-225","-","NaN","COMPETITIVE",15708
"RXN0-6373","1.1.5.2","REG0-9990","CPD-227","-","NaN","COMPETITIVE",28543
"BETAGALACTOSID-RXN","3.2.1.108","REG0-9723","CPD-239","-","NaN","NaN",58029
"ALARACECAT-RXN","5.1.1.1","REG0-12325","CPD-2482","-","NaN","NaN",75929
"ALARACECAT-RXN","5.1.1.1","REG0-6620","CPD-2482","-","NaN","COMPETITIVE",75929
"DALADALALIG-RXN","6.3.2.4","REG0-6765","CPD-2482","-","8.9    ","COMPETITIVE",75929
"DALADALALIG-RXN","6.3.2.4","REG0-6768","CPD-2482","-","27","COMPETITIVE",75929
"ASPDECARBOX-RXN","4.1.1.11","REG0-8807","CPD-2482","-","NaN","NaN",75929
"ALARACECAT-RXN","5.1.1.1","REG0-6619","CPD-2483","-","NaN","COMPETITIVE",103236
"PYRUVFORMLY-RXN","2.3.1.54","REG0-11285","CPD-27","-","NaN","IRREVERSIBLE",29198
"L-GLN-FRUCT-6-P-AMINOTRANS-RXN","2.6.1.16","REG0-9131","CPD-280","-","NaN","IRREVERSIBLE",16120
"RXN0-3501","1.7.5.1","REG0-12134","CPD-2841","-","NaN","NaN",29449
"FORMATEDEHYDROG-RXN","1.1.5.6","REG0-6866","CPD-2841","-","NaN","NaN",29449
"RXN0-3501","1.7.5.1","REG0-6957","CPD-2841","-","NaN","COMPETITIVE",29449
"RXN0-5266","1.10.3.14","REG0-7186","CPD-2841","-","NaN","NaN",29449
"SUPEROX-DISMUT-RXN","1.15.1.1","REG0-7342","CPD-2841","-","NaN","NaN",29449
"RXN0-5256","1.12.99.6","REG0-7717","CPD-2841","-","NaN","NaN",29449
"RXN0-3281","1.1.99.33","REG0-7816","CPD-2841","-","NaN","NONCOMPETITIVE",29449
"R524-RXN","4.2.1.104","REG0-7822","CPD-2841","-","NaN","COMPETITIVE",29449
"SUPEROX-DISMUT-RXN","1.15.1.1","REG0-8253","CPD-2841","-","NaN","NaN",29449
"RXN0-5268","1.10.3.10","REG0-8504","CPD-2841","-","NaN","NaN",29449
"RXN-15313","4.1.3.3","REG-14662","CPD-29","-","NaN","NaN",28420
"ACETATEKIN-RXN","2.7.2.1","REG0-10868","CPD-29","-","NaN","NaN",28420
"ALADEHYDCHLORO-RXN","4.5.1.2","REG0-11954","CPD-29","-","NaN","NaN",28420
"RXN0-3501","1.7.5.1","REG0-12135","CPD-29","-","NaN","NaN",28420
"THI-P-KIN-RXN","2.7.4.16","REG0-7008","CPD-29","-","NaN","NaN",28420
"GLYCOLATEDEHYDRO-RXN","1.1.99.14","REG0-7055","CPD-29","-","NaN","NaN",28420
"MALONYL-COA-ACP-TRANSACYL-RXN","2.3.1.86","REG0-7085","CPD-29","-","NaN","NaN",28420
"DARAB5PISOM-RXN","5.3.1.13","REG0-7128","CPD-29","-","NaN","NaN",28420
"DIENOYLCOAREDUCT-RXN","1.3.1.34","REG0-7208","CPD-29","-","NaN","NaN",28420
"PHOSPHOGLUCMUT-RXN","5.4.2.2","REG0-7413","CPD-29","-","NaN","NaN",28420
"ADENODEAMIN-RXN","3.5.4.4","REG0-7428","CPD-29","-","NaN","NaN",28420
"RXN-9952","1.1.1.44","REG0-7508","CPD-29","-","NaN","NaN",28420
"ALTRO-OXIDOREDUCT-RXN","1.1.1.58","REG0-7525","CPD-29","-","NaN","NaN",28420
"ACNEULY-RXN","4.1.3.3","REG0-7546","CPD-29","-","NaN","NaN",28420
"BADH-RXN","1.2.1.8","REG0-7590","CPD-29","-","NaN","NaN",28420
"GALACTUROISOM-RXN","5.3.1.12","REG0-7835","CPD-29","-","NaN","NaN",28420
"GLUCUROISOM-RXN","5.3.1.12","REG0-7872","CPD-29","-","NaN","NaN",28420
"GLUTSEMIALDEHYDROG-RXN","1.2.1.41","REG0-7966","CPD-29","-","NaN","NaN",28420
"RXN-13854","1.7.1.15","REG0-8127","CPD-29","-","NaN","NaN",28420
"1.1.1.283-RXN","1.1.1.283","REG0-8177","CPD-29","-","NaN","NaN",28420
"GLUTATHIONE-SYN-RXN","6.3.2.3","REG0-8238","CPD-29","-","NaN","NaN",28420
"GMP-SYN-GLUT-RXN","6.3.5.2","REG0-8367","CPD-29","-","NaN","NaN",28420
"GLYCOPHOSPHORYL-RXN","2.4.1.1","REG0-8443","CPD-29","-","NaN","NaN",28420
"RHAMNISOM-RXN","5.3.1.14","REG0-8637","CPD-29","-","NaN","NaN",28420
"RXN0-5146","3.2.1.196","REG0-8666","CPD-29","-","NaN","NaN",28420
"ACETOACETYL-COA-TRANSFER-RXN","2.8.3","REG0-8781","CPD-29","-","NaN","NaN",28420
"PYRROLINECARBREDUCT-RXN","1.5.1.2","REG0-8844","CPD-29","-","NaN","NaN",28420
"DIHYDROXYISOVALDEHYDRAT-RXN","4.2.1.9","REG0-9216","CPD-29","-","NaN","NaN",28420
"DIHYDROXYMETVALDEHYDRAT-RXN","4.2.1.9","REG0-9218","CPD-29","-","NaN","NaN",28420
"MANNONOXIDOREDUCT-RXN","1.1.1.57","REG0-9302","CPD-29","-","NaN","NONCOMPETITIVE",28420
"MANNONDEHYDRAT-RXN","4.2.1.8","REG0-9303","CPD-29","-","NaN","NaN",28420
"RXN-16649","3.4.16.4","REG0-9914","CPD-29","-","NaN","NaN",28420
"BETA-LACTAMASE-RXN","3.5.2.6","REG0-9917","CPD-29","-","NaN","NaN",28420
"DIHYDRODIPICSYN-RXN","4.3.3.7","REG0-11674","CPD-291","-","NaN","IRREVERSIBLE",72701
"PGLUCISOM-RXN","5.3.1.9","REG0-10745","CPD-2961","-","NaN","NaN",58759
"KDPGALDOL-RXN","4.1.2.55","REG0-6926","CPD-2961","-","NaN","COMPETITIVE",58759
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-11760","CPD-3","-","NaN","COMPETITIVE",36264
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-7366","CPD-3","-","NaN","COMPETITIVE",36264
"ASPARTASE-RXN","4.3.1.1","REG0-7466","CPD-302","+","NaN","NaN",29990
"GLUTAMATESYN-RXN","1.4.1.13","REG0-8687","CPD-302","-","NaN","NaN",29990
"ETHAMLY-RXN","4.3.1.7","REG0-8102","CPD-315","-","NaN","NONCOMPETITIVE",17439
"4OHBENZOATE-OCTAPRENYLTRANSFER-RXN","2.5.1.39","REG0-7864","CPD-3563","-","NaN","NaN",53426
"PGLYCEROLTRANSII-RXN","2.7.8.21","REG0-9968","CPD-3605","-","NaN","COMPETITIVE",71422
"3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN","2.1.2.11","REG0-8336","CPD-3642","-","NaN","NaN",74338
"ASPARTASE-RXN","4.3.1.1","REG0-7455","CPD-3722","-","NaN","COMPETITIVE",58680
"ORNDECARBOX-RXN","4.1.1.17","REG0-8771","CPD-3728","-","NaN","NONCOMPETITIVE",62338
"KDGALDOL-RXN","4.1.2.20","REG0-8692","CPD-377","-","NaN","COMPETITIVE",16808
"CHORISMATEMUT-RXN","5.4.99.5","REG0-10103","CPD-381","-","NaN","NaN",16782
"GLYCOPHOSPHORYL-RXN","2.4.1.1","REG0-8449","CPD-387","-","NaN","NaN",16382
"ACETALD-DEHYDROG-RXN","1.2.1.10","REG0-11315","CPD-400","-","NaN","NaN",28591
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-11761","CPD-4422","-","NaN","COMPETITIVE",33143
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-7367","CPD-4422","-","NaN","COMPETITIVE",33143
"R621-RXN","1.14.12.17","REG0-11270","CPD-4501","-","NaN","NaN",82892
"PYRUVDEH-RXN","1.2.1","REG0-11561","CPD-4544","-","NaN","NaN",30477
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-11762","CPD-4584","-","NaN","COMPETITIVE",46442
"ALKAPHOSPHA-RXN","3.1.3.1","REG0-7368","CPD-4584","-","NaN","COMPETITIVE",46442
"RXN-15513","5.4.2.11","REG0-8157","CPD-4584","-","NaN","NaN",46442
"3.6.3.39-RXN","3.6.3.39","REG0-9507","CPD-4584","-","NaN","NaN",46442
"DIHYDRODIPICSYN-RXN","4.3.3.7","REG0-11676","CPD-4841","-","11000","COMPETITIVE",36167
"UDPACYLGLCNACDEACETYL-RXN","3.5.1.108","REG0-7646","CPD-4841","-","NaN","NaN",36167
"ACP-S-ACETYLTRANSFER-RXN","2.3.1.86","REG0-8248","CPD-511","-","NaN","COMPETITIVE",16753
"ATPSYN-RXN","3.6.3.14","REG0-11934","CPD-520","-","NaN","NaN",57694
"RXN0-984","1.14.11.33","REG0-9477","CPD-520","-","NaN","NaN",57694
"F16BDEPHOS-RXN","3.1.3.11","REG0-8811","CPD-535","-","NaN","COMPETITIVE",58579
"RXN-15740","1.1.5.3","REG0-12041","CPD-5401","-","NaN","NaN",33207
"GLUCARDEHYDRA-RXN","4.2.1.40","REG0-7225","CPD-5401","-","NaN","NaN",33207
"GDPMANDEHYDRA-RXN","4.2.1.47","REG0-8094","CPD-5401","-","NaN","NaN",33207
