,EC_number,bigg.metabolite,Commentary,Literature
344,3.4.24.B17,dmso_c,"induces conformational changes, stimulates with SecY s substrate, at concentration up to 20% v/v, slightly inhibitory with casein as a substrate",650082
345,3.5.1.28,gam_e,30% activation at 10 mM,172008
346,3.5.4.1,gly_c,"1 mM, relative activity 130%",209497
347,3.5.4.5,cytd_c,,209659
348,3.5.99.6,acgam6p_c,activates; increases reaction velocity when D-glucosamine 6-phosphate is present at levels below that required for saturation,648215
349,3.5.99.6,acgam6p_c,activates,648220
350,3.5.99.6,acgam6p_c,,"648226, 648237, 648238, 648240, 648243"
351,3.5.99.6,acgam6p_c,allosteric activator of NagB,712289
352,3.6.3.1,lipa_c,,656078
353,3.6.3.16,aso3_c,allosteric activation,"210282, 210287"
354,3.6.3.16,aso3_c,"activates 3fold the ATPase activity of wild-type ArsA, activation rates of mutants, overview",696278
355,4.1.1.11,accoa_c,acetyl-CoA is required for activation,726873
356,4.1.1.49,accoa_c,,727382
357,4.1.1.31,fdp_c,activates,4286
358,4.1.1.98,lipoate_c,slight (20%) stimulation of activity at 10 mM,729319
359,4.1.99.1,pi_c,"diammonium hydrogen phosphate serves as an activator on tryptophan synthesis from D-serine, maximum activity at 20% saturation concentration",704093
360,4.1.99.3,methf_c,binds to the enzyme and acts as a light-harvesting pigment,727010
361,4.1.99.3,fadh2_c,"in wild-type, substantial losses occur prior to formation of the ultimate (FADH- 306TrpH°+) charge pair but that there is no significant kinetic development in the 100 ps-to-10 ns time window. The quantum yield of FADH- W306°+ is at 19%, in reference to the established quantum yield of the long-lived excited state of [Ru(bpy)3]2+",705335
362,4.1.99.3,fadh2_c,"FADH-/FADH reduction potential of the cryptochrome1 is significantly higher than that of the photolyase at 164 mV vs normal hydrogen electrode, but it also increases upon substrate binding (to 195 mV vs normal hydrogen electrode) similar to what is observed in photolyase. FADH-/FADH reduction potential is insensitive to ATP binding",705348
363,4.2.1.79,ppa_c,induces the enzyme expression from acnC and prpD,653158
364,6.3.2.10,ppa_c,strong activation of mutant K202A,651110
365,4.2.1.104,cynt_c,"extracellular, enzyme induction",653941
366,4.2.3.3,2pglyc_c,activates H98Q variant,650248
367,5.1.3.2,udp_c,activates the reduction of epimerase-bound NAD+,650515
368,5.1.3.2,ump_c,activates the reduction of epimerase-bound NAD+,650515
369,5.1.3.14,uacgam_c,allosteric activation,661247
370,5.1.3.14,uacgam_c,the reverse reaction with UDP-N-acetylmannosamine requires the presence of UDP-N-acetylglucosamine,"2264, 2265, 2268"
371,5.3.4.1,gthox_c,promotes the activation of carbonic anhydrase IV,3065
372,5.4.2.7,r15bp_c,"10fold stimulation, Km: 0.00017 mM, optimal concentration: 0.0014 mM",3340
373,5.4.2.7,r15bp_c,"stimulates, Km: 0.00024 mM for enzyme form I, 0.00027 mM for enzyme form II and 0.00029 mM for enzyme form III",3343
374,5.4.3.8,etha_c,stimulates activity of mutant enzyme Lys265Arg,3432
375,5.99.1.2,no2_c,acidic nitrite enhanced the bactericidal effect of stabilized topoisomerase I cleavage complex,727704
376,6.3.1.2,glyb_c,"0.4 M, 67.7% residual activity after 60°C heat treatment",667442
377,6.3.1.2,inost_c,"0.4 M, 70.1% residual activity after 60°C heat treatment",667442
378,6.3.2.10,but_c,activation of mutant K202A,651110
379,6.3.4.2,dgtp_c,"0 mM guanosine, kact: 1.5/sec, KA: 0.21 mM, Ki: 0.36 mM; the GTP analogue is capable of activating Gln-dependent CTP formation",674909
380,6.3.4.14,btn_c,"required for activation of the ATP synthesis reaction with carbamoyl phosphate and ADP as substrates, E211, E288, N290 and R292 are responsible, at least in part, for the substrate-induced synergism by biotin, activation via a conformational change of enzyme",654566
381,6.3.4.14,btn_c,activates the ATP synthesis reaction with ADP and carbamoyl phosphate as substrates,"654575, 656008"
382,6.3.4.14,btn_c,"substrate-induced synergism, the reaction in presence of biotin is 1100fold faster than in its absence",695008
383,6.4.1.2,btn_c,"required for subunit AccB activity, biotin is not involved in regulation of operon accBC transcription",665523
384,6.4.1.2,btn_c,required for activity,665526
385,6.3.4.16,imp_c,"weak activator, the IMP binding site is located at the C-terminus, binding structure analysis from crystal structure with bound IMP, PDB ID 1CE8",702142
386,6.3.5.5,nh4_c,,652351
387,6.3.5.5,imp_c,allosteric effector,649457
388,6.3.5.5,imp_c,"His995, located in the C-terminal regulatory domain, is cross-linked with IMP",649895
389,6.3.5.5,imp_c,"the effector stabilzes the (alpha,beta)4-tetramer of enzyme",650020
390,6.3.5.5,imp_c,"allosteric effect on Escherichia coli enzyme in dependence of temperature, no response to chimeric enzyme",652334
391,6.3.5.5,imp_c,,"651882, 652788"
392,6.3.5.5,imp_c,the IMP activator and the UMP inhibitor bind to the same site on the enzyme,652823
393,6.3.5.5,acglu_c,carbamoyl-phosphate synthase II: no requirement for N-acetylglutamate,1725
394,6.3.5.5,k_c,,"650936, 651937"
395,6.3.5.5,xmp_c,enhances activity,1731
