,EC_number,subsystem,dG0_prime,dG0_prime_std,dGm_prime,log10(RI),formula
fdmo2,1.14.14.5,Inorganic Ion Transport and Metabolism,-88.62,70710.68,-88.62,-5.18,C00007 + C01847 + C11145 <=> C00001 + C00061 + C00067 + C00094
fdmo6,,Inorganic Ion Transport and Metabolism,-106.26,70710.68,-106.26,-6.21,C00007 + C01847 + C14179 <=> C00001 + C00048 + C00061 + C00094
fe3hoxabcpp,,Inorganic Ion Transport and Metabolism,-40.5,0.0,-74.73,-6.55,C00001 + C00002 <=> C00008 + C00009 + C06227
fe3hoxtonex,,"Transport, Outer Membrane",0.0,0.0,17.11,6.0,C06227 <=> 
fe3ri,,Cofactor and Prosthetic Group Biosynthesis,-194.26,8.88,-194.26,-11.35,C01352 + 2 C14819 <=> C00016 + 2 C14818
feropp,1.16.3.1,Inorganic Ion Transport and Metabolism,-43.22,17.08,-26.11,-1.02,C00007 + 4 C14818 <=> 2 C00001 + 4 C14819
ffsd,3.2.1.26,Alternate Carbon Metabolism,-30.95,2.88,-48.06,-5.62,C00001 + C02591 <=> C00092 + C00095
fhl,1.1.99.33,Pyruvate Metabolism,22.58,4.41,5.46,0.64,C00058 <=> C00011 + C00282
flvr,1.5.1.41,Cofactor and Prosthetic Group Biosynthesis,15.97,5.69,15.97,1.4,C00005 + C00255 <=> C00006 + C01007
flvrx,1.5.1.41,Cofactor and Prosthetic Group Biosynthesis,16.16,5.68,16.16,1.42,C00004 + C00255 <=> C00003 + C01007
fmnat,2.7.7.2,Cofactor and Prosthetic Group Biosynthesis,-13.36,4.8,-13.36,-1.17,C00002 + C00061 <=> C00013 + C00016
fmnrx,1.5.1.42,Cofactor and Prosthetic Group Biosynthesis,-19.18,3.01,-19.18,-1.68,C00004 + C00061 <=> C00003 + C01847
fmnrx2,1.5.1.39,Cofactor and Prosthetic Group Biosynthesis,-19.36,3.02,-19.36,-1.7,C00005 + C00061 <=> C00006 + C01847
fometri,2.1.2.10,Folate Metabolism,-68.71,7.32,-68.71,-12.04,C03479 <=> C00001 + C00445
forct,2.8.3.16,Alternate Carbon Metabolism,0.36,5.84,0.36,0.03,C00209 + C00798 <=> C00058 + C00313
frupts2pp,,"Transport, Inner Membrane",-41.48,0.73,-41.48,-3.64,C00074 + C00095 <=> C00022 + C00085
fthfd,3.5.1.10,Folate Metabolism,-23.67,1.98,-40.79,-4.77,C00001 + C00234 <=> C00058 + C00101
fthfli,6.3.4.3,Folate Metabolism,-3.41,1.95,-3.41,-0.2,C00002 + C00058 + C00101 <=> C00008 + C00009 + C00234
g1pact,2.3.1.157,Cell Envelope Biosynthesis,-27.57,2.65,-27.57,-2.42,C00024 + C03783 <=> C00010 + C04256
g1ptt,2.7.7.24,Cell Envelope Biosynthesis,0.2,2.96,0.2,0.02,C00103 + C00459 <=> C00013 + C00842
g1sat,5.4.3.8,Cofactor and Prosthetic Group Biosynthesis,-7.72,0.69,-7.72,-1.35,C03741 <=> C00430
g2pp,3.1.3.19,Alternate Carbon Metabolism,-23.07,2.4,-40.18,-4.7,C00001 + C02979 <=> C00009 + C00116
g2pppp,3.1.3.19,Alternate Carbon Metabolism,-23.07,2.4,-40.18,-4.7,C00001 + C02979 <=> C00009 + C00116
g3pd2,1.1.1.94,Alternate Carbon Metabolism,24.0,0.81,24.0,2.1,C00006 + C00093 <=> C00005 + C00111
g3pt,3.1.3.21,Alternate Carbon Metabolism,-10.59,2.1,-27.7,-3.24,C00001 + C00093 <=> C00009 + C00116
g5sads,,Arginine and Proline Metabolism,9.46,4.66,9.46,1.66,C01165 <=> C00001 + C03912
g5sd,1.2.1.41,Arginine and Proline Metabolism,-6.5,1.6,-23.61,-1.66,C00005 + C03287 <=> C00006 + C00009 + C01165
g6pdh2r,1.1.1.49,Pentose Phosphate Pathway,-5.6,1.33,-5.6,-0.49,C00006 + C00092 <=> C00005 + C01236
gal1pppp,3.1.3.94,Alternate Carbon Metabolism,-15.09,1.95,-32.21,-3.76,C00001 + C00446 <=> C00009 + C00124
galkr,2.7.1.6,Alternate Carbon Metabolism,-12.0,1.95,-12.0,-1.05,C00002 + C00124 <=> C00008 + C00446
galm2pp,5.1.3.3,Alternate Carbon Metabolism,6.25,1.8,6.25,1.1,C00962 <=> C00124
galtptspp,,"Transport, Inner Membrane",-39.4,2.02,-39.4,-3.45,C00074 + C01697 <=> C00022 + C06311
galui,2.7.7.9,Cell Envelope Biosynthesis,2.27,0.56,2.27,0.2,C00075 + C00103 <=> C00013 + C00029
gamptspp,,"Transport, Inner Membrane",-35.56,2.97,-35.56,-3.12,C00074 + C00329 <=> C00022 + C00352
gapd,1.2.1.59,Glycolysis/Gluconeogenesis,3.24,0.41,20.35,1.43,C00003 + C00009 + C00118 <=> C00004 + C00236
garft,2.1.2.2,Purine and Pyrimidine Biosynthesis,2.65,5.44,2.65,0.23,C00234 + C03838 <=> C00101 + C04376
gart,2.1.2.-,Purine and Pyrimidine Biosynthesis,-0.76,5.34,-0.76,-0.04,C00002 + C00058 + C03838 <=> C00008 + C00009 + C04376
gcaldd,1.2.1.21,Folate Metabolism,-63.38,2.37,-63.38,-5.55,C00001 + C00003 + C00266 <=> C00004 + C00160
gdmane,1.1.1.271,Cell Envelope Biosynthesis,0.0,0.0,0.0,0.0,C01222 <=> C14830
gdpdpk,2.7.6.5,Cofactor and Prosthetic Group Biosynthesis,-15.63,7.59,-15.63,-1.37,C00002 + C00035 <=> C00020 + C01228
gdpmnh,,Cell Envelope Biosynthesis,-20.41,3.8,-37.52,-4.38,C00001 + C00096 <=> C00035 + C00159
gdpmnp,3.6.1.21,Cell Envelope Biosynthesis,-31.7,3.51,-48.81,-5.7,C00001 + C00096 <=> C00144 + C00636
gdptpdp,3.1.7.2,Cofactor and Prosthetic Group Biosynthesis,-20.8,8.1,-37.91,-4.43,C00001 + C04494 <=> C00013 + C00044
gggabadr,1.2.1.-,Alternate Carbon Metabolism,-41.28,1.14,-41.28,-3.62,C00001 + C00006 + C15700 <=> C00005 + C15767
ghbdhx,1.1.1.61,Arginine and Proline Metabolism,2.32,1.71,2.32,0.2,C00004 + C00232 <=> C00003 + C00989
gk1,2.7.4.8,Nucleotide Salvage Pathway,-2.2,1.21,-2.2,-0.19,C00002 + C00144 <=> C00008 + C00035
glcral,4.1.2.20,Alternate Carbon Metabolism,22.2,2.82,5.08,0.59,C00679 <=> C00022 + C01146
glcrd,4.2.1.40,Alternate Carbon Metabolism,-41.91,1.25,-41.91,-7.35,C00818 <=> C00001 + C00679
glgc,2.7.7.27,Glycolysis/Gluconeogenesis,-7.03,1.37,-7.03,-0.62,C00002 + C00103 <=> C00013 + C00498
glxcl,4.1.1.47,Glyoxylate Metabolism,-17.53,4.49,-17.53,-1.54,2 C00048 <=> C00011 + C01146
glyat,2.3.1.37,Glycine and Serine Metabolism,37.3,2.11,37.3,3.27,C00024 + C00037 <=> C00010 + C03214
glycdx,1.1.1.6,Alternate Carbon Metabolism,22.07,1.82,22.07,1.93,C00003 + C00116 <=> C00004 + C00184
glycltdx,1.1.1.79,Glyoxylate Metabolism,-42.09,0.86,-42.09,-3.69,C00004 + C00048 <=> C00003 + C00160
glycltdy,1.1.1.79,Glyoxylate Metabolism,-42.27,0.93,-42.27,-3.7,C00005 + C00048 <=> C00006 + C00160
glyk,2.7.1.30,Alternate Carbon Metabolism,-16.5,2.1,-16.5,-1.45,C00002 + C00116 <=> C00008 + C00093
gmand,4.2.1.47,Cell Envelope Biosynthesis,-51.31,4.0,-51.31,-8.99,C00096 <=> C00001 + C01222
gmhepat,2.7.7.70,Lipopolysaccharide Biosynthesis / Recycling,-9.65,3.31,-9.65,-0.85,C00002 + C07838 <=> C00013 + C06397
gmhepk,,Lipopolysaccharide Biosynthesis / Recycling,-12.1,1.39,-12.1,-1.06,C00002 + C07836 <=> C00008 + C11472
gmheppa,,Lipopolysaccharide Biosynthesis / Recycling,-7.48,1.23,-24.59,-2.87,C00001 + C11472 <=> C00009 + C07838
gnk,2.7.1.12,Alternate Carbon Metabolism,-11.88,3.25,-11.88,-1.04,C00002 + C00257 <=> C00008 + C00345
gofucr,1.1.1.271,Cell Envelope Biosynthesis,-4.0,1.56,-4.0,-0.35,C00005 + C14830 <=> C00006 + C00325
gp4gh,,Nucleotide Salvage Pathway,-49.74,7.74,-66.85,-7.81,C00001 + C01261 <=> 2 C00035
gpdda1,3.1.4.46,Glycerophospholipid Metabolism,-250.37,70710.68,-267.49,-31.26,C00001 + C00670 <=> C00093 + C00114
gpdda1pp,3.1.4.46,Glycerophospholipid Metabolism,-250.37,70710.68,-267.49,-31.26,C00001 + C00670 <=> C00093 + C00114
gpdda2,3.1.4.46,Glycerophospholipid Metabolism,-244.21,70710.68,-261.33,-30.54,C00001 + C01233 <=> C00093 + C00189
gpdda2pp,3.1.4.46,Glycerophospholipid Metabolism,-244.21,70710.68,-261.33,-30.54,C00001 + C01233 <=> C00093 + C00189
gpdda4,3.1.4.46,Glycerophospholipid Metabolism,-257.07,70710.68,-274.18,-32.04,C00001 + C03274 <=> C00093 + C00116
gpdda4pp,3.1.4.46,Glycerophospholipid Metabolism,-257.07,70710.68,-274.18,-32.04,C00001 + C03274 <=> C00093 + C00116
gpdda5,3.1.4.44,Glycerophospholipid Metabolism,-259.16,70710.68,-276.28,-32.28,C00001 + C01225 <=> C00093 + C00137
gpdda5pp,3.1.4.44,Glycerophospholipid Metabolism,-259.16,70710.68,-276.28,-32.28,C00001 + C01225 <=> C00093 + C00137
grtt,2.5.1.10,Cofactor and Prosthetic Group Biosynthesis,-75.42,2.92,-75.42,-6.61,C00129 + C00341 <=> C00013 + C00448
gsnk,2.7.1.73,Nucleotide Salvage Pathway,-21.59,3.41,-21.59,-1.89,C00002 + C00387 <=> C00008 + C00144
gtpci,3.5.4.16,Cofactor and Prosthetic Group Biosynthesis,-94.57,6.11,-111.68,-13.05,C00001 + C00044 <=> C00058 + C04895
gtpcii2,3.5.4.25,Cofactor and Prosthetic Group Biosynthesis,-68.63,5.46,-102.86,-9.01,3 C00001 + C00044 <=> C00013 + C00058 + C01304
gtpdpdp,3.6.1.40,Cofactor and Prosthetic Group Biosynthesis,-23.03,1.27,-40.15,-4.69,C00001 + C04494 <=> C00009 + C01228
gtpdpk,2.7.6.5,Cofactor and Prosthetic Group Biosynthesis,-17.19,8.09,-17.19,-1.51,C00002 + C00044 <=> C00020 + C04494
guacyc,4.6.1.2,Nucleotide Salvage Pathway,5.86,3.03,-11.26,-1.32,C00044 <=> C00013 + C00942
guaprt,2.4.2.8,Nucleotide Salvage Pathway,-28.34,2.24,-28.34,-2.48,C00119 + C00242 <=> C00013 + C00144
gui1,5.3.1.12,Alternate Carbon Metabolism,0.55,2.96,0.55,0.1,C00191 <=> C00905
gur1pppp,,Alternate Carbon Metabolism,-15.34,2.71,-32.45,-3.79,C00001 + C05385 <=> C00009 + C00191
h2so,,Inorganic Ion Transport and Metabolism,-834.55,7.0,-800.32,-70.14,2 C00007 + C00283 <=> C00059
hacd1,1.1.1.35,Membrane Lipid Metabolism,-15.5,1.21,-15.5,-1.36,C00004 + C00332 <=> C00003 + C01144
hacd2,1.1.1.35,Membrane Lipid Metabolism,-21.98,1.48,-21.98,-1.93,C00004 + C05269 <=> C00003 + C05268
hacd3,1.1.1.35,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C05267 <=> C00003 + C05266
hacd4,1.1.1.35,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C05265 <=> C00003 + C05264
hacd5,1.1.1.35,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C05263 <=> C00003 + C05262
hacd6,1.1.1.35,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C05261 <=> C00003 + C05260
hacd7,1.1.1.35,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C05259 <=> C00003 + C05258
hacd8,,Membrane Lipid Metabolism,-17.97,0.98,-17.97,-1.57,C00004 + C16216 <=> C00003 + C16217
hadpcoadh3,1.1.1.35,Alternate Carbon Metabolism,18.14,0.98,18.14,1.59,C00003 + C14145 <=> C00004 + C02232
hbzopt,2.5.1.39,Cofactor and Prosthetic Group Biosynthesis,-78.44,2.75,-78.44,-6.87,C00156 + C04146 <=> C00013 + C05809
hco3e,4.2.1.1,Unassigned,-6.92,3.15,-6.92,-1.21,C00001 + C00011 <=> C00288
hetzk,2.7.1.50,Cofactor and Prosthetic Group Biosynthesis,-18.09,1.78,-18.09,-1.59,C00002 + C04294 <=> C00008 + C04327
hex4,2.7.1.7,Alternate Carbon Metabolism,-17.81,1.44,-17.81,-1.56,C00002 + C00159 <=> C00008 + C00275
hex7,2.7.1.4,Alternate Carbon Metabolism,-15.68,0.6,-15.68,-1.37,C00002 + C00095 <=> C00008 + C00085
histp,3.1.3.15,Histidine Metabolism,-18.68,2.16,-35.79,-4.18,C00001 + C01100 <=> C00009 + C00860
hknddh,3.7.1.14,Alternate Carbon Metabolism,-54.53,2.54,-71.64,-8.37,C00001 + C04479 <=> C00042 + C00596
hmpk1,2.7.1.49,Cofactor and Prosthetic Group Biosynthesis,-13.0,1.22,-13.0,-1.14,C00002 + C01279 <=> C00008 + C04556
hopntal,4.1.3.39,Alternate Carbon Metabolism,10.23,1.78,-6.89,-0.8,C03589 <=> C00022 + C00084
hppk2,2.7.6.3,Cofactor and Prosthetic Group Biosynthesis,-10.14,2.42,-10.14,-0.89,C00002 + C01300 <=> C00020 + C04807
hpppndo,1.13.11.16,Alternate Carbon Metabolism,-259.58,5.27,-242.46,-28.33,C00007 + C04044 <=> C04479
hpyri,5.3.1.22,Alternate Carbon Metabolism,1.41,1.75,1.41,0.25,C00168 <=> C01146
hxand,1.17.1.4,Nucleotide Salvage Pathway,14.74,3.81,14.74,1.29,C00001 + C00003 + C00262 <=> C00004 + C00385
hxct,2.8.3.8,Alternate Carbon Metabolism,-4.95,1.45,-4.95,-0.43,C00024 + C01585 <=> C00033 + C05270
hxprt,2.4.2.8,Nucleotide Salvage Pathway,-26.41,1.59,-26.41,-2.31,C00119 + C00262 <=> C00013 + C00130
hypoe,3.1.3.74,Cofactor and Prosthetic Group Biosynthesis,-13.79,2.69,-30.91,-3.61,C00001 + C00647 <=> C00009 + C00534
icdhyr,1.1.1.42,Citric Acid Cycle,5.97,3.23,-11.14,-0.78,C00006 + C00311 <=> C00005 + C00011 + C00026
ichors,5.4.4.2,,0.98,1.71,0.98,0.17,C00251 <=> C00885
ichorsi,,,0.98,1.71,0.98,0.17,C00251 <=> C00885
ichort,3.3.2.1,Cofactor and Prosthetic Group Biosynthesis,-43.53,2.81,-60.65,-7.09,C00001 + C00885 <=> C00022 + C04171
icl,4.1.3.1,Anaplerotic Reactions,9.44,1.36,-7.67,-0.9,C00311 <=> C00042 + C00048
igpdh,4.2.1.19,Histidine Metabolism,-41.66,1.96,-41.66,-7.3,C04666 <=> C00001 + C01267
igps,4.1.1.48,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",-83.11,5.92,-100.23,-11.71,C01302 <=> C00001 + C00011 + C03506
impc,3.5.4.10,Purine and Pyrimidine Biosynthesis,18.33,5.46,18.33,3.21,C00001 + C00130 <=> C04734
impd,1.1.1.205,Purine and Pyrimidine Biosynthesis,19.6,3.8,19.6,1.72,C00001 + C00003 + C00130 <=> C00004 + C00655
insk,2.7.1.73,Nucleotide Salvage Pathway,-21.85,1.89,-21.85,-1.91,C00002 + C00294 <=> C00008 + C00130
ipddi,5.3.3.2,Cofactor and Prosthetic Group Biosynthesis,-4.9,2.96,-4.9,-0.86,C00129 <=> C00235
ipdps,1.17.1.2,Cofactor and Prosthetic Group Biosynthesis,-58.99,1.85,-58.99,-5.17,C00004 + C11811 <=> C00001 + C00003 + C00129
ipmd,1.1.1.85,"Valine, Leucine, and Isoleucine Metabolism",18.15,0.98,18.15,1.59,C00003 + C04411 <=> C00004 + C04236
ippmia,4.2.1.33,"Valine, Leucine, and Isoleucine Metabolism",-3.21,1.88,-3.21,-0.56,C04411 <=> C00001 + C02631
ippmib,4.2.1.33,"Valine, Leucine, and Isoleucine Metabolism",-3.18,1.89,-3.18,-0.56,C00001 + C02631 <=> C02504
ipps,2.3.3.13,"Valine, Leucine, and Isoleucine Metabolism",-27.87,1.34,-27.87,-2.44,C00001 + C00024 + C00141 <=> C00010 + C02504
kara2,1.1.1.86,"Valine, Leucine, and Isoleucine Metabolism",-18.32,1.0,-18.32,-1.61,C00005 + C00659 <=> C00006 + C04104
kdoct2,2.7.7.38,Lipopolysaccharide Biosynthesis / Recycling,222.44,70710.68,222.44,19.5,C00063 + C01187 <=> C00013 + C04121
kdopp,3.1.3.45,Lipopolysaccharide Biosynthesis / Recycling,-10.65,1.23,-27.76,-3.24,C00001 + C04478 <=> C00009 + C01187
kdops,2.5.1.55,Lipopolysaccharide Biosynthesis / Recycling,-63.75,2.55,-63.75,-5.59,C00001 + C00074 + C01112 <=> C00009 + C04478
lipatpt,2.7.7.63,Cofactor and Prosthetic Group Biosynthesis,1166.45,100000.0,1166.45,102.23,C00002 + C00725 <=> C00013 + C16238
m1pd,1.1.1.17,Alternate Carbon Metabolism,8.66,1.22,8.66,0.76,C00003 + C00644 <=> C00004 + C00085
maltatr,2.3.1.79,Alternate Carbon Metabolism,-2.74,3.66,-2.74,-0.24,C00024 + C00208 <=> C00010 + C02130
maltptspp,,"Transport, Inner Membrane",-39.49,2.8,-39.49,-3.46,C00074 + C00208 <=> C00022 + C02995
man1pt2,2.7.7.22,Cell Envelope Biosynthesis,6.81,3.26,6.81,0.6,C00035 + C00636 <=> C00009 + C00096
man6pi,5.3.1.8,Alternate Carbon Metabolism,-0.67,1.17,-0.67,-0.12,C00275 <=> C00085
manao,1.1.1.57,Alternate Carbon Metabolism,11.55,1.88,11.55,1.01,C00003 + C00514 <=> C00004 + C00905
manglycptspp,,"Transport, Inner Membrane",-42.23,1.29,-42.23,-3.7,C00074 + C11544 <=> C00022 + C16699
manptspp,,"Transport, Inner Membrane",-43.62,1.5,-43.62,-3.82,C00074 + C00159 <=> C00022 + C00275
mcitd,4.2.1.79,Alternate Carbon Metabolism,-0.76,2.85,-0.76,-0.13,C02225 <=> C00001 + C04225
mcitl2,4.1.3.30,Alternate Carbon Metabolism,10.15,3.01,-6.96,-0.81,C04593 <=> C00022 + C00042
mcits,2.3.3.5,Alternate Carbon Metabolism,-42.16,3.38,-42.16,-3.7,C00001 + C00036 + C00100 <=> C00010 + C02225
mcpst,2.8.1.2,Cysteine Metabolism,-43.19,0.0,-43.19,-3.79,C00177 + C00957 <=> C00022 + C01755
mecdps,4.6.1.12,Cofactor and Prosthetic Group Biosynthesis,1821.94,100000.0,1804.83,210.91,C11436 <=> C00055 + C11453
mepct,2.7.7.60,Cofactor and Prosthetic Group Biosynthesis,-3.91,1.65,-3.91,-0.34,C00063 + C11434 <=> C00013 + C11435
mgsa,4.2.3.3,Methylglyoxal Metabolism,-56.13,1.94,-73.25,-8.56,C00111 <=> C00009 + C00546
micitdr,4.2.1.99,Alternate Carbon Metabolism,0.76,2.85,0.76,0.13,C00001 + C04225 <=> C04593
mltp1,2.4.1.1,Alternate Carbon Metabolism,2.83,1.86,2.83,0.25,C00009 + C06218 <=> C00103 + C02013
mltp2,2.4.1.1,Alternate Carbon Metabolism,2.83,1.86,2.83,0.25,C00009 + C01936 <=> C00103 + C06218
mltp3,2.4.1.1,Alternate Carbon Metabolism,2.83,1.86,2.83,0.25,C00009 + C06216 <=> C00103 + C01936
mn6pp,,Alternate Carbon Metabolism,-9.27,1.43,-26.39,-3.08,C00001 + C00275 <=> C00009 + C00159
mnlptspp,,"Transport, Inner Membrane",-42.22,1.84,-42.22,-3.7,C00074 + C00392 <=> C00022 + C00644
mnnh,4.2.1.8,Alternate Carbon Metabolism,-37.43,3.71,-37.43,-6.56,C00514 <=> C00001 + C00204
moat,2.4.99.12,Lipopolysaccharide Biosynthesis / Recycling,-250.42,70710.68,-250.42,-21.95,C04121 + C04919 <=> C00055 + C06024
moat2,2.4.99.13,Lipopolysaccharide Biosynthesis / Recycling,-244.59,70710.68,-244.59,-21.44,C04121 + C06024 <=> C00055 + C06025
mobdabcpp,3.6.3.29,Inorganic Ion Transport and Metabolism,-40.5,0.0,-40.5,-3.55,C00001 + C00002 + C06232 <=> C00008 + C00009
mobdtex,,"Transport, Outer Membrane Porin",0.0,0.0,-17.11,-6.0, <=> C06232
mohmt,2.1.2.11,Cofactor and Prosthetic Group Biosynthesis,5.58,4.96,5.58,0.49,C00001 + C00141 + C00143 <=> C00101 + C00966
msar,1.1.1.298,Nucleotide Salvage Pathway,-21.52,2.98,-21.52,-1.89,C00005 + C00222 <=> C00006 + C01013
mtan,3.2.2.9,Arginine and Proline Metabolism,-11.69,2.21,-28.8,-3.37,C00001 + C00170 <=> C00147 + C03089
mthfc,3.5.4.9,Folate Metabolism,-5.7,0.92,-5.7,-1.0,C00001 + C00445 <=> C00234
mthfd,1.5.1.5,Folate Metabolism,7.44,1.15,7.44,0.65,C00006 + C00143 <=> C00005 + C00445
mthfr2,1.5.1.20,Folate Metabolism,-35.33,4.22,-35.33,-3.1,C00004 + C00143 <=> C00003 + C00440
nacoda,,Arginine and Proline Metabolism,-8.46,1.8,-25.57,-2.99,C00001 + C01250 <=> C00033 + C01165
naddp,3.6.1.9,Cofactor and Prosthetic Group Biosynthesis,-40.18,3.02,-57.29,-6.69,C00001 + C00003 <=> C00020 + C00455
nadk,2.7.1.23,Cofactor and Prosthetic Group Biosynthesis,-13.72,2.96,-13.72,-1.2,C00002 + C00003 <=> C00006 + C00008
nadn,3.5.1.-,Cofactor and Prosthetic Group Biosynthesis,-38.56,3.23,-55.68,-6.51,C00001 + C00003 <=> C00153 + C00301
nadppps,3.1.3.-,Cofactor and Prosthetic Group Biosynthesis,-13.36,2.98,-30.48,-3.56,C00001 + C00006 <=> C00003 + C00009
nadtrhd,1.6.1.3,Oxidative Phosphorylation,-0.18,0.34,-0.18,-0.02,C00003 + C00005 <=> C00004 + C00006
namnpp,6.3.4.21,Cofactor and Prosthetic Group Biosynthesis,-26.77,2.98,-43.89,-2.2,C00001 + C00002 + C00119 + C00253 <=> C00008 + C00009 + C00013 + C01185
ndpk1,2.7.4.6,Nucleotide Salvage Pathway,-2.5,1.35,-2.5,-0.22,C00002 + C00035 <=> C00008 + C00044
ndpk2,2.7.4.6,Nucleotide Salvage Pathway,-3.0,1.28,-3.0,-0.26,C00002 + C00015 <=> C00008 + C00075
ndpk3,2.7.4.6,Nucleotide Salvage Pathway,-0.49,2.34,-0.49,-0.04,C00002 + C00112 <=> C00008 + C00063
ndpk4,2.7.4.6,Nucleotide Salvage Pathway,2.22,2.62,2.22,0.19,C00002 + C00363 <=> C00008 + C00459
ndpk5,2.7.4.6,Nucleotide Salvage Pathway,2.74,2.39,2.74,0.24,C00002 + C00361 <=> C00008 + C00286
ndpk6,2.7.4.6,Nucleotide Salvage Pathway,1.14,1.26,1.14,0.1,C00002 + C01346 <=> C00008 + C00460
ndpk7,2.7.4.6,Nucleotide Salvage Pathway,4.32,2.39,4.32,0.38,C00002 + C00705 <=> C00008 + C00458
ndpk8,2.7.4.6,Nucleotide Salvage Pathway,3.13,1.46,3.13,0.27,C00002 + C00206 <=> C00008 + C00131
nhfrbo,1.7.1.14,Nitrogen Metabolism,-288.06,6.66,-270.95,-19.0,C00004 + 2 C00533 <=> C00001 + C00003 + C00887
nmnat,2.7.7.18,Cofactor and Prosthetic Group Biosynthesis,2.19,2.96,2.19,0.19,C00002 + C00455 <=> C00003 + C00013
nmnn,3.2.2.14,Cofactor and Prosthetic Group Biosynthesis,-26.73,4.91,-43.84,-5.12,C00001 + C00455 <=> C00153 + C03736
nmnt7pp,3.2.2.14,"Transport, Inner Membrane",-26.73,4.91,-43.84,-5.12,C00001 + C00455 <=> C00153 + C03736
nnatr,2.7.7.18,Nucleotide Salvage Pathway,-20.74,4.57,-20.74,-1.82,C00002 + C01185 <=> C00013 + C00857
nndmbrt,2.4.2.21,Cofactor and Prosthetic Group Biosynthesis,-23.84,3.87,-23.84,-2.09,C01185 + C03114 <=> C00253 + C04778
nndpr,2.4.2.19,Cofactor and Prosthetic Group Biosynthesis,-18.06,4.24,-35.18,-2.47,C00119 + C03722 <=> C00011 + C00013 + C01185
nodox,1.14.12.17,Nitrogen Metabolism,-490.25,10.27,-456.02,-19.98,C00004 + 2 C00007 + 2 C00533 <=> C00003 + 2 C00244
nodoy,1.14.12.17,Nitrogen Metabolism,-490.43,10.27,-456.2,-19.99,C00005 + 2 C00007 + 2 C00533 <=> C00006 + 2 C00244
ntd1,3.1.3.89,Nucleotide Salvage Pathway,-12.36,1.23,-29.47,-3.44,C00001 + C00365 <=> C00009 + C00526
ntd10,3.1.3.5,Nucleotide Salvage Pathway,-11.79,2.16,-28.9,-3.38,C00001 + C00655 <=> C00009 + C01762
ntd10pp,3.1.3.5,Nucleotide Salvage Pathway,-11.79,2.16,-28.9,-3.38,C00001 + C00655 <=> C00009 + C01762
ntd11,3.1.3.5,Nucleotide Salvage Pathway,-5.24,1.88,-22.36,-2.61,C00001 + C00130 <=> C00009 + C00294
ntd11pp,3.1.3.5,Nucleotide Salvage Pathway,-5.24,1.88,-22.36,-2.61,C00001 + C00130 <=> C00009 + C00294
ntd12,,Nucleotide Salvage Pathway,-14.98,2.38,-32.1,-3.75,C00001 + C06196 <=> C00009 + C05512
ntd12pp,,Nucleotide Salvage Pathway,-14.98,2.38,-32.1,-3.75,C00001 + C06196 <=> C00009 + C05512
ntd1pp,3.1.3.89,Nucleotide Salvage Pathway,-12.36,1.23,-29.47,-3.44,C00001 + C00365 <=> C00009 + C00526
ntd2,3.1.3.5,Nucleotide Salvage Pathway,-8.69,4.17,-25.8,-3.02,C00001 + C00105 <=> C00009 + C00299
ntd2pp,3.1.3.5,Nucleotide Salvage Pathway,-8.69,4.17,-25.8,-3.02,C00001 + C00105 <=> C00009 + C00299
ntd3,3.1.3.89,Nucleotide Salvage Pathway,-15.61,2.33,-32.73,-3.82,C00001 + C00239 <=> C00009 + C00881
ntd3pp,3.1.3.89,Nucleotide Salvage Pathway,-15.61,2.33,-32.73,-3.82,C00001 + C00239 <=> C00009 + C00881
ntd4,3.1.3.91,Nucleotide Salvage Pathway,-15.06,2.76,-32.18,-3.76,C00001 + C00055 <=> C00009 + C00475
ntd4pp,3.1.3.91,Nucleotide Salvage Pathway,-15.06,2.76,-32.18,-3.76,C00001 + C00055 <=> C00009 + C00475
ntd5,3.1.3.89,Nucleotide Salvage Pathway,-10.43,2.97,-27.55,-3.22,C00001 + C00364 <=> C00009 + C00214
ntd5pp,3.1.3.89,Nucleotide Salvage Pathway,-10.43,2.97,-27.55,-3.22,C00001 + C00364 <=> C00009 + C00214
ntd6,3.1.3.89,Nucleotide Salvage Pathway,-16.46,2.56,-33.58,-3.92,C00001 + C00360 <=> C00009 + C00559
ntd6pp,3.1.3.89,Nucleotide Salvage Pathway,-16.46,2.56,-33.58,-3.92,C00001 + C00360 <=> C00009 + C00559
ntd7,3.1.3.5,Nucleotide Salvage Pathway,-13.86,1.42,-30.98,-3.62,C00001 + C00020 <=> C00009 + C00212
ntd7pp,3.1.3.5,Nucleotide Salvage Pathway,-13.86,1.42,-30.98,-3.62,C00001 + C00020 <=> C00009 + C00212
ntd8,3.1.3.89,Nucleotide Salvage Pathway,-14.07,2.33,-31.18,-3.64,C00001 + C00362 <=> C00009 + C00330
ntd8pp,3.1.3.89,Nucleotide Salvage Pathway,-14.07,2.33,-31.18,-3.64,C00001 + C00362 <=> C00009 + C00330
