,bigg.metabolite,bigg.reaction,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,chebiID,SPL
386,ca2,lcadi,50% inhibition at 5 mM,Calcium cation,1.2.1.22,C00076,,15,Ca2+,288133,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
387,ca2,manao,ReactionID=MANNONOXIDOREDUCT-RXN,Calcium cation,1.1.1.57,C00076,,CA+2,,,+,Escherichia coli,EcoCyc,CHEBI:29108,3.0
388,ca2,mcitl2,ReactionID=METHYLISOCITRATE-LYASE-RXN,Calcium cation,4.1.3.30,C00076,,CA+2,,,-,Escherichia coli,EcoCyc,CHEBI:29108,5.0
389,ca2,me2,,Calcium cation,1.1.1.40,C00076,,15,Ca2+,722940,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
390,ca2,mi1pp,,Calcium cation,3.1.3.25,C00076,,15,Ca2+,665294,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
391,ca2,pants,,Calcium cation,6.3.2.1,C00076,,15,Ca2+,"977, 978, 979",-,Escherichia coli,BRENDA,CHEBI:29108,3.0
392,ca2,pgamt,80% reduced activity,Calcium cation,5.4.2.10,C00076,,15,Ca2+,210870,-,Escherichia coli,BRENDA,CHEBI:29108,5.0
393,ca2,pgsa120,ReactionID=PHOSPHAGLYPSYN-RXN,Calcium cation,2.7.8.5,C00076,,15,Ca2+,644289,-,Escherichia coli,BRENDA,CHEBI:29108,5.0
394,ca2,ppa,ReactionID=INORGPYROPHOSPHAT-RXN,Calcium cation,3.6.1.1,C00076,,CA+2,,,-,Escherichia coli,EcoCyc,CHEBI:29108,3.0
395,ca2,ppa2,ReactionID=TRIPHOSPHATASE-RXN,Calcium cation,3.6.1.25,C00076,,CA+2,,,-,Escherichia coli,EcoCyc,CHEBI:29108,3.0
396,ca2,ppck,ReactionID=PEPCARBOXYKIN-RXN,Calcium cation,4.1.1.49,C00076,,CA+2,,,+,Escherichia coli,EcoCyc,CHEBI:29108,3.0
397,ca2,ppm2,in presence of 0.2 mM CoCl2,Calcium cation,5.4.2.7,C00076,,15,Ca2+,3340,-,Escherichia coli,BRENDA,CHEBI:29108,5.0
398,ca2,pps,inhibits Mn2+-activated enzyme,Calcium cation,2.7.9.2,C00076,,15,Ca2+,645468,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
399,ca2,prpps,inhibition even in presence of excess Mg2+,Calcium cation,2.7.6.1,C00076,0.032,15,Ca2+,"642710, 642732",-,Escherichia coli,BRENDA,CHEBI:29108,3.0
400,ca2,pyk,ReactionID=PEPDEPHOS-RXN,Calcium cation,2.7.1.40,C00076,,15,Ca2+,654470,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
401,ca2,sulri,strong inhibition,Calcium cation,1.8.1.2,C00076,,15,Ca2+,656421,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
402,ca2,thd2pp,slightly inhibitory,Calcium cation,1.6.1.1,C00076,,15,Ca2+,725040,-,Escherichia coli,BRENDA,CHEBI:29108,3.0
403,ca2,trdr,,Calcium cation,1.8.1.9,C00076,,15,Ca2+,"394908, 394952",-,Escherichia coli,BRENDA,CHEBI:29108,3.0
404,ca2,u23gaat,inhibition is overcome by the addition of excess (3R)-3-hydroxymyristoyl-[acyl-carrier protein],Calcium cation,2.3.1.191,C00076,,15,Ca2+,696264,-,Escherichia coli,BRENDA,CHEBI:29108,5.0
405,ca2,uagpt3,,Calcium cation,2.4.1.227,C00076,,15,Ca2+,488971,+,Escherichia coli,BRENDA,CHEBI:29108,5.0
406,camp,ab6pgh,,"3',5'-Cyclic AMP",3.2.1.86,C00575,,5478,"3',5'-AMP",136924,-,Escherichia coli,BRENDA,CHEBI:17489,5.0
407,camp,cdappa120,,"3',5'-Cyclic AMP",3.6.1.26,C00575,,268,cAMP,210004,-,Escherichia coli,BRENDA,CHEBI:17489,5.0
408,camp,me2,ReactionID=MALIC-NADP-RXN,,1.1.1.40,,,CAMP,,,-,Escherichia coli,EcoCyc,CHEBI:58165,5.0
409,cbm,rndr1,"10 mM, 43% inhibition",Carbamate,1.17.4.1,C01563,,108977,formohydroxamic acid,437909,-,Escherichia coli,BRENDA,CHEBI:28616,5.0
410,cbp,glns,ReactionID=GLUTAMINESYN-RXN,,6.3.1.2,,,CARBAMOYL-P,,,-,Escherichia coli,EcoCyc,CHEBI:58228,3.0
411,cd2,a5piso,"0.01 mM, complete inhibition",Cadmium,5.3.1.13,C01413,,52,Cd2+,652445,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
412,cd2,acgs,"0.1 mM, 94% inhibition",Cadmium,2.3.1.1,C01413,,52,Cd2+,486063,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
413,cd2,acoda,ReactionID=ACETYLORNDEACET-RXN,Cadmium,3.5.1.16,C01413,,CD+2,,,-,Escherichia coli,EcoCyc,CHEBI:48775,5.0
414,cd2,adsk,in excess,Cadmium,2.7.1.25,C01413,,52,Cd2+,641215,-,Escherichia coli,BRENDA,CHEBI:48775,3.0
415,cd2,asp1dc,ReactionID=GLUTDECARBOX-RXN,Cadmium,4.1.1.15,C01413,,52,Cd2+,3992,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
416,cd2,fci,ReactionID=DARABISOM-RXN,Cadmium,5.3.1.3,C01413,,52,Cd2+,2684,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
417,cd2,fum,ReactionID=FUMHYDR-RXN,Cadmium,4.2.1.2,C01413,,CD+2,,,-,Escherichia coli,EcoCyc,CHEBI:48775,7.0
418,cd2,g6pdh2r,"1 mM, 83% inhibition",Cadmium,1.1.1.49,C01413,,52,Cd2+,722473,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
419,cd2,gals3,ReactionID=ALPHAGALACTOSID-RXN,Cadmium,3.2.1.22,C01413,,CD+2,,,-,Escherichia coli,EcoCyc,CHEBI:48775,5.0
420,cd2,hbzopt,inhibitory effect,Cadmium,2.5.1.39,C01413,,52,Cd2+,704240,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
421,cd2,kdopp,ReactionID=KDO-8PPHOSPHAT-RXN,Cadmium,3.1.3.45,C01413,,52,Cd2+,"646344, 652389",-,Escherichia coli,BRENDA,CHEBI:48775,3.0
422,cd2,kdops,1 mM,Cadmium,2.5.1.55,C01413,,52,Cd2+,637395,-,Escherichia coli,BRENDA,CHEBI:48775,3.0
423,cd2,lacz,,Cadmium,3.2.1.23,C01413,,52,Cd2+,171273,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
424,cd2,ppm2,in presence of 0.2 mM CoCl2,Cadmium,5.4.2.7,C01413,,52,Cd2+,3340,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
425,cd2,sulri,,Cadmium,1.8.1.2,C01413,,52,Cd2+,656421,-,Escherichia coli,BRENDA,CHEBI:48775,5.0
426,cd2,thrd,ReactionID=THREODEHYD-RXN,Cadmium,1.1.1.103,C01413,,CD+2,,,+,Escherichia coli,EcoCyc,CHEBI:48775,5.0
427,cd2,zn2abcpp,in absence of thiolates Cd(II) inhibits above pH 6,Cadmium,3.6.3.5,C01413,,52,Cd2+,246929,-,Escherichia coli,BRENDA,CHEBI:48775,3.0
428,cdp,ppc,ReactionID=PEPCARBOX-RXN,,4.1.1.31,,,CDP,,,+,Escherichia coli,EcoCyc,CHEBI:58069,3.0
429,cdp,rndr1,competitive inhibition of UDP reduction,CDP,1.17.4.1,C00112,,212,CDP,437938,-,Escherichia coli,BRENDA,CHEBI:17239,3.0
430,chol,betaldhx,"100 mM, 78% inhibition",Choline,1.2.1.8,C00114,11.0,149,choline,390329,-,Escherichia coli,BRENDA,CHEBI:72322,3.0
431,cinnm,kas15,,Cinnamic acid,2.3.1.180,C10438,,864,Cinnamic acid,719087,-,Escherichia coli,BRENDA,CHEBI:27386,5.0
432,cit,accoac,,,6.4.1.2,,,131,citrate,37593,+,Escherichia coli,BRENDA,CHEBI:76049,3.0
433,cit,aspt,ReactionID=ASPARTASE-RXN,,4.3.1.1,,,CIT,,,-,Escherichia coli,EcoCyc,CHEBI:16947,5.0
434,cit,chorm,ReactionID=CHORISMATEMUT-RXN,,5.4.99.5,,,CIT,,,-,Escherichia coli,EcoCyc,CHEBI:16947,5.0
435,cit,fba,ReactionID=F16ALDOLASE-RXN,,4.1.2.13,,,131,citrate,4914,+,Escherichia coli,BRENDA,CHEBI:76049,5.0
436,cit,fbp,ReactionID=F16BDEPHOS-RXN,,3.1.3.11,,,131,citrate,680756,+,Escherichia coli,BRENDA,CHEBI:76049,3.0
437,cit,fum,ReactionID=FUMHYDR-RXN,,4.2.1.2,,,131,citrate,33771,-,Escherichia coli,BRENDA,CHEBI:76049,5.0
438,cit,galctd,ReactionID=GALACTARDEHYDRA-RXN,,4.2.1.42,,,131,citrate,5701,-,Escherichia coli,BRENDA,CHEBI:76049,7.0
439,cit,glcs1,,,2.4.1.21,,,131,citrate,"488903, 488914",+,Escherichia coli,BRENDA,CHEBI:76049,3.0
440,cit,lacz,slight inhibition at 200 mg/l,,3.2.1.23,,,131,citrate,171271,-,Escherichia coli,BRENDA,CHEBI:76049,5.0
441,cit,pfk,strong inhibition,,2.7.1.11,,,131,citrate,640421,-,Escherichia coli,BRENDA,CHEBI:76049,3.0
442,cit,ppc,,,4.1.1.31,,,131,citrate,4311,-,Escherichia coli,BRENDA,CHEBI:76049,3.0
443,citr__l,acgs,"10 mM, 75% inhibition",,2.3.1.1,,,938,L-citrulline,486063,-,Escherichia coli,BRENDA,CHEBI:57743,5.0
444,citr__l,argdc,L-citrulline,,4.1.1.19,,,1464,citrulline,4085,-,Escherichia coli,BRENDA,CHEBI:18211,5.0
445,citr__l,argtrs,,,6.1.1.19,,,1464,citrulline,269,-,Escherichia coli,BRENDA,CHEBI:18211,3.0
446,cl,asp1dc,,Hydrochloric acid,4.1.1.15,C01327,,141,Cl-,3973,+,Escherichia coli,BRENDA,CHEBI:17883,3.0
447,cl,aspct,"inhibition of catalytic subunits, C3",Hydrochloric acid,2.1.3.2,C01327,1.1,141,Cl-,485853,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
448,cl,dhfr,,Hydrochloric acid,1.5.1.3,C01327,,141,Cl-,392241,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
449,cl,dhqti,ReactionID=3-DEHYDROQUINATE-DEHYDRATASE-RXN,Hydrochloric acid,4.2.1.10,C01327,,141,Cl-,"5473, 5474",-,Escherichia coli,BRENDA,CHEBI:17883,5.0
450,cl,durik1,,Hydrochloric acid,2.7.1.21,C01327,,141,Cl-,641144,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
451,cl,fhl,ReactionID=RXN0-3281,Cl-,1.1.99.33,C00698,,CL-,,,-,Escherichia coli,EcoCyc,CHEBI:17996,5.0
452,cl,ghmt2r,ReactionID=GLYOHMETRANS-RXN,Cl-,2.1.2.1,C00698,10.0,CL-,,,-,Escherichia coli,EcoCyc,CHEBI:17996,3.0
453,cl,glcral,ReactionID=KDGALDOL-RXN,Cl-,4.1.2.20,C00698,,CL-,,,-,Escherichia coli,EcoCyc,CHEBI:17996,5.0
454,cl,icl,ReactionID=ISOCIT-CLEAV-RXN,Hydrochloric acid,4.1.3.1,C01327,,141,Cl-,33118,-,Escherichia coli,BRENDA,CHEBI:17883,5.0
455,cl,kdopp,ReactionID=KDO-8PPHOSPHAT-RXN,Hydrochloric acid,3.1.3.45,C01327,,141,Cl-,646344,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
456,cl,lacz,,Hydrochloric acid,3.2.1.23,C01327,,298,chloride,679236,-,Escherichia coli,BRENDA,CHEBI:17883,5.0
457,cl,pglycp,,Hydrochloric acid,3.1.3.18,C01327,,141,Cl-,651727,+,Escherichia coli,BRENDA,CHEBI:17883,3.0
458,cl,sulri,,Hydrochloric acid,1.8.1.2,C01327,,141,Cl-,392964,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
459,cl,tyrtrs,"inhibition in presence of 1 mM free Mg2+, no inhibition in presence of 10 mM free Mg2+",Hydrochloric acid,6.1.1.1,C01327,,298,chloride,650300,-,Escherichia coli,BRENDA,CHEBI:17883,3.0
460,cmp,ab6pgh,,CMP,3.2.1.86,C00055,,100,CMP,136924,-,Escherichia coli,BRENDA,CHEBI:17361,5.0
461,cmp,cdappa120,no inhibition,CMP,3.6.1.26,C00055,,100,CMP,210004,-,Escherichia coli,BRENDA,CHEBI:17361,1.0
462,cmp,gsnk,ReactionID=GUANOSINEKIN-RXN,,2.7.1.73,,,CMP,,,+,Escherichia coli,EcoCyc,CHEBI:60377,3.0
463,cmp,kdoct2,ReactionID=CPM-KDOSYNTH-RXN,,2.7.7.38,,,CMP,,,-,Escherichia coli,EcoCyc,CHEBI:60377,3.0
464,cmp,ppc,ReactionID=PEPCARBOX-RXN,,4.1.1.31,,,CMP,,,+,Escherichia coli,EcoCyc,CHEBI:60377,3.0
465,coa,3oar100,ReactionID=MALONYL-COA-ACP-TRANSACYL-RXN,,2.3.1.86,,,CO-A,,,-,Escherichia coli,EcoCyc,CHEBI:57287,3.0
466,coa,acgs,"2.5 mM, 50% inhibition",CoA,2.3.1.1,C00010,,534,coenzyme A,"486061, 486063",-,Escherichia coli,BRENDA,CHEBI:15346,1.0
467,coa,forct,free CoA,CoA,2.8.3.16,C00010,,534,coenzyme A,692851,-,Escherichia coli,BRENDA,CHEBI:15346,3.0
468,coa,g3pat120,ReactionID=RXN-1381,,2.3.1.15,,,CO-A,,,-,Escherichia coli,EcoCyc,CHEBI:57287,3.0
469,coa,gnd,ReactionID=RXN-9952,,1.1.1.44,,,CO-A,,,-,Escherichia coli,EcoCyc,CHEBI:57287,3.0
470,coa,maltatr,product inhibition,CoA,2.3.1.79,C00010,,5141,CoA-SH,487511,-,Escherichia coli,BRENDA,CHEBI:15346,1.0
471,coa,mohmt,above 1 mM,CoA,2.1.2.11,C00010,,534,coenzyme A,"485700, 485701",-,Escherichia coli,BRENDA,CHEBI:15346,3.0
472,coa,oxcdc,at pH 6.5 and 30°C,CoA,4.1.1.8,C00010,0.08,534,coenzyme A,714955,-,Escherichia coli,BRENDA,CHEBI:15346,5.0
473,coa,pntk,in vitro; in vivo; kinetics,CoA,2.7.1.33,C00010,,18,CoA,641393,-,Escherichia coli,BRENDA,CHEBI:15346,3.0
474,coa,ptpati,"Substrate: dephospho-CoA, Cosubstrate: diphosphate (1.6 mM)",CoA,2.7.7.3,C00010,0.011,18,CoA,674344,-,Escherichia coli,BRENDA,CHEBI:15346,3.0
475,coa,serat,,CoA,2.3.1.30,C00010,,18,CoA,486778,-,Escherichia coli,BRENDA,CHEBI:15346,1.0
476,cobalt2,23pde2pp,ReactionID=CYCPHOSDIESTER-RXN,Cobalt ion,3.1.4.16,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,7.0
477,cobalt2,3ntd2pp,ReactionID=3-NUCLEOTID-RXN,Cobalt ion,3.1.3.6,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,5.0
478,cobalt2,a5piso,,Cobalt ion,5.3.1.13,C00175,,23,Co2+,2624,-,Escherichia coli,BRENDA,CHEBI:48828,5.0
479,cobalt2,abutd,50.3% residual activity at 1 mM,Cobalt ion,1.2.1.3,C00175,,23,Co2+,690591,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
480,cobalt2,acoda,ReactionID=ACETYLORNDEACET-RXN,Cobalt ion,3.5.1.16,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,5.0
481,cobalt2,admdc,ReactionID=SAMDECARB-RXN,Cobalt ion,4.1.1.50,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,3.0
482,cobalt2,adncyc,high concentrations,Cobalt ion,4.6.1.1,C00175,,23,Co2+,"34764, 34790",-,Escherichia coli,BRENDA,CHEBI:48828,3.0
483,cobalt2,adsk,"in excess, activating below",Cobalt ion,2.7.1.25,C00175,,23,Co2+,641215,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
484,cobalt2,agmt,,Cobalt ion,3.5.3.11,C00175,,23,Co2+,246685,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
485,cobalt2,amptasecg,"when substrates are cleaved rapidly by dipeptidase, addition of Co2+ inhibits the reaction. The more slowly a substrate is hydrolyzed in the absence of metals, the greater the activating effect",Cobalt ion,3.4.13.18,C00175,,23,Co2+,137173,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
486,cobalt2,argsl,ReactionID=ARGSUCCINLYA-RXN,Cobalt ion,4.3.2.1,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,3.0
487,cobalt2,ctps2,above 2 mM,Cobalt ion,6.3.4.2,C00175,,23,Co2+,649002,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
488,cobalt2,dmpps,"weak inhibition of the enzyme, when FAD is used as reducing cofactor",Cobalt ion,1.17.1.2,C00175,,23,Co2+,639341,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
489,cobalt2,g5sd,50% inhibition at 2.5 mM,Cobalt ion,1.2.1.41,C00175,,23,Co2+,390308,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
490,cobalt2,g6pdh2r,"1 mM, 56% inhibition",Cobalt ion,1.1.1.49,C00175,,23,Co2+,722473,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
491,cobalt2,glcrd,high concentrations,Cobalt ion,4.2.1.40,C00175,,23,Co2+,33840,-,Escherichia coli,BRENDA,CHEBI:48828,7.0
492,cobalt2,glutrr,,Cobalt ion,1.2.1.70,C00175,,23,Co2+,656104,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
493,cobalt2,kdopp,ReactionID=KDO-8PPHOSPHAT-RXN,Cobalt ion,3.1.3.45,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,3.0
494,cobalt2,me2,,Cobalt ion,1.1.1.40,C00175,,23,Co2+,722940,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
495,cobalt2,ntd10,ReactionID=5-NUCLEOTID-RXN,Cobalt ion,3.1.3.5,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,3.0
496,cobalt2,pants,,Cobalt ion,6.3.2.1,C00175,,23,Co2+,"977, 978",-,Escherichia coli,BRENDA,CHEBI:48828,3.0
497,cobalt2,rmpa,"1 mM, 50% inhibition",Cobalt ion,4.1.2.19,C00175,1.0,23,Co2+,5065,-,Escherichia coli,BRENDA,CHEBI:48828,5.0
498,cobalt2,rndr1,RNR activity chelates with copper leading to inactivation,Cobalt ion,1.17.4.1,C00175,,23,Co2+,715085,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
499,cobalt2,sulri,strong inhibition,Cobalt ion,1.8.1.2,C00175,,23,Co2+,656421,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
500,cobalt2,taudo,inhibits activity by 80-95% at 0.01-0.05 mM,Cobalt ion,1.14.11.17,C00175,,23,Co2+,285263,-,Escherichia coli,BRENDA,CHEBI:48828,5.0
501,cobalt2,thd2pp,,Cobalt ion,1.6.1.1,C00175,,23,Co2+,725040,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
502,cobalt2,thdps,ReactionID=TETHYDPICSUCC-RXN,Cobalt ion,2.3.1.117,C00175,,CO+2,,,-,Escherichia coli,EcoCyc,CHEBI:48828,3.0
503,cobalt2,uagcvt,"metal ions do not enhance the activity of enzymes, activity is inhibited by 10 mM",Cobalt ion,2.5.1.7,C00175,,23,Co2+,706916,-,Escherichia coli,BRENDA,CHEBI:48828,3.0
504,cobalt2,udpgalppp,ReactionID=UDPSUGARHYDRO-RXN,Cobalt ion,3.6.1.45,C00175,,CO+2,,,+,Escherichia coli,EcoCyc,CHEBI:48828,7.0
505,ctp,3ntd2pp,,,3.1.3.6,,,60,CTP,656266,-,Escherichia coli,BRENDA,CHEBI:37563,5.0
506,ctp,aspct,800-1000 mM urea lower or eliminate CTP inhibition,,2.1.3.2,,0.037,60,CTP,662646,+,Escherichia coli,BRENDA,CHEBI:37563,3.0
507,ctp,ctps2,IC50: 0.15 mM,,6.3.4.2,,0.08,60,CTP,648986,-,Escherichia coli,BRENDA,CHEBI:37563,1.0
508,ctp,cytdk2,ReactionID=URKI-RXN,,2.7.1.48,,,60,CTP,641644,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
509,ctp,dasyn120,competitive with dCTP,,2.7.7.41,,0.48,60,CTP,643308,-,Escherichia coli,BRENDA,CHEBI:37563,1.0
510,ctp,dxylk,ReactionID=CYTIDINEKIN-RXN,,2.7.1,,,CTP,,,-,Escherichia coli,EcoCyc,CHEBI:37563,3.0
511,ctp,glns,"no feedback inhibition of unadenylated enzyme form, enhanced sensitivity to feedback inhibition by adenylated enzyme form",,6.3.1.2,,,60,CTP,37497,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
512,ctp,glusy,9% inhibition at 25 mM and 21% inhibition at 50 mM,,1.4.1.13,,,60,CTP,391438,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
513,ctp,mepct,substrate inhibition,,2.7.7.60,,19.6,60,CTP,661089,-,Escherichia coli,BRENDA,CHEBI:37563,1.0
514,ctp,ntd1,"0.2 mM, 29% residual activity",,3.1.3.89,,,60,CTP,656266,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
515,ctp,ntd10,,,3.1.3.5,,,60,CTP,656266,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
516,ctp,ntpp1,competitive with GTP,,3.6.1.19,,,60,CTP,655847,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
517,ctp,tmppp,"4 mM, 58.7% inhibition",,2.5.1.3,,,60,CTP,639722,-,Escherichia coli,BRENDA,CHEBI:37563,3.0
518,cu2,23pde2pp,ReactionID=CYCPHOSDIESTER-RXN,,3.1.4.16,,,CU+2,,,-,Escherichia coli,EcoCyc,CHEBI:29036,7.0
519,cu2,3ntd2pp,ReactionID=3-NUCLEOTID-RXN,,3.1.3.6,,,CU+2,,,-,Escherichia coli,EcoCyc,CHEBI:29036,5.0
520,cu2,a5piso,,,5.3.1.13,,,19,Cu2+,652445,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
521,cu2,abutd,2.9% residual activity at 1 mM,,1.2.1.3,,,19,Cu2+,690591,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
522,cu2,acgs,"0.1 mM, 68% inhibition",,2.3.1.1,,,19,Cu2+,486063,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
523,cu2,acnml,"37% residual activity at 1 mM, 89% residual activity at 0.1 mM",,4.1.3.3,,,19,Cu2+,33314,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
524,cu2,acoda,ReactionID=ACETYLORNDEACET-RXN,,3.5.1.16,,,19,Cu2+,171960,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
525,cu2,acota,ReactionID=ACETYLORNTRANSAM-RXN,,2.6.1.11,,,19,Cu2+,644946,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
526,cu2,agpr,ReactionID=N-ACETYLGLUTPREDUCT-RXN,,1.2.1.38,,,19,Cu2+,390280,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
527,cu2,alltn,ReactionID=ALLANTOINASE-RXN,,3.5.2.5,,,CU+2,,,-,Escherichia coli,EcoCyc,CHEBI:29036,5.0
528,cu2,ap4ah,"no effect below 0.03 mM, inhibition above",,3.6.1.41,,,19,Cu2+,246765,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
529,cu2,asnn,ReactionID=GLUTAMIN-RXN,,3.5.1.38,,,CU+2,,,-,Escherichia coli,EcoCyc,CHEBI:29036,3.0
530,cu2,asp1dc,ReactionID=GLUTDECARBOX-RXN,,4.1.1.15,,,19,Cu2+,3992,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
531,cu2,csnd,Fe2+CDase,,3.5.4.1,,0.0018,19,Cu2+,209503,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
532,cu2,ctps2,"inhibition is not reversed by EDTA, in presence of dithiothreitol inhibition at concentrations below 0.2 mM",,6.3.4.2,,,19,Cu2+,649002,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
533,cu2,cytd,,,3.5.4.5,,,19,Cu2+,"209644, 209660, 209661",-,Escherichia coli,BRENDA,CHEBI:29036,3.0
534,cu2,ddpa,"0.02 mM, complete inactivation; Phe-sensitive isozyme, complete inactivation at 0.02 mM, destabilization of the enzymes quarternary structure; phosphoenolpyruvate protects",,2.5.1.54,,,19,Cu2+,639771,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
535,cu2,dhad1,CuSO4,,4.2.1.9,,,19,Cu2+,33959,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
536,cu2,dhqti,partial,,4.2.1.10,,,19,Cu2+,5463,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
537,cu2,dxprii,,,1.1.1.267,,,19,Cu2+,286427,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
538,cu2,g5sd,75% inhibition at 0.1 mM,,1.2.1.41,,,19,Cu2+,390308,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
539,cu2,g6pdh2r,"1 mM, complete inhibition",,1.1.1.49,,,19,Cu2+,722473,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
540,cu2,glcp2,"1 mM, strong inhibition",,2.4.1.1,,,19,Cu2+,488238,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
541,cu2,glxcl,ReactionID=GLYOCARBOLIG-RXN,,4.1.1.47,,,CU+2,,,-,Escherichia coli,EcoCyc,CHEBI:29036,5.0
542,cu2,glycdx,ReactionID=GLYCDEH-RXN,,1.1.1.6,,,19,Cu2+,636295,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
543,cu2,gsnk,ReactionID=INOSINEKIN-RXN,,2.7.1.73,,,19,Cu2+,641925,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
544,cu2,gtpci,,,3.5.4.16,,,19,Cu2+,"209545, 209546, 209553",-,Escherichia coli,BRENDA,CHEBI:29036,3.0
545,cu2,gui1,ReactionID=GALACTUROISOM-RXN,,5.3.1.12,,,19,Cu2+,2619,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
546,cu2,hbzopt,inhibitory effect,,2.5.1.39,,,19,Cu2+,704240,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
547,cu2,kdopp,ReactionID=KDO-8PPHOSPHAT-RXN,,3.1.3.45,,,19,Cu2+,"646344, 652389",-,Escherichia coli,BRENDA,CHEBI:29036,3.0
548,cu2,kdops,1 mM,,2.5.1.55,,,19,Cu2+,637397,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
549,cu2,lacz,,,3.2.1.23,,,19,Cu2+,"171273, 679236",-,Escherichia coli,BRENDA,CHEBI:29036,5.0
550,cu2,lcadi,50% inhibition at 0.25 mM,,1.2.1.22,,,19,Cu2+,288133,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
551,cu2,lipatpt,"0.13 mM, 50% inhibition",,2.7.7.63,,,19,Cu2+,663919,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
552,cu2,me2,strong inhibition,,1.1.1.40,,,19,Cu2+,722940,-,Escherichia coli,BRENDA,CHEBI:29036,3.0
553,cu2,mltg1,,,3.2.1.20,,,19,Cu2+,393267,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
554,cu2,pants,,,6.3.2.1,,,19,Cu2+,"977, 978, 979",-,Escherichia coli,BRENDA,CHEBI:29036,3.0
555,cu2,ppm2,in presence of 0.2 mM CoCl2,,5.4.2.7,,,19,Cu2+,3340,-,Escherichia coli,BRENDA,CHEBI:29036,5.0
