,EC_number,Organism,LigandID,KI_Value,Commentary,Literature,chebiID,bigg.metabolite,KEGG_ID,Compound
11317,2.4.2.22,Toxoplasma gondii,51440,2.2,,638008,,,,
11318,2.4.2.22,Toxoplasma gondii,51477,2.5,,638008,CHEBI:77751,,,
11319,2.4.2.22,Toxoplasma gondii,51476,2.6,,638008,CHEBI:63486,,,
11320,2.4.2.22,Toxoplasma gondii,51284,3.1,,638008,CHEBI:46897,,,
11321,2.4.2.22,Toxoplasma gondii,10553,3.4,,638008,,,,
11322,2.4.2.22,Toxoplasma gondii,51490,4.1,,638008,,,,
11323,2.4.2.22,Toxoplasma gondii,51473,5.2,,638008,CHEBI:75331,,,
11324,2.4.2.22,Toxoplasma gondii,51267,5.3,,638008,,,,
11325,2.4.2.26,Rattus norvegicus,2,-999.0,competitive inhibition of the acceptor substrates,637614,,,,
11326,2.4.2.26,Homo sapiens,227,7e-05,"pH 6.5, 37°C, mutant enzyme D745E",659394,,,,
11327,2.4.2.26,Homo sapiens,227,0.00011,"pH 6.5, 37°C, mutant enzyme D747E; pH 6.5, 37°C, mutant enzyme W746N",659394,,,,
11328,2.4.2.26,Homo sapiens,227,0.00012,"pH 6.5, 37°C, mutant enzyme W746G; pH 6.5, 37°C, wild-type enzyme",659394,,,,
11329,2.4.2.26,Homo sapiens,227,0.00013,"pH 6.5, 37°C, mutant enzyme W746D",659394,,,,
11330,2.4.2.26,Homo sapiens,227,0.00014,"pH 6.5, 37°C, mutant enzyme D316G",659394,,,,
11331,2.4.2.26,Homo sapiens,227,0.00015,"pH 6.5, 37°C, mutant enzyme D314G; pH 6.5, 37°C, mutant enzyme D747G",659394,,,,
11332,2.4.2.26,Homo sapiens,26,0.0019,"pH 6.5, 37°C, mutant enzyme D745E",659394,CHEBI:17659,udp,C00015,UDP
11333,2.4.2.26,Homo sapiens,26,0.0072,"pH 6.5, 37°C, mutant enzyme D314G",659394,CHEBI:17659,udp,C00015,UDP
11334,2.4.2.26,Homo sapiens,26,0.0108,"pH 6.5, 37°C, wild-type enzyme",659394,CHEBI:17659,udp,C00015,UDP
11335,2.4.2.26,Homo sapiens,26,0.0113,"pH 6.5, 37°C, mutant enzyme D316G",659394,CHEBI:17659,udp,C00015,UDP
11336,2.4.2.26,Homo sapiens,26,0.0147,"pH 6.5, 37°C, mutant enzyme D747E",659394,CHEBI:17659,udp,C00015,UDP
11337,2.4.2.26,Homo sapiens,26,0.0172,"pH 6.5, 37°C, mutant enzyme D747G",659394,CHEBI:17659,udp,C00015,UDP
11338,2.4.2.26,Homo sapiens,26,0.0179,"pH 6.5, 37°C, mutant enzyme W746N",659394,CHEBI:17659,udp,C00015,UDP
11339,2.4.2.26,Homo sapiens,26,0.0196,"pH 6.5, 37°C, mutant enzyme W746D",659394,CHEBI:17659,udp,C00015,UDP
11340,2.4.2.26,Homo sapiens,26,0.0246,"pH 6.5, 37°C, mutant enzyme W746G",659394,CHEBI:17659,udp,C00015,UDP
11341,2.4.2.28,Escherichia coli,28435,3.4e-09,"pH 7.4, 25°C",715849,,,,
11342,2.4.2.28,Escherichia coli,28424,9e-09,"pH 7.4, 25°C",715849,,,,
11343,2.4.2.28,Escherichia coli,88572,1.3e-08,"pH 7.4, 25°C",715849,,,,
11344,2.4.2.28,Escherichia coli,88573,3e-08,"pH 7.4, 25°C",715849,,,,
11345,2.4.2.28,Escherichia coli,28425,4.7e-08,"pH 7.4, 25°C",715849,,,,
11346,2.4.2.28,Escherichia coli,28433,5.4e-08,"pH 7.4, 25°C",715849,,,,
11347,2.4.2.28,Escherichia coli,28428,5.9e-08,"pH 7.4, 25°C",715849,,,,
11348,2.4.2.28,Escherichia coli,28427,6.3e-08,"pH 7.4, 25°C",715849,,,,
11349,2.4.2.28,Escherichia coli,28432,6.4e-08,"pH 7.4, 25°C",715849,,,,
11350,2.4.2.28,Homo sapiens,62477,2.8e-07,"pH 7.5, 25°C",675281,,,,
11351,2.4.2.28,Escherichia coli,28434,3.1e-07,"pH 7.4, 25°C",715849,,,,
11352,2.4.2.28,Escherichia coli,28429,3.5e-07,"pH 7.4, 25°C",715849,,,,
11353,2.4.2.28,Homo sapiens,11566,3.6e-07,"pH 7.0, 25°C",658091,,,,
11354,2.4.2.28,Escherichia coli,28430,3.9e-07,"pH 7.4, 25°C",715849,,,,
11355,2.4.2.28,Homo sapiens,57012,5.76e-07,"pH 7.4, 25°C",659678,,,,
11356,2.4.2.28,Homo sapiens,62474,6.5e-07,"pH 7.5, 25°C",675281,,,,
11357,2.4.2.28,Escherichia coli,88574,6.5e-07,"pH 7.4, 25°C",715849,,,,
11358,2.4.2.28,Escherichia coli,28426,7e-07,"pH 7.4, 25°C",715849,,,,
11359,2.4.2.28,Homo sapiens,62478,7.6e-07,"pH 7.5, 25°C",675281,,,,
11360,2.4.2.28,Homo sapiens,62481,8.1e-07,"pH 7.5, 25°C",675281,,,,
11361,2.4.2.28,Escherichia coli,88571,8.4e-07,"pH 7.4, 25°C",715849,,,,
11362,2.4.2.28,Homo sapiens,62476,9e-07,"pH 7.5, 25°C",675281,,,,
11363,2.4.2.28,Homo sapiens,62475,1.3e-06,"pH 7.5, 25°C",675281,,,,
11364,2.4.2.28,Homo sapiens,11566,1.3e-06,"pH 7.0, 25°C",658091,,,,
11365,2.4.2.28,Homo sapiens,57015,1.39e-06,"pH 7.4, 25°C",659678,,,,
11366,2.4.2.28,Homo sapiens,62472,1.4e-06,"pH 7.5, 25°C",675281,,,,
11367,2.4.2.28,Homo sapiens,62479,1.5e-06,"pH 7.5, 25°C",675281,,,,
11368,2.4.2.28,Homo sapiens,62471,1.7e-06,"pH 7.5, 25°C",675281,,,,
11369,2.4.2.28,Homo sapiens,11566,1.75e-06,"pH 7.0, 25°C",658091,,,,
11370,2.4.2.28,Escherichia coli,28436,1.8e-06,"pH 7.4, 25°C",715849,,,,
11371,2.4.2.28,Homo sapiens,62482,2e-06,"pH 7.5, 25°C",675281,,,,
11372,2.4.2.28,Homo sapiens,62480,2e-06,"pH 7.5, 25°C",675281,,,,
11373,2.4.2.28,Escherichia coli,28431,2e-06,"pH 7.4, 25°C",715849,,,,
11374,2.4.2.28,Homo sapiens,57010,3.6e-06,"pH 7.4, 25°C",659678,,,,
11375,2.4.2.28,Homo sapiens,57008,4e-06,"pH 7.4, 25°C",659678,,,,
11376,2.4.2.28,Homo sapiens,57013,4.4e-06,"pH 7.4, 25°C",659678,,,,
11377,2.4.2.28,Homo sapiens,57011,6.4e-06,"pH 7.4, 25°C",659678,,,,
11378,2.4.2.28,Homo sapiens,57014,6.4e-06,"pH 7.4, 25°C",659678,,,,
11379,2.4.2.28,Homo sapiens,57007,9.2e-06,"pH 7.4, 25°C",659678,,,,
11380,2.4.2.28,Homo sapiens,62483,1.4e-05,"pH 7.5, 25°C",675281,,,,
11381,2.4.2.28,Homo sapiens,57018,2e-05,"pH 7.4, 25°C",659678,,,,
11382,2.4.2.28,Homo sapiens,62485,2.2e-05,"pH 7.5, 25°C",675281,,,,
11383,2.4.2.28,Homo sapiens,57005,2.6e-05,"pH 7.0, 25°C",658091,,,,
11384,2.4.2.28,Homo sapiens,57006,2.6e-05,"pH 7.4, 25°C",659678,,,,
11385,2.4.2.28,Homo sapiens,57016,2.6e-05,"pH 7.4, 25°C",659678,,,,
11386,2.4.2.28,Homo sapiens,62470,2.6e-05,"pH 7.5, 25°C",675281,,,,
11387,2.4.2.28,Homo sapiens,57266,4.4e-05,"pH 7.4, 25°C",659678,,,,
11388,2.4.2.28,Homo sapiens,62473,5.5e-05,"pH 7.5, 25°C",675281,,,,
11389,2.4.2.28,Homo sapiens,57009,5.6e-05,"pH 7.4, 25°C",659678,,,,
11390,2.4.2.28,Homo sapiens,62484,8.5e-05,"pH 7.5, 25°C",675281,,,,
11391,2.4.2.28,Homo sapiens,57017,9e-05,"pH 7.4, 25°C",659678,,,,
11392,2.4.2.28,Homo sapiens,57019,0.000134,"pH 7.4, 25°C",659678,,,,
11393,2.4.2.28,Mus musculus,51294,0.0002,,637532,,,,
11394,2.4.2.28,Mus musculus,51297,0.0002,,637532,,,,
11395,2.4.2.28,Mus musculus,51307,0.0002,,637532,,,,
11396,2.4.2.28,Homo sapiens,57020,0.00072,"pH 7.4, 25°C",659678,,,,
11397,2.4.2.28,Mus musculus,51295,0.001,,637532,,,,
11398,2.4.2.28,Mus musculus,51298,0.001,,637532,,,,
11399,2.4.2.28,Mus musculus,51308,0.001,,637532,,,,
11400,2.4.2.28,Homo sapiens,62486,0.002,"above, pH 7.5, 25°C",675281,,,,
11401,2.4.2.28,Arabidopsis thaliana,4687,0.0083,at 0.005 mM,681477,CHEBI:44164,,,
11402,2.4.2.28,Mus musculus,51499,0.015,low phosphate concentration of 3.5 mM,637532,,,,
11403,2.4.2.28,Homo sapiens,4687,0.031,,637535,CHEBI:44164,,,
11404,2.4.2.28,Arabidopsis thaliana,1972,0.048,at 0.05 mM,681477,,,,
11405,2.4.2.28,Homo sapiens,144,0.172,,637535,CHEBI:16708,ade,C00147,Adenine
11406,2.4.2.29,Zymomonas mobilis,88585,2e-06,"pH 7.3, 37°C",722058,,,,
11407,2.4.2.29,Zymomonas mobilis,77354,2e-06,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11408,2.4.2.29,Zymomonas mobilis,77355,2.5e-06,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11409,2.4.2.29,Zymomonas mobilis,88587,4e-06,"pH 7.3, 37°C",722058,,,,
11410,2.4.2.29,Zymomonas mobilis,77351,4e-06,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11411,2.4.2.29,Zymomonas mobilis,88581,6e-06,"pH 7.3, 37°C",722058,,,,
11412,2.4.2.29,Shigella flexneri,25406,6e-06,,684430,,,,
11413,2.4.2.29,Zymomonas mobilis,25406,6e-06,,703202,,,,
11414,2.4.2.29,Zymomonas mobilis,88583,1e-05,"pH 7.3, 37°C",722058,,,,
11415,2.4.2.29,Shigella flexneri,25407,1e-05,,684430,,,,
11416,2.4.2.29,Zymomonas mobilis,25407,1e-05,,703202,,,,
11417,2.4.2.29,Oryctolagus cuniculus,2075,2.3e-05,,644921,CHEBI:63486,,,
11418,2.4.2.29,Zymomonas mobilis,39593,2.5e-05,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11419,2.4.2.29,Zymomonas mobilis,39592,2.6e-05,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11420,2.4.2.29,Shigella flexneri,68624,2.7e-05,,684430,,,,
11421,2.4.2.29,Shigella flexneri,68622,3.5e-05,,684430,,,,
11422,2.4.2.29,Zymomonas mobilis,88579,3.5e-05,"pH 7.3, 37°C",722058,,,,
11423,2.4.2.29,Shigella flexneri,25401,3.5e-05,,684430,,,,
11424,2.4.2.29,Zymomonas mobilis,25401,3.5e-05,,703202,,,,
11425,2.4.2.29,Shigella flexneri,68623,4e-05,,684430,,,,
11426,2.4.2.29,Shigella flexneri,25408,5.5e-05,,684430,,,,
11427,2.4.2.29,Zymomonas mobilis,25408,5.5e-05,,703202,,,,
11428,2.4.2.29,Zymomonas mobilis,77353,5.5e-05,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11429,2.4.2.29,Zymomonas mobilis,77359,5.8e-05,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11430,2.4.2.29,Zymomonas mobilis,88575,5.8e-05,"pH 7.3, 37°C",722058,,,,
11431,2.4.2.29,Shigella flexneri,25405,5.8e-05,,684430,,,,
11432,2.4.2.29,Zymomonas mobilis,25405,5.8e-05,,703202,,,,
11433,2.4.2.29,Shigella flexneri,68621,7e-05,,684430,,,,
11434,2.4.2.29,Shigella flexneri,25365,7.7e-05,,684430,,,,
11435,2.4.2.29,Zymomonas mobilis,25365,7.7e-05,,703202,,,,
11436,2.4.2.29,Oryctolagus cuniculus,2032,9e-05,,644921,CHEBI:18265,,,
11437,2.4.2.29,Triticum aestivum,5212,9.5e-05,,644923,CHEBI:17433,,C01449,Queuine
11438,2.4.2.29,Zymomonas mobilis,77352,9.7e-05,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11439,2.4.2.29,Zymomonas mobilis,77356,0.000105,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11440,2.4.2.29,Zymomonas mobilis,66039,0.0002,,681439,,,,
11441,2.4.2.29,Zymomonas mobilis,77358,0.000235,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11442,2.4.2.29,Escherichia coli,2032,0.00042,"pH 7.3, 37°C, wild-type",721496,CHEBI:18265,,,
11443,2.4.2.29,Zymomonas mobilis,66037,0.00048,,681439,,,,
11444,2.4.2.29,Zymomonas mobilis,24360,0.0006,"37°C, pH 7.3",680057,,,,
11445,2.4.2.29,Zymomonas mobilis,88586,0.00074,"pH 7.3, 37°C",722058,,,,
11446,2.4.2.29,Zymomonas mobilis,76717,0.00076,,703202,,,,
11447,2.4.2.29,Escherichia coli,2032,0.0009,"pH 7.3, 37°C, mutant V217G",721496,CHEBI:18265,,,
11448,2.4.2.29,Zymomonas mobilis,24362,0.001,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11449,2.4.2.29,Zymomonas mobilis,24928,0.001,"37°C, pH 7.3, Kic",680057,,,,
11450,2.4.2.29,Oryctolagus cuniculus,3610,0.001,,644921,CHEBI:46897,,,
11451,2.4.2.29,Zymomonas mobilis,88588,0.0011,"pH 7.3, 37°C",722058,,,,
11452,2.4.2.29,Escherichia coli,2032,0.0013,"pH 7.3, 37°C, mutant C145V/T146V/V217G",721496,CHEBI:18265,,,
11453,2.4.2.29,Zymomonas mobilis,77357,0.0014,"at 37°C, pH 7.3, in 200 mM HEPES buffer, 20 mM MgCl2, 2.95 mM Tween 20 containing both substrates",703213,,,,
11454,2.4.2.29,Zymomonas mobilis,24360,0.0015,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11455,2.4.2.29,Zymomonas mobilis,25399,0.0015,,703202,,,,
11456,2.4.2.29,Shigella flexneri,25399,0.0016,,684430,,,,
11457,2.4.2.29,Zymomonas mobilis,24361,0.0017,"37°C, pH 7.3",680057,CHEBI:85558,,,
11458,2.4.2.29,Zymomonas mobilis,24361,0.0021,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,CHEBI:85558,,,
11459,2.4.2.29,Zymomonas mobilis,66038,0.0021,,681439,,,,
11460,2.4.2.29,Zymomonas mobilis,50343,0.0022,"37°C, pH 7.3",680057,CHEBI:18265,,,
11461,2.4.2.29,Escherichia coli,2032,0.0022,"pH 7.3, 37°C, mutant C145V/T146V",721496,CHEBI:18265,,,
11462,2.4.2.29,Zymomonas mobilis,68383,0.0026,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11463,2.4.2.29,Zymomonas mobilis,66036,0.0028,"37°C, pH 7.3",680057,,,,
11464,2.4.2.29,Zymomonas mobilis,88580,0.0029,"pH 7.3, 37°C",722058,,,,
11465,2.4.2.29,Zymomonas mobilis,76548,0.0031,,703202,,,,
11466,2.4.2.29,Zymomonas mobilis,88584,0.0037,"pH 7.3, 37°C",722058,,,,
11467,2.4.2.29,Zymomonas mobilis,37636,0.0037,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11468,2.4.2.29,Zymomonas mobilis,66035,0.0037,"37°C, pH 7.3, Kic",680057,,,,
11469,2.4.2.29,Zymomonas mobilis,88582,0.0041,"pH 7.3, 37°C",722058,,,,
11470,2.4.2.29,Zymomonas mobilis,76550,0.0041,,703202,,,,
11471,2.4.2.29,Zymomonas mobilis,14172,0.0041,"37°C, pH 7.3, Kic",680057,,,,
11472,2.4.2.29,Zymomonas mobilis,144217,0.0041,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11473,2.4.2.29,Shigella flexneri,14172,0.0041,,684430,,,,
11474,2.4.2.29,Zymomonas mobilis,88576,0.0065,"pH 7.3, 37°C",722058,,,,
11475,2.4.2.29,Zymomonas mobilis,24929,0.0069,"37°C, pH 7.3, Kic",680057,,,,
11476,2.4.2.29,Zymomonas mobilis,24929,0.0069,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11477,2.4.2.29,Zymomonas mobilis,24931,0.0073,"37°C, pH 7.3, Kic",680057,,,,
11478,2.4.2.29,Zymomonas mobilis,24931,0.0073,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11479,2.4.2.29,Zymomonas mobilis,14172,0.0079,"37°C, pH7.3, Kiu",680057,,,,
11480,2.4.2.29,Zymomonas mobilis,16815,0.0083,,681439,,,,
11481,2.4.2.29,Homo sapiens,2192,0.0087,"pH 7.3, 37°C, wild-type",721496,CHEBI:43029,dhbpt,,
11482,2.4.2.29,Oryctolagus cuniculus,2840,0.011,,644921,CHEBI:27470,fol,C00504,Folate
11483,2.4.2.29,Zymomonas mobilis,24930,0.015,"37°C, pH 7.3, Kic",680057,,,,
11484,2.4.2.29,Zymomonas mobilis,24930,0.015,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11485,2.4.2.29,Zymomonas mobilis,24362,0.0191,"37°C, pH 7.3",680057,,,,
11486,2.4.2.29,Zymomonas mobilis,88577,0.02805,"pH 7.3, 37°C",722058,,,,
11487,2.4.2.29,Zymomonas mobilis,24927,0.029,"37°C, pH 7.3, Kic",680057,,,,
11488,2.4.2.29,Zymomonas mobilis,24927,0.029,"competitive inhibition, in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11489,2.4.2.29,Escherichia coli,2032,0.037,"pH 7.3, 37°C, mutant C145V/T146V/P147N/V217G",721496,CHEBI:18265,,,
11490,2.4.2.29,Zymomonas mobilis,66040,0.038,,681439,,,,
11491,2.4.2.29,Zymomonas mobilis,88578,0.04083,"pH 7.3, 37°C",722058,,,,
11492,2.4.2.29,Zymomonas mobilis,24928,0.05,"in 200 mM HEPES buffer (pH 7.3), 20 mM MgCl2",681439,,,,
11493,2.4.2.29,Oryctolagus cuniculus,15597,0.054,,644921,,,,
11494,2.4.2.29,Escherichia coli,234,0.09,"37°C, pH 7.3, mutant enzyme D143T",678191,CHEBI:48517,xan,C00385,Xanthine
11495,2.4.2.29,Oryctolagus cuniculus,7420,0.1,,644921,,,,
11496,2.4.2.29,Escherichia coli,13429,0.114,",competitive inhibition",644935,,,,
11497,2.4.2.29,Escherichia coli,234,0.12,"37°C, pH 7.3, mutant enzyme D143S",678191,CHEBI:48517,xan,C00385,Xanthine
11498,2.4.2.29,Escherichia coli,13429,0.136,inactivation,644935,,,,
11499,2.4.2.29,Escherichia coli,2192,0.16,"pH 7.3, 37°C, mutant C145V/T146V/V217G",721496,CHEBI:43029,dhbpt,,
11500,2.4.2.29,Oryctolagus cuniculus,29473,0.25,,644921,,,,
11501,2.4.2.29,Escherichia coli,2192,0.55,"pH 7.3, 37°C, mutant C145V/T146V; pH 7.3, 37°C, mutant V217G",721496,CHEBI:43029,dhbpt,,
11502,2.4.2.29,Escherichia coli,2192,1.05,"pH 7.3, 37°C, mutant C145V/T146V/P147N/V217G",721496,CHEBI:43029,dhbpt,,
11503,2.4.2.29,Zymomonas mobilis,3773,3.0,,681439,CHEBI:18026,23dhb,C00196,"2,3-Dihydroxybenzoate"
11504,2.4.2.29,Escherichia coli,2192,3.0,"pH 7.3, 37°C, wild-type",721496,CHEBI:43029,dhbpt,,
11505,2.4.2.30,Aeromonas hydrophila,704,0.001,"25°C, pH not specified in the publication",722786,,,,
11506,2.4.2.30,Aeromonas hydrophila,42316,0.0041,"25°C, pH not specified in the publication",722786,,,,
11507,2.4.2.30,Aeromonas hydrophila,42315,0.0041,"25°C, pH not specified in the publication",722786,,,,
11508,2.4.2.30,Aeromonas hydrophila,88589,0.0075,"25°C, pH not specified in the publication",722786,,,,
11509,2.4.2.30,Pseudomonas aeruginosa,70281,0.033,"pH 6.0, 30°C",694800,,,,
11510,2.4.2.31,Gallus gallus,1083,0.0049,,638121,CHEBI:27418,,C02617,"1,4-Naphthoquinone"
11511,2.4.2.31,Meleagris gallopavo,267,0.37,,638101,CHEBI:17154,ncam,C00153,Nicotinamide
11512,2.4.2.31,Enterobacteria phage T4,267,4.0,,638106,CHEBI:17154,ncam,C00153,Nicotinamide
11513,2.4.2.36,Vibrio cholerae,38652,0.008,"37Â°C, pH 7, 1400fold more potent than NAD+ and 400fold more potent than diethylamino(benzylidine-amino)guanidine",696625,,,,
11514,2.4.2.36,Vibrio cholerae,38651,0.013,"37Â°C, pH 7",696625,,,,
11515,2.4.2.36,Vibrio cholerae,38650,0.03,"37Â°C, pH 7",696625,,,,
11516,2.4.2.36,Vibrio cholerae,38653,0.05,"37Â°C, pH 7",696625,,,,
11517,2.4.2.36,Vibrio cholerae,38654,0.071,"37Â°C, pH 7",696625,,,,
11518,2.4.2.36,Vibrio cholerae,38656,0.09,"37Â°C, pH 7",696625,,,,
11519,2.4.2.36,Vibrio cholerae,38657,0.5,"37Â°C, pH 7",696625,,,,
11520,2.4.2.36,Vibrio cholerae,38655,0.5,"37Â°C, pH 7",696625,,,,
11521,2.4.2.38,Arabidopsis thaliana,26,0.042,"pH 7.0, 37°C, recombinant mutant DELTA39 XylT",671831,CHEBI:17659,udp,C00015,UDP
11522,2.4.2.38,Arabidopsis thaliana,64,4.9,"pH 7.0, 37°C, recombinant mutant DELTA39 XylT",671831,CHEBI:46229,udpg,C00029,UDP-glucose
11523,2.4.2.44,Pseudomonas aeruginosa,40336,3.5e-08,"pH 7.4, 25°C",707535,,,,
11524,2.4.2.44,Pseudomonas aeruginosa,7644,7.6e-08,"pH 7.4, 25°C",707535,,,,
11525,2.4.2.44,Pseudomonas aeruginosa,40335,3.4e-07,"pH 7.4, 25°C",707535,,,,
11526,2.4.2.44,Pseudomonas aeruginosa,40336,6.6e-07,"pH 7.4, 25°C",707535,,,,
11527,2.4.2.44,Pseudomonas aeruginosa,40335,8e-07,"pH 7.4, 25°C",707535,,,,
11528,2.4.2.44,Pseudomonas aeruginosa,7644,8.4e-07,"pH 7.4, 25°C",707535,,,,
11529,2.4.2.44,Pseudomonas aeruginosa,1578,0.07,"pH 7.4, 25°C",707535,CHEBI:17509,5mta,C00170,5'-Methylthioadenosine
11530,2.4.2.54,Methanosarcina thermophila,365,0.07,"pH 4.8, 50°C, Ki(slope)",718828,CHEBI:30763,4hbz,C00156,4-Hydroxybenzoate
11531,2.4.2.54,Methanocaldococcus jannaschii,19654,0.21,"pH 4.8, 70°C, uncompetitive inhibition under varied 5-phospho-alpha-D-ribose 1-diphosphate and saturated 4-aminobenzoate",719820,CHEBI:72787,,,
11532,2.4.2.54,Methanocaldococcus jannaschii,19654,0.3,"pH 4.8, 70°C, uncompetitive inhibition under varied 4-aminobenzoate and saturated 5-phospho-alpha-D-ribose 1-diphosphate",719820,CHEBI:72787,,,
11533,2.4.2.54,Methanocaldococcus jannaschii,17,0.32,"pH 4.8, 70°C, competitive inhibition under saturated 5-phospho-alpha-D-ribose 1-diphosphate and varied 4-aminobenzoate",719820,CHEBI:29888,ppi,C00013,Diphosphate
11534,2.4.2.54,Methanosarcina thermophila,10522,0.59,"pH 4.8, 50°C, Ki(slope)",718828,CHEBI:60698,,,
11535,2.4.2.54,Methanocaldococcus jannaschii,28,0.99,"pH 4.8, 70°C, uncompetitive inhibition under varied 5-phospho-alpha-D-ribose 1-diphosphate and saturated 4-aminobenzoate",719820,CHEBI:16526,co2,C00011,CO2
11536,2.4.99.1,Cavia porcellus,2,-999.0,,637272,,,,
11537,2.4.99.1,Rattus norvegicus,212,0.0047,wild-type enzyme,637287,CHEBI:17239,cdp,C00112,CDP
11538,2.4.99.1,Rattus norvegicus,212,0.016,mutant V220A,637287,CHEBI:17239,cdp,C00112,CDP
11539,2.4.99.1,Homo sapiens,100,0.18,,637276,CHEBI:17361,cmp,C00055,CMP
11540,2.4.99.1,Rattus norvegicus,37804,0.79,"pH 6.5, 37°C",686046,,,,
11541,2.4.99.1,Rattus norvegicus,37803,4.07,"pH 6.5, 37°C",686046,,,,
11542,2.4.99.2,Rattus norvegicus,2,-999.0,,637737,,,,
11543,2.4.99.3,Sus scrofa,16263,0.92,"pH 6.5, 37°C",636794,,,,
11544,2.4.99.4,Sus scrofa,60,0.00015,"reaction with 1% Triton X-100 or 1% lysophosphatidylcholine, enzyme form A",637983,CHEBI:37563,ctp,,
11545,2.4.99.4,Sus scrofa,60,0.00016,enzyme form B,637983,CHEBI:37563,ctp,,
11546,2.4.99.4,Sus scrofa,60,0.00043,"reaction with no detergent, enzyme form A",637983,CHEBI:37563,ctp,,
11547,2.4.99.4,Gallus gallus,65,0.0007,,637985,CHEBI:15713,utp,C00075,UTP
11548,2.4.99.4,Gallus gallus,60,0.001,,637985,CHEBI:37563,ctp,,
11549,2.4.99.4,Gallus gallus,37,0.0038,,637985,CHEBI:15996,gtp,C00044,GTP
11550,2.4.99.4,Gallus gallus,4,0.011,,637985,CHEBI:15422,atp,C00002,ATP
11551,2.4.99.4,Gallus gallus,100,0.015,,637985,CHEBI:17361,cmp,C00055,CMP
11552,2.4.99.4,Mus musculus,2232,0.07,"reaction with Galbeta1-3GalNAc as acceptor, enzyme form ST3GalA.1",637981,,,,
11553,2.4.99.4,Mus musculus,2232,0.08,"reaction with asialoGM1 as acceptor, enzyme form ST3GalA.1; ,reaction with Galbeta1-3GalNAc as acceptor, enzyme form ST3GalA.2",637981,,,,
11554,2.4.99.4,Mus musculus,7512,0.11,"reaction with Galbeta1-3GalNAc as acceptor, enzyme form ST3GalA.2",637981,,,,
11555,2.4.99.4,Mus musculus,6720,0.15,"reaction with asialoGM1 as acceptor, enzyme form ST3GalA.1",637981,CHEBI:61243,,,
11556,2.4.99.4,Mus musculus,7512,0.44,"reaction with asialofetuin as substrate, enzyme form ST3GalA.2",637981,,,,
11557,2.4.99.4,Mus musculus,3698,0.51,"reaction with asialoGM1 as acceptor, enzyme form ST3GalA.2",637981,,,,
11558,2.4.99.4,Mus musculus,7512,0.53,"reaction with GM1, enzyme form ST3GalA.2",637981,,,,
11559,2.4.99.4,Homo sapiens,22064,0.8,reaction with human placental enzyme,637988,,,,
11560,2.4.99.4,Mus musculus,7512,1.29,"reaction with GM1, enzyme form ST3GalA.1",637981,,,,
11561,2.4.99.4,Homo sapiens,22064,3.1,reaction with enzyme from acute myeloid leukemia,637988,,,,
11562,2.4.99.6,Rattus norvegicus,2,-999.0,kinetics,672369,,,,
11563,2.4.99.B6,Escherichia coli,194262,0.001,pH and temperature not specified in the publication,727135,,,,
11564,2.4.99.B6,Escherichia coli,194261,0.002,pH and temperature not specified in the publication,727135,,,,
11565,2.4.99.6,Rattus norvegicus,7701,0.0021,,673042,CHEBI:9211,,C08983,Soyasaponin I
