,EC_number,bigg.metabolite,Commentary
373,5.4.2.7,r15bp_c,"stimulates, Km: 0.00024 mM for enzyme form I, 0.00027 mM for enzyme form II and 0.00029 mM for enzyme form III"
374,5.4.3.8,etha_c,stimulates activity of mutant enzyme Lys265Arg
375,5.99.1.2,no2_c,acidic nitrite enhanced the bactericidal effect of stabilized topoisomerase I cleavage complex
376,6.3.1.2,glyb_c,"0.4 M, 67.7% residual activity after 60°C heat treatment"
377,6.3.1.2,inost_c,"0.4 M, 70.1% residual activity after 60°C heat treatment"
378,6.3.2.10,but_c,activation of mutant K202A
379,6.3.4.2,dgtp_c,"0 mM guanosine, kact: 1.5/sec, KA: 0.21 mM, Ki: 0.36 mM; the GTP analogue is capable of activating Gln-dependent CTP formation"
380,6.3.4.14,btn_c,"required for activation of the ATP synthesis reaction with carbamoyl phosphate and ADP as substrates, E211, E288, N290 and R292 are responsible, at least in part, for the substrate-induced synergism by biotin, activation via a conformational change of enzyme"
381,6.3.4.14,btn_c,activates the ATP synthesis reaction with ADP and carbamoyl phosphate as substrates
382,6.3.4.14,btn_c,"substrate-induced synergism, the reaction in presence of biotin is 1100fold faster than in its absence"
383,6.4.1.2,btn_c,"required for subunit AccB activity, biotin is not involved in regulation of operon accBC transcription"
384,6.4.1.2,btn_c,required for activity
385,6.3.4.16,imp_c,"weak activator, the IMP binding site is located at the C-terminus, binding structure analysis from crystal structure with bound IMP, PDB ID 1CE8"
386,6.3.5.5,nh4_c,
387,6.3.5.5,imp_c,allosteric effector
388,6.3.5.5,imp_c,"His995, located in the C-terminal regulatory domain, is cross-linked with IMP"
389,6.3.5.5,imp_c,"the effector stabilzes the (alpha,beta)4-tetramer of enzyme"
390,6.3.5.5,imp_c,"allosteric effect on Escherichia coli enzyme in dependence of temperature, no response to chimeric enzyme"
391,6.3.5.5,imp_c,
392,6.3.5.5,imp_c,the IMP activator and the UMP inhibitor bind to the same site on the enzyme
393,6.3.5.5,acglu_c,carbamoyl-phosphate synthase II: no requirement for N-acetylglutamate
394,6.3.5.5,k_c,
395,6.3.5.5,xmp_c,enhances activity
