,EC_number,subsystem,$| log_{10}(\Gamma) |$,bigg.metabolite,num_regulators,Regulation
305,4.2.1.46,Cell Envelope Biosynthesis,8.1,3.0,3+ regulators,regulated
306,4.2.1.47,Cell Envelope Biosynthesis,8.99,5.0,3+ regulators,regulated
307,4.2.1.55,Membrane Lipid Metabolism,0.66,0.0,0 regulators,not regulated
308,4.2.1.7,Alternate Carbon Metabolism,6.56,4.0,3+ regulators,regulated
309,4.2.1.74,Membrane Lipid Metabolism,0.12,0.0,0 regulators,not regulated
310,4.2.1.79,Alternate Carbon Metabolism,0.13,1.0,1-2 regulators,regulated
311,4.2.1.8,Alternate Carbon Metabolism,6.56,5.0,3+ regulators,regulated
312,4.2.1.80,Alternate Carbon Metabolism,0.13,0.0,0 regulators,not regulated
313,4.2.1.9,"Valine, Leucine, and Isoleucine Metabolism",6.23,2.0,1-2 regulators,regulated
314,4.2.1.91,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",10.18,0.0,0 regulators,not regulated
315,4.2.1.99,Alternate Carbon Metabolism,0.13,0.0,0 regulators,not regulated
316,4.2.3.1,Cofactor and Prosthetic Group Biosynthesis,3.6,2.0,1-2 regulators,regulated
317,4.2.3.3,Methylglyoxal Metabolism,8.56,8.0,3+ regulators,regulated
318,4.2.3.4,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",17.16,2.0,1-2 regulators,regulated
319,4.2.3.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",7.44,1.0,1-2 regulators,regulated
320,4.2.99.20,Cofactor and Prosthetic Group Biosynthesis,17.02,0.0,0 regulators,not regulated
321,4.3.2.2,Purine and Pyrimidine Biosynthesis,0.435,0.0,0 regulators,not regulated
322,4.6.1.1,Nucleotide Salvage Pathway,1.31,8.0,3+ regulators,regulated
323,4.6.1.2,Nucleotide Salvage Pathway,1.32,0.0,0 regulators,not regulated
324,5.1.3.13,Cell Envelope Biosynthesis,2.16,0.0,0 regulators,not regulated
325,5.1.3.14,Cell Envelope Biosynthesis,0.01,1.0,1-2 regulators,regulated
326,5.1.3.2,Alternate Carbon Metabolism,0.52,4.0,3+ regulators,regulated
327,5.1.3.3,Alternate Carbon Metabolism,1.1,0.0,0 regulators,not regulated
328,5.1.3.9,Alternate Carbon Metabolism,0.38,0.0,0 regulators,not regulated
329,5.3.1.1,Glycolysis/Gluconeogenesis,0.97,1.0,1-2 regulators,regulated
330,5.3.1.12,Alternate Carbon Metabolism,0.1,3.0,3+ regulators,regulated
331,5.3.1.14,Alternate Carbon Metabolism,0.03,0.0,0 regulators,not regulated
332,5.3.1.16,Histidine Metabolism,1.01,0.0,0 regulators,not regulated
333,5.3.1.22,Alternate Carbon Metabolism,0.25,0.0,0 regulators,not regulated
334,5.3.1.24,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",1.02,1.0,1-2 regulators,regulated
335,5.3.1.28,Lipopolysaccharide Biosynthesis / Recycling,0.26,0.0,0 regulators,not regulated
336,5.3.1.8,Alternate Carbon Metabolism,0.12,1.0,1-2 regulators,regulated
337,5.3.1.9,Glycolysis/Gluconeogenesis,0.44,2.0,1-2 regulators,regulated
338,5.3.3.2,Cofactor and Prosthetic Group Biosynthesis,0.86,0.0,0 regulators,not regulated
339,5.3.3.7,Unassigned,0.65,0.0,0 regulators,not regulated
340,5.4.2,Alternate Carbon Metabolism,2.34,0.0,0 regulators,not regulated
341,5.4.2.10,Cell Envelope Biosynthesis,1.25,3.0,3+ regulators,regulated
342,5.4.2.12,Glycolysis/Gluconeogenesis,0.73,0.0,0 regulators,not regulated
343,5.4.2.5,Alternate Carbon Metabolism,1.3,0.0,0 regulators,not regulated
344,5.4.2.7,Alternate Carbon Metabolism,5.07,9.0,3+ regulators,regulated
345,5.4.2.8,Alternate Carbon Metabolism,0.76,0.0,0 regulators,not regulated
346,5.4.3.8,Cofactor and Prosthetic Group Biosynthesis,1.35,1.0,1-2 regulators,regulated
347,5.4.99.18,Purine and Pyrimidine Biosynthesis,6.69,0.0,0 regulators,not regulated
348,5.4.99.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",3.69,4.0,3+ regulators,regulated
349,5.4.99.9,Cell Envelope Biosynthesis,0.84,1.0,1-2 regulators,regulated
350,6.2.1.1,Pyruvate Metabolism,0.34,3.0,3+ regulators,regulated
351,6.2.1.13,Alternate Carbon Metabolism,0.92,0.0,0 regulators,not regulated
352,6.2.1.26,Cofactor and Prosthetic Group Biosynthesis,0.91,3.0,3+ regulators,regulated
353,6.2.1.30,Alternate Carbon Metabolism,4.39,0.0,0 regulators,not regulated
354,6.2.1.5,Citric Acid Cycle,0.09,5.0,3+ regulators,regulated
355,6.3.2.10,Cell Envelope Biosynthesis,1.7,4.0,3+ regulators,regulated
356,6.3.3.3,Cofactor and Prosthetic Group Biosynthesis,0.37,4.0,3+ regulators,regulated
357,6.3.4.13,Purine and Pyrimidine Biosynthesis,1.34,2.0,1-2 regulators,regulated
358,6.3.4.18,Purine and Pyrimidine Biosynthesis,3.82,1.0,1-2 regulators,regulated
359,6.3.4.21,Cofactor and Prosthetic Group Biosynthesis,2.2,0.0,0 regulators,not regulated
360,6.3.4.3,Folate Metabolism,0.2,0.0,0 regulators,not regulated
361,6.4.1.2,Membrane Lipid Metabolism,0.35,3.0,3+ regulators,regulated
