Commentary,EC_number,KEGG_ID,KI_Value,LigandID,Literature,Mechanism,Mode,Name,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
inactivates enzyme by converting the enzyme bound pyridoxal 5'-phosphate to pyridoxamine phosphate in a transamination reaction,2.1.2.1,,,164,"441412, 441424",,-,,Escherichia coli,BRENDA,ala__d,CHEBI:57416,ghmt2r
"in 1 M urea, almost all the cofactor is bound to the enzyme as internal aldimine, indicating that the loss of activity does not result from the denaturation of the active site, these observations suggest that urea might act as an enzyme inhibitor",2.1.2.1,,,116,703674,,-,,Escherichia coli,BRENDA,urea,CHEBI:32285,ghmt2r
above 1 mM,2.1.2.11,C00010,,534,"485700, 485701",,-,CoA,Escherichia coli,BRENDA,coa,CHEBI:15346,mohmt
"0.8 mM, partial inhibition",2.1.2.11,C00067,,130,485700,,-,Formaldehyde,Escherichia coli,BRENDA,fald,CHEBI:16842,mohmt
"0.8 mM, partial inhibition; forward reaction",2.1.2.11,C00067,,130,485701,,-,Formaldehyde,Escherichia coli,BRENDA,fald,CHEBI:16842,mohmt
"5 mM, 23% inhibition",2.1.2.11,,,246,485700,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,mohmt
0.05 mM or above,2.1.2.11,C00522,,2576,"485700, 485701",,-,(R)-Pantoate,Escherichia coli,BRENDA,pant__r,CHEBI:14737,mohmt
0.5 mM or above,2.1.2.11,C00864,,1509,"485700, 485701",,-,Pantothenate,Escherichia coli,BRENDA,pnto__r,CHEBI:46905,mohmt
"5 mM, 38% inhibition",2.1.2.11,C00022,,31,485700,,-,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,mohmt
"0.38 mM, partial inhibition",2.1.2.11,C00101,,207,485700,,-,Tetrahydrofolate,Escherichia coli,BRENDA,thf,CHEBI:15635,mohmt
"0.38 mM, partial inhibition; forward reaction",2.1.2.11,C00101,,207,485701,,-,Tetrahydrofolate,Escherichia coli,BRENDA,thf,CHEBI:15635,mohmt
,2.1.3.2,C00033,,47,485853,,-,Acetate,Escherichia coli,BRENDA,ac,CHEBI:15366,aspct
,2.1.3.2,C00049,,724,485841,,-,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,aspct
,2.1.3.2,C01327,,141,485853,,-,Hydrochloric acid,Escherichia coli,BRENDA,cl,CHEBI:17883,aspct
800-1000 mM urea lower or eliminate CTP inhibition,2.1.3.2,,,60,485837,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
,2.1.3.2,,,60,"485838, 485839",,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
competitive vs. carbamoyl phosphate,2.1.3.2,,,60,485841,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
synergistic inhibition by CTP and UTP,2.1.3.2,,,60,"485840, 485842",,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
"CTP inhibits ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)",2.1.3.2,,,60,685252,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
addition of CTP or the combination of CTP/UTP to the substrates significantly decreases the rate of the low activity-high activity T-R transition and causes a shift in the enzymepopulation towards the T state even at saturating substrate concentrations,2.1.3.2,,,60,699559,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
ATCase is feedback inhibited by CTP and synergistically by the combination of CTP plus UTP,2.1.3.2,,,60,718458,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
"aspartate transcarbamoylase is feedback inhibited by CTP in the presence of CTP. CTP and UTP do not bind competitively, CTP binding structure, overview",2.1.3.2,,,60,718936,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
"demetaled CTP, synergistic inhibition with UTP, while UTP alone has little or no influence on the enzyme activity, mechanism, overview. Binding of UTP can enhance the binding of CTP and presence of a metal ion such as Mg2+ is required for synergistic inhibition. Structure of the ATCase-CTP-UTP-Mg2+ complex",2.1.3.2,,,60,718943,,-,,Escherichia coli,BRENDA,ctp,CHEBI:37563,aspct
,2.1.3.2,C00475,,372,485837,,-,Cytidine,Escherichia coli,BRENDA,cytd,CHEBI:17562,aspct
,2.1.3.2,C00458,,179,718943,,-,dCTP,Escherichia coli,BRENDA,dctp,CHEBI:16311,aspct
,2.1.3.2,C00013,,17,"485837, 485843",,-,Diphosphate,Escherichia coli,BRENDA,ppi,CHEBI:29888,aspct
,2.1.3.2,C00122,,170,485853,,-,Fumarate,Escherichia coli,BRENDA,fum,CHEBI:18012,aspct
,2.1.3.2,C00044,,37,485837,,-,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,aspct
"GTP inhibits ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)",2.1.3.2,C00044,,37,685252,,-,GTP,Escherichia coli,BRENDA,gtp,CHEBI:15996,aspct
,2.1.3.2,C00294,,167,485837,,-,Inosine,Escherichia coli,BRENDA,ins,CHEBI:17596,aspct
weak inhibition,2.1.3.2,C00081,,229,485837,,-,ITP,Escherichia coli,BRENDA,itp,CHEBI:16039,aspct
,2.1.3.2,C00049,,97,485841,,-,L-Aspartate,Escherichia coli,BRENDA,asp__l,CHEBI:17053,aspct
,2.1.3.2,C00149,,247,485853,,-,(S)-Malate,Escherichia coli,BRENDA,mal__l,CHEBI:30797,aspct
,2.1.3.2,C00042,,58,485853,,-,Succinate,Escherichia coli,BRENDA,succ,CHEBI:15741,aspct
weak inhibition,2.1.3.2,C00075,,65,485837,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
,2.1.3.2,C00075,,65,485839,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
"synergistic inhibition by CTP and UTP, no inhibition unless CTP is present",2.1.3.2,C00075,,65,"485840, 485842",,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
"UTP inhibits ATCase activity. Experimentally driven, statistical modeling approach (high-dimensional model representation, RS-HDMR) to investigate regulation of ATCase in response to varying concentrations of its nucleotide regulators ATP, CTP, GTP, and UTP (at fixed substrate concentrations)",2.1.3.2,C00075,,65,685252,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
addition of CTP or the combination of CTP/UTP to the substrates significantly decreases the rate of the low activity-high activity T-R transition and causes a shift in the enzymepopulation towards the T state even at saturating substrate concentrations,2.1.3.2,C00075,,65,699559,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
"aspartate transcarbamoylase is feedback inhibited by UTP in the presence of CTP. UTP binds to a unique site on each regulatory chain of the enzyme that is near but not overlapping with the known CTP site. CTP and UTP do not bind competitively, UTP binds to the r6 regulatory chain of ATCase, UTP binding structure, overview",2.1.3.2,C00075,,65,718936,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
"inhibition with CTP, while UTP alone has little or no influence on the enzyme activity, mechanism, overview. UTP, in the presence of dCTP or CTP, binds at a site on a regulatory side chain that does not overlap the CTP/dCTP site, and the triphosphates of the two nucleotides are parallel to each other with a metal ion, in this case Mg2+, coordinated between the beta- and gamma-phosphates of the two nucleotides. UTP binds more tightly in the presence of CTP. Structure of the ATCase-CTP-UTP-Mg2+ complex",2.1.3.2,C00075,,65,718943,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,aspct
"competitive vs. carbamoylphosphate, noncompetitive vs. ornithine",2.1.3.3,C01478,,255,485898,,-,Arsenic acid,Escherichia coli,BRENDA,aso4,CHEBI:18231,ocbt
,2.1.3.3,,,72,485898,,-,,Escherichia coli,BRENDA,gly,CHEBI:57305,ocbt
,2.1.3.3,,,103,485898,,-,,Escherichia coli,BRENDA,ala__l,CHEBI:57972,ocbt
weak,2.1.3.3,,,266,485898,,-,,Escherichia coli,BRENDA,asn__l,CHEBI:58048,ocbt
,2.1.3.3,,,311,485898,,-,,Escherichia coli,BRENDA,ile__l,CHEBI:58045,ocbt
,2.1.3.3,,,127,485898,,-,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,ocbt
weak,2.1.3.3,C00047,,134,485898,,-,L-Lysine,Escherichia coli,BRENDA,lys__l,CHEBI:18019,ocbt
weak,2.1.3.3,,,95,485898,,-,,Escherichia coli,BRENDA,ser__l,CHEBI:33384,ocbt
,2.1.3.3,,,246,485898,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,ocbt
L-isomer,2.1.3.3,,,692,485898,,-,,Escherichia coli,BRENDA,met__l,CHEBI:57844,ocbt
at high concentrations; noncompetitive substrate inhibition vs. carbamoylphosphate,2.1.3.3,C00077,,576,485898,,-,L-Ornithine,Escherichia coli,BRENDA,orn,CHEBI:15729,ocbt
"competitive vs. carbamoylphosphate, noncompetitive vs. ornithine",2.1.3.3,C00009,,16,485898,,-,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,ocbt
competitive inhibition,2.2.1.1,C01112,,538,486023,,-,D-Arabinose 5-phosphate,Escherichia coli,BRENDA,ara5p,CHEBI:16241,tkt1
"denaturation of holo-transketolase by urea displays at least three transitions, where only the final equilibrium denaturation transition is the same for both apo-transketolase and holo-transketolase. Enzyme is deactivated initially by changes in structure associated with the cofactors, but this event does not release the cofactor from the enzyme. Holo-transketolase does not denature to apo-transketolase at 2 M urea. Complete dissociation of cofactors from holo-transketolase at 3.8 M urea without formation of the compact form of apo-transketolase (intermediate form). Holo-transketolase and apo-transketolase at 7.2 M urea both show a common denatured form",2.2.1.1,,,116,692117,,-,,Escherichia coli,BRENDA,urea,CHEBI:32285,tkt1
,2.2.1.2,C01112,,15695,486041,,-,D-Arabinose 5-phosphate,Escherichia coli,BRENDA,ara5p,CHEBI:16241,tala
,2.2.1.2,C00937,,4237,719298,,-,(R)-Lactaldehyde,Escherichia coli,BRENDA,lald__d,CHEBI:17167,tala
,2.2.1.2,C00013,,17,486027,,-,Diphosphate,Escherichia coli,BRENDA,ppi,CHEBI:29888,tala
,2.2.1.2,C00009,,16,"486027, 486041",,-,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,tala
,2.2.1.2,C00059,,160,486027,,-,Sulfate,Escherichia coli,BRENDA,so4,CHEBI:26836,tala
isoenzyme I has lower sensitivity to inhibition than isoenzyme III,2.2.1.6,C00109,,390,395887,,-,2-Oxobutanoate,Escherichia coli,BRENDA,2obut,CHEBI:30831,achbs
isozyme AHAS II,2.2.1.6,C00048,,101,671290,,-,Glyoxylate,Escherichia coli,BRENDA,glx,CHEBI:16891,achbs
"progressive inactivation of enzyme with kinetics of suicide inhibition, mechanism",2.2.1.6,C00168,,389,659590,,-,Hydroxypyruvate,Escherichia coli,BRENDA,hpyr,CHEBI:30841,achbs
mild inhibition of isoenzyme I and III,2.2.1.6,,,1088,395884,,-,,Escherichia coli,BRENDA,ile__l,CHEBI:58045,achbs
"isoenzyme AHS I is sensitive to feed-back inhibition, isoenzyme AHS II is insensitive",2.2.1.6,,,1088,395900,,-,,Escherichia coli,BRENDA,ile__l,CHEBI:58045,achbs
"mixed noncompetitive inhibition of isoenzyme, pH-independent inhibition of isoenzyme III",2.2.1.6,,,421,395882,,-,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,achbs
no inhibition of isoenzyme I and III,2.2.1.6,,,421,395884,,-,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,achbs
"isoenzyme AHS I is sensitive to feed-back inhibition, isoenzyme AHS II is insensitive",2.2.1.6,,,421,395900,,-,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,achbs
feedback inhibition,2.2.1.6,,,641,700782,,-,,Escherichia coli,BRENDA,leu__l,CHEBI:57427,achbs
"isoenzymes I and II are inhibited, isoenzyme II is not inhibited",2.2.1.6,,,1079,395884,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
isoenzyme I and III inhibited,2.2.1.6,,,1079,395885,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
isoenzyme I is more resistant to inhibition than isoenzyme III,2.2.1.6,,,1079,395887,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
"isoenzyme AHS I is sensitive to feed-back inhibition, isoenzyme AHS II is insensitive",2.2.1.6,,,1079,395900,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
"isozyme AHAS I, feedback inhibition",2.2.1.6,,,1210,671290,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
"isozyme AHAS I, cooperative feedback inhibition",2.2.1.6,,,1210,672368,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
"binding site structure, inhibition mechanism",2.2.1.6,,,1210,675377,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
feedback inhibition,2.2.1.6,,,1210,700782,,-,,Escherichia coli,BRENDA,val__l,CHEBI:57762,achbs
competitive inhibition with respect to pyruvate,2.2.1.7,C00577,,639,719975,,-,D-Glyceraldehyde,Escherichia coli,BRENDA,glyald,CHEBI:17378,dxps
substrate inhibition,2.2.1.7,C00118,,147,719975,,-,D-Glyceraldehyde 3-phosphate,Escherichia coli,BRENDA,g3p,CHEBI:29052,dxps
substrate inhibition,2.2.1.7,C00022,,31,719975,,-,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,dxps
"0.02 mM, 50% inhibition; L-arginine",2.3.1.1,C00062,,532,"486063, 486066",,-,L-Arginine,Escherichia coli,BRENDA,arg__l,CHEBI:16467,acgs
,2.3.1.1,C00062,,532,685805,,-,L-Arginine,Escherichia coli,BRENDA,arg__l,CHEBI:16467,acgs
"0.1 mM, 94% inhibition",2.3.1.1,C01413,,52,486063,,-,Cadmium,Escherichia coli,BRENDA,cd2,CHEBI:48775,acgs
"2.5 mM, 50% inhibition",2.3.1.1,C00010,,534,"486061, 486063",,-,CoA,Escherichia coli,BRENDA,coa,CHEBI:15346,acgs
"0.1 mM, 68% inhibition",2.3.1.1,,,19,486063,,-,,Escherichia coli,BRENDA,cu2,CHEBI:29036,acgs
0.1 mM; 50% inhibition,2.3.1.1,C00703,,33,486063,,-,Mercury(2+),Escherichia coli,BRENDA,hg2,CHEBI:16793,acgs
"10 mM, 75% inhibition",2.3.1.1,,,938,486063,,-,,Escherichia coli,BRENDA,citr__l,CHEBI:57743,acgs
,2.3.1.1,C00624,,3480,486061,,-,N-Acetyl-L-glutamate,Escherichia coli,BRENDA,acglu,CHEBI:17533,acgs
"25 mM, 50% inhibition",2.3.1.1,C00624,,3480,486063,,-,N-Acetyl-L-glutamate,Escherichia coli,BRENDA,acglu,CHEBI:17533,acgs
"0.1 mM, 43% inhibition",2.3.1.1,C00038,,14,486063,,-,Zinc cation,Escherichia coli,BRENDA,zn2,CHEBI:29105,acgs
substrate inhibition above 0.105 mM,2.3.1.9,C00332,,187,487690,,-,Acetoacetyl-CoA,Escherichia coli,BRENDA,aacoa,CHEBI:15345,acact1r
in the absence of NaCl,2.3.1.15,C00076,,15,486357,,-,Calcium cation,Escherichia coli,BRENDA,ca2,CHEBI:29108,g3pat120
in the absence of NaCl,2.3.1.15,C00305,,6,486357,,-,Magnesium cation,Escherichia coli,BRENDA,mg2,CHEBI:18420,g3pat120
"0.31 mM, 50% inhibition, synergism with cis-9,10-methylenehexadecanoic acid",2.3.1.15,C00712,,488,486365,,-,(9Z)-Octadecenoic acid,Escherichia coli,BRENDA,ocdcea,CHEBI:16196,g3pat120
"0.31 mM, 50% inhibition, synergism with cis-9,10-methylenehexadecanoic acid",2.3.1.15,C08362,,5594,486365,,-,(9Z)-Hexadecenoic acid,Escherichia coli,BRENDA,hdcea,CHEBI:28716,g3pat120
,2.3.1.15,,,128,486357,,-,,Escherichia coli,BRENDA,pmtcoa,CHEBI:57379,g3pat120
,2.3.1.15,C00009,,16,486381,,-,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,g3pat120
mixed non-competitive with respect to serine,2.3.1.30,C00002,,4,657835,,-,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,serat
,2.3.1.30,C00010,,18,486778,,-,CoA,Escherichia coli,BRENDA,coa,CHEBI:15346,serat
"competitive versus acetyl-CoA, mixed non-competitive with respect to serine",2.3.1.30,,,153,657835,,-,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,serat
"competitive, binds at the serine substrate site, negatively regulates its own synthesis",2.3.1.30,,,153,659391,,-,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,serat
"competitive against L-serine, noncompetitive against acetyl-CoA",2.3.1.30,,,72,486778,,-,,Escherichia coli,BRENDA,gly,CHEBI:57305,serat
mixed non-competitive inhibitor of propionyl transfer to serine with respect to propionyl-CoA,2.3.1.30,,,72,657835,,-,,Escherichia coli,BRENDA,gly,CHEBI:57305,serat
noncompetitive against acetyl-CoA,2.3.1.30,,,103,486778,,-,,Escherichia coli,BRENDA,ala__l,CHEBI:57972,serat
,2.3.1.30,,,336,676935,,-,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,serat
,2.3.1.30,,,74,"486752, 486756, 486757, 486777",,-,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,serat
"above 3 mM, weak",2.3.1.30,,,95,486752,,-,,Escherichia coli,BRENDA,ser__l,CHEBI:33384,serat
,2.3.1.41,C00024,,29,486914,,-,Acetyl-CoA,Escherichia coli,BRENDA,accoa,CHEBI:15351,3oas121
"about 50% inhibition at 1 M, complete inactivation at 4 M",2.3.1.41,,,116,486918,,-,,Escherichia coli,BRENDA,urea,CHEBI:32285,3oas121
slight feed-back inhibition,2.3.1.46,,,957,487045,,-,,Escherichia coli,BRENDA,met__d,CHEBI:57932,hsst
feed-back inhibition,2.3.1.46,C00073,,88,"487044, 487045",,-,L-Methionine,Escherichia coli,BRENDA,met__l,CHEBI:16643,hsst
feedback inhibition,2.3.1.46,C00073,,88,671413,,-,L-Methionine,Escherichia coli,BRENDA,met__l,CHEBI:16643,hsst
feed-back inhibition,2.3.1.46,C00019,,24,487044,,-,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,hsst
feedback inhibition,2.3.1.46,C00019,,24,671413,,-,S-Adenosyl-L-methionine,Escherichia coli,BRENDA,amet,CHEBI:15414,hsst
product inhibition in vivo,2.3.1.47,,,1494,487047,,-,,Escherichia coli,BRENDA,8aonn,CHEBI:57532,aoxsr2
,2.3.1.47,,,74,"487047, 487051",,-,,Escherichia coli,BRENDA,cys__l,CHEBI:35235,aoxsr2
,2.3.1.54,,,32877,487236,,-,,Escherichia coli,BRENDA,o2,CHEBI:27140,obtfl
product inhibition,2.3.1.54,C00058,,120,487220,,-,Formate,Escherichia coli,BRENDA,for,CHEBI:30751,obtfl
,2.3.1.54,,,36,"487219, 487221",,-,,Escherichia coli,BRENDA,ahcys,CHEBI:57856,obtfl
product inhibition,2.3.1.79,C00010,,5141,487511,,-,CoA,Escherichia coli,BRENDA,coa,CHEBI:15346,maltatr
competitive versus TAMRA peptide,2.3.1.129,C04738,,87729,720069,,-,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine,Escherichia coli,BRENDA,u3aga,CHEBI:61537,uagaat
competitive versus TAMRA peptide,2.3.1.129,C00043,,383,720069,,-,UDP-N-acetyl-alpha-D-glucosamine,Escherichia coli,BRENDA,uacgam,CHEBI:16264,uagaat
acetyltransferase activity inhibited by its reaction product,2.3.1.157,C04501,,31976,288685,,-,N-Acetyl-alpha-D-glucosamine 1-phosphate,Escherichia coli,BRENDA,acgam1p,CHEBI:16446,g1pact
"1 mM, relative enzyme activity 2%",2.3.1.157,C01050,,49468,288685,,-,UDP-N-acetylmuramate,Escherichia coli,BRENDA,uamr,CHEBI:70765,g1pact
,2.3.1.180,C10438,,864,719087,,-,Cinnamic acid,Escherichia coli,BRENDA,cinnm,CHEBI:27386,kas15
inhibition is overcome by the addition of excess (3R)-3-hydroxymyristoyl-[acyl-carrier protein],2.3.1.191,C00076,,15,696264,,-,Calcium cation,Escherichia coli,BRENDA,ca2,CHEBI:29108,u23gaat
,2.3.1.191,C00305,,6,696264,,-,Magnesium cation,Escherichia coli,BRENDA,mg2,CHEBI:18420,u23gaat
functions as acyl donor at low concentration with inhibition of acylation at higher concentrations,2.3.1.241,C05274,,541,726949,,-,Decanoyl-CoA,Escherichia coli,BRENDA,dcacoa,CHEBI:28493,edtxs1
"i.e. myristoyl-CoA, functions as acyl donor at low concentration with inhibition of acylation at higher concentrations",2.3.1.241,C02593,,1053,726949,,-,Tetradecanoyl-CoA,Escherichia coli,BRENDA,tdcoa,CHEBI:15532,edtxs1
; competitive,2.3.3.9,C00209,,185,706621,,-,Oxalate,Escherichia coli,BRENDA,oxa,CHEBI:16995,mals
,2.3.3.9,C00022,,31,660456,,-,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,mals
; competitive,2.3.3.9,C00022,,31,706621,,-,Pyruvate,Escherichia coli,BRENDA,pyr,CHEBI:32816,mals
,2.3.3.16,C00026,,34,488040,,-,2-Oxoglutarate,Escherichia coli,BRENDA,akg,CHEBI:30915,cs
allosteric,2.3.3.16,C00004,,8,"488040, 488069",,-,NADH,Escherichia coli,BRENDA,nadh,CHEBI:16908,cs
"allosteric; CS II, strong and specific allosteric inhibition",2.3.3.16,C00004,,8,488085,,-,NADH,Escherichia coli,BRENDA,nadh,CHEBI:16908,cs
,2.3.3.16,C00036,,57,659254,,-,Oxaloacetate,Escherichia coli,BRENDA,oaa,CHEBI:30744,cs
competitive inhibition,2.4.1.1,C00498,,1112,488238,,-,ADP-glucose,Escherichia coli,BRENDA,adpglc,CHEBI:15751,glcp2
strong inhibition,2.4.1.1,,,75,488238,,-,,Escherichia coli,BRENDA,ag,CHEBI:49468,glcp2
,2.4.1.1,C01478,,255,488294,,-,Arsenic acid,Escherichia coli,BRENDA,aso4,CHEBI:18231,glcp2
weak,2.4.1.1,C00076,,15,488238,,-,Calcium cation,Escherichia coli,BRENDA,ca2,CHEBI:29108,glcp2
,2.4.1.1,C01326,,159,488238,,-,Hydrogen cyanide,Escherichia coli,BRENDA,cyan,CHEBI:18407,glcp2
"1 mM, strong inhibition",2.4.1.1,,,19,488238,,-,,Escherichia coli,BRENDA,cu2,CHEBI:29036,glcp2
non-competitive,2.4.1.1,C00031,,35,488238,,-,D-Glucose,Escherichia coli,BRENDA,glc__d,CHEBI:4167,glcp2
weak inhibition,2.4.1.1,C14818,,25,488238,,-,Fe2+,Escherichia coli,BRENDA,fe2,CHEBI:29033,glcp2
above 2 mM; substrate inhibition,2.4.1.1,,,464,488238,,-,,Escherichia coli,BRENDA,g1p,CHEBI:16077,glcp2
"1 mM, strong inhibition",2.4.1.1,C00703,,33,488238,,-,Mercury(2+),Escherichia coli,BRENDA,hg2,CHEBI:16793,glcp2
competitive inhibition,2.4.1.1,C00842,,7290,488238,,-,dTDP-glucose,Escherichia coli,BRENDA,dtdpglu,CHEBI:15700,glcp2
,2.4.1.1,C00029,,186,488238,,-,UDP-glucose,Escherichia coli,BRENDA,udpg,CHEBI:46229,glcp2
strong inhibition,2.4.1.1,C00038,,14,488238,,-,Zinc cation,Escherichia coli,BRENDA,zn2,CHEBI:29105,glcp2
,2.4.1.227,C00132,,83,488978,,-,Methanol,Escherichia coli,BRENDA,meoh,CHEBI:17790,uagpt3
,2.4.1.227,,,38,488971,,-,,Escherichia coli,BRENDA,ni2,CHEBI:49786,uagpt3
"competitive inhibitor of UDP-GlcNAc donor, noncompetitive inhibitor of lipid I acceptor analogue",2.4.1.227,C00015,,26,488976,,-,UDP,Escherichia coli,BRENDA,udp,CHEBI:17659,uagpt3
,2.4.1.227,C00015,,26,703764,,-,UDP,Escherichia coli,BRENDA,udp,CHEBI:17659,uagpt3
,2.4.1.227,C00038,,14,488971,,-,Zinc cation,Escherichia coli,BRENDA,zn2,CHEBI:29105,uagpt3
,2.4.2.1,C00212,,122,489693,,-,Adenosine,Escherichia coli,BRENDA,adn,CHEBI:16335,punp1
,2.4.2.1,C00559,,601,489693,,-,Deoxyadenosine,Escherichia coli,BRENDA,dad_2,CHEBI:17256,punp1
,2.4.2.1,C00242,,199,489654,,-,Guanine,Escherichia coli,BRENDA,gua,CHEBI:16235,punp1
product inhibition,2.4.2.3,C00009,,16,638518,,-,Orthophosphate,Escherichia coli,BRENDA,pi,CHEBI:26078,pynp2r
product inhibition,2.4.2.3,C00620,,2355,"638518, 638520",,-,alpha-D-Ribose 1-phosphate,Escherichia coli,BRENDA,r1p,CHEBI:16300,pynp2r
product inhibition,2.4.2.3,C00106,,334,"638518, 638520",,-,Uracil,Escherichia coli,BRENDA,ura,CHEBI:17568,pynp2r
product inhibition,2.4.2.3,C00299,,261,638518,,-,Uridine,Escherichia coli,BRENDA,uri,CHEBI:16704,pynp2r
competitive,2.4.2.4,C00620,,2355,638444,,-,alpha-D-Ribose 1-phosphate,Escherichia coli,BRENDA,r1p,CHEBI:16300,duripp
inhibition reversed by phosphate,2.4.2.4,C00059,,245,638445,,-,Sulfate,Escherichia coli,BRENDA,so4,CHEBI:26836,duripp
,2.4.2.4,C00299,,261,672287,,-,Uridine,Escherichia coli,BRENDA,uri,CHEBI:16704,duripp
13% inhibition at 0.158 mM,2.4.2.4,C00385,,234,686525,,-,Xanthine,Escherichia coli,BRENDA,xan,CHEBI:48517,duripp
,2.4.2.8,C00020,,45234,638391,,-,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,adpt
,2.4.2.8,C00130,,45239,638391,,-,IMP,Escherichia coli,BRENDA,imp,CHEBI:17202,adpt
strong,2.4.2.8,C00076,,15,638391,,-,Calcium cation,Escherichia coli,BRENDA,ca2,CHEBI:29108,adpt
strong,2.4.2.8,C01228,,3703,638391,,-,"Guanosine 3',5'-bis(diphosphate)",Escherichia coli,BRENDA,ppgpp,CHEBI:17633,adpt
strong,2.4.2.8,C00038,,14,638391,,-,Zinc cation,Escherichia coli,BRENDA,zn2,CHEBI:29105,adpt
inhibitory when higher concentrated as Mg2+,2.4.2.9,C00119,,29609,638369,,-,5-Phospho-alpha-D-ribose 1-diphosphate,Escherichia coli,BRENDA,prpp,CHEBI:17111,upprt
,2.4.2.9,C00460,,435,638361,,-,dUTP,Escherichia coli,BRENDA,dutp,CHEBI:17625,upprt
not inhibitory,2.4.2.10,C00147,,144,489719,,-,Adenine,Escherichia coli,BRENDA,ade,CHEBI:16708,orpt
not inhibitory,2.4.2.10,C00212,,122,489719,,-,Adenosine,Escherichia coli,BRENDA,adn,CHEBI:16335,orpt
not inhibitory,2.4.2.10,C00008,,13,489719,,-,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,orpt
not inhibitory,2.4.2.10,C00020,,30,489719,,-,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,orpt
not inhibitory,2.4.2.10,C00002,,4,489719,,-,ATP,Escherichia coli,BRENDA,atp,CHEBI:15422,orpt
not inhibitory,2.4.2.10,C00075,,65,489719,,-,UTP,Escherichia coli,BRENDA,utp,CHEBI:15713,orpt
,2.4.2.10,C00038,,14,489719,,-,Zinc cation,Escherichia coli,BRENDA,zn2,CHEBI:29105,orpt
,2.4.2.14,C00008,,13,489747,,-,ADP,Escherichia coli,BRENDA,adp,CHEBI:16761,gluprt
"approx. 10 mM, complete inhibition, sigmoidal inhibition curve, competitive vs. 5-phospho-alpha-D-ribose 1-diphosphate, GMP and AMP together have a synergistic effect on inhibition",2.4.2.14,C00020,,30,489747,,-,AMP,Escherichia coli,BRENDA,amp,CHEBI:16027,gluprt
