,bigg.metabolite,subsystem
1825,progly,Arginine and Proline Metabolism
1835,acmum6p,Murein Recycling
1837,ppi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1838,prpp,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1839,pran,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1841,glu__l,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1842,chor,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1843,h,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1844,pyr,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1845,gln__l,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
1846,aact,Threonine and Lysine Metabolism
1847,co2,Threonine and Lysine Metabolism
1848,h,Threonine and Lysine Metabolism
1849,2aobut,Threonine and Lysine Metabolism
1851,co2,Cofactor and Prosthetic Group Biosynthesis
1854,pimacp,Cofactor and Prosthetic Group Biosynthesis
1856,ap4a,Nucleotide Salvage Pathway
1865,ap5a,Nucleotide Salvage Pathway
1868,15dap,Arginine and Proline Metabolism
1870,5mta,Arginine and Proline Metabolism
1872,na15dap,Arginine and Proline Metabolism
1874,glyc3p,Glycerophospholipid Metabolism
1910,h2o,Glycerophospholipid Metabolism
1944,appl,Threonine and Lysine Metabolism
1945,nadh,Threonine and Lysine Metabolism
1946,nad,Threonine and Lysine Metabolism
1948,5apru,Cofactor and Prosthetic Group Biosynthesis
1949,nadp,Cofactor and Prosthetic Group Biosynthesis
1950,nadph,Cofactor and Prosthetic Group Biosynthesis
1951,5aprbu,Cofactor and Prosthetic Group Biosynthesis
1953,rbl__l,Alternate Carbon Metabolism
1954,arab__l,Alternate Carbon Metabolism
1955,arbtn_fe3,Inorganic Ion Transport and Metabolism
1956,fe2,Inorganic Ion Transport and Metabolism
1957,arbtn,Inorganic Ion Transport and Metabolism
1958,fadh2,Inorganic Ion Transport and Metabolism
1960,fad,Inorganic Ion Transport and Metabolism
1964,fmnh2,Inorganic Ion Transport and Metabolism
1965,fmn,Inorganic Ion Transport and Metabolism
1967,rbflvrd,Inorganic Ion Transport and Metabolism
1972,ribflv,Inorganic Ion Transport and Metabolism
1979,arbtn_fe3,"Transport, Inner Membrane"
1998,arbt6p,"Transport, Inner Membrane"
2007,arab__l,"Transport, Inner Membrane"
2019,agm,"Transport, Inner Membrane"
2020,arg__l,"Transport, Inner Membrane"
2024,arg__l,Arginine and Proline Metabolism
2030,orn,"Transport, Inner Membrane"
2034,argsuc,Arginine and Proline Metabolism
2035,fum,Arginine and Proline Metabolism
2038,asp__l,Arginine and Proline Metabolism
2039,ppi,Arginine and Proline Metabolism
2042,citr__l,Arginine and Proline Metabolism
2043,amp,Arginine and Proline Metabolism
2046,argtrna,tRNA Charging
2047,trnaarg,tRNA Charging
2049,arg__l,tRNA Charging
2063,aspsa,Threonine and Lysine Metabolism
2064,nadp,Threonine and Lysine Metabolism
2065,nadph,Threonine and Lysine Metabolism
2067,pi,Threonine and Lysine Metabolism
2068,4pasp,Threonine and Lysine Metabolism
2072,ascb6p,Alternate Carbon Metabolism
2075,ascb6p,"Transport, Inner Membrane"
2079,asp__l,Alanine and Aspartate Metabolism
2080,asn__l,Alanine and Aspartate Metabolism
2081,nh4,Alanine and Aspartate Metabolism
2082,h2o,Alanine and Aspartate Metabolism
2088,atp,Alanine and Aspartate Metabolism
2091,ppi,Alanine and Aspartate Metabolism
2092,h,Alanine and Aspartate Metabolism
2093,gln__l,Alanine and Aspartate Metabolism
2095,amp,Alanine and Aspartate Metabolism
2103,trnaasn,tRNA Charging
2105,asn__l,tRNA Charging
2107,asntrna,tRNA Charging
2111,asn__l,"Transport, Inner Membrane"
2127,aso3,"Transport, Inner Membrane"
2131,asp__l,Cofactor and Prosthetic Group Biosynthesis
2134,ala_b,Cofactor and Prosthetic Group Biosynthesis
2135,cbasp,Purine and Pyrimidine Biosynthesis
2137,cbp,Purine and Pyrimidine Biosynthesis
2140,asp__l,Threonine and Lysine Metabolism
2141,adp,Threonine and Lysine Metabolism
2142,atp,Threonine and Lysine Metabolism
2145,q8h2,Cofactor and Prosthetic Group Biosynthesis
2146,iasp,Cofactor and Prosthetic Group Biosynthesis
2147,q8,Cofactor and Prosthetic Group Biosynthesis
2151,mqn8,Cofactor and Prosthetic Group Biosynthesis
2155,succ,Cofactor and Prosthetic Group Biosynthesis
2156,fum,Cofactor and Prosthetic Group Biosynthesis
2160,o2,Cofactor and Prosthetic Group Biosynthesis
2163,h2o2,Cofactor and Prosthetic Group Biosynthesis
2165,fum,Alanine and Aspartate Metabolism
2170,oaa,Alanine and Aspartate Metabolism
2171,asptrna,tRNA Charging
2173,asp__l,tRNA Charging
2176,trnaasp,tRNA Charging
2180,asp__l,"Transport, Inner Membrane"
2202,aso4,Inorganic Ion Transport and Metabolism
2203,h2o,Inorganic Ion Transport and Metabolism
2204,gthrd,Inorganic Ion Transport and Metabolism
2205,aso3,Inorganic Ion Transport and Metabolism
2206,gthox,Inorganic Ion Transport and Metabolism
2208,sucarg,Arginine and Proline Metabolism
2210,succoa,Arginine and Proline Metabolism
2215,athr__l,Threonine and Lysine Metabolism
2222,h2o,Unassigned
2223,pi,Unassigned
2224,atp,Unassigned
2225,adp,Unassigned
2226,h,Unassigned
2227,ppi,Histidine Metabolism
2228,prpp,Histidine Metabolism
2229,atp,Histidine Metabolism
2230,prbatp,Histidine Metabolism
2231,h2o,Oxidative Phosphorylation
2233,atp,Oxidative Phosphorylation
2234,h,Oxidative Phosphorylation
2235,adp,Oxidative Phosphorylation
2236,pi,Oxidative Phosphorylation
2237,ala_b,"Transport, Inner Membrane"
2244,glyb,Unassigned
2245,betald,Unassigned
2247,nad,Unassigned
2248,nadh,Unassigned
2250,nadp,Unassigned
2251,nadph,Unassigned
2255,cu2,Cofactor and Prosthetic Group Biosynthesis
2256,moco,Cofactor and Prosthetic Group Biosynthesis
2257,mptamp,Cofactor and Prosthetic Group Biosynthesis
2258,amp,Cofactor and Prosthetic Group Biosynthesis
2259,bmoco,Cofactor and Prosthetic Group Biosynthesis
2260,bmoco1gdp,Cofactor and Prosthetic Group Biosynthesis
2269,bmocogdp,Cofactor and Prosthetic Group Biosynthesis
2271,pi,Cysteine Metabolism
2272,pap,Cysteine Metabolism
2273,amp,Cysteine Metabolism
2275,btn,Cofactor and Prosthetic Group Biosynthesis
2276,btnso,Cofactor and Prosthetic Group Biosynthesis
2287,btn,"Transport, Inner Membrane"
2293,dtbt,Cofactor and Prosthetic Group Biosynthesis
2295,2fe2s,Cofactor and Prosthetic Group Biosynthesis
2297,met__l,Cofactor and Prosthetic Group Biosynthesis
2298,2fe1s,Cofactor and Prosthetic Group Biosynthesis
2300,btcoa,Alternate Carbon Metabolism
2307,butso3,"Transport, Inner Membrane"
2315,but,"Transport, Inner Membrane"
2320,bwco,Cofactor and Prosthetic Group Biosynthesis
2323,bwco1gdp,Cofactor and Prosthetic Group Biosynthesis
2324,bwcogdp,Cofactor and Prosthetic Group Biosynthesis
2332,wco,Cofactor and Prosthetic Group Biosynthesis
2335,ca2,Inorganic Ion Transport and Metabolism
2340,lys__l,"Transport, Inner Membrane"
2345,15dap,"Transport, Inner Membrane"
2346,o2,Unassigned
2348,h2o2,Unassigned
2350,na1,Inorganic Ion Transport and Metabolism
2353,pppi,Cofactor and Prosthetic Group Biosynthesis
2354,cbi,Cofactor and Prosthetic Group Biosynthesis
2365,cbi,"Transport, Inner Membrane"
2372,cbl1,"Transport, Inner Membrane"
2381,cbl1,Cofactor and Prosthetic Group Biosynthesis
2385,co2,Nucleotide Salvage Pathway
2387,cbm,Nucleotide Salvage Pathway
2389,cbp,Unassigned
2393,co2,Unassigned
2394,nh4,Unassigned
2395,cbp,Arginine and Proline Metabolism
2397,hco3,Arginine and Proline Metabolism
2403,gln__l,Arginine and Proline Metabolism
2404,preq0,Cofactor and Prosthetic Group Biosynthesis
2410,cdg,Cofactor and Prosthetic Group Biosynthesis
2411,nh4,Cofactor and Prosthetic Group Biosynthesis
2413,atp,Inorganic Ion Transport and Metabolism
2414,cd2,Inorganic Ion Transport and Metabolism
2416,adp,Inorganic Ion Transport and Metabolism
2417,pi,Inorganic Ion Transport and Metabolism
2427,cdpdddecg,Glycerophospholipid Metabolism
2429,cmp,Glycerophospholipid Metabolism
2432,cdpdtdecg,Glycerophospholipid Metabolism
2439,cdpdtdec7eg,Glycerophospholipid Metabolism
2444,cdpdhdecg,Glycerophospholipid Metabolism
2449,cdpdhdec9eg,Glycerophospholipid Metabolism
2452,cdpdodecg,Glycerophospholipid Metabolism
2460,cdpdodec11eg,Glycerophospholipid Metabolism
2462,preq1,Cofactor and Prosthetic Group Biosynthesis
2469,cph4,Cofactor and Prosthetic Group Biosynthesis
2471,4c2me,Cofactor and Prosthetic Group Biosynthesis
2472,2p4c2me,Cofactor and Prosthetic Group Biosynthesis
2476,amet,Glycerophospholipid Metabolism
2477,cpe160,Glycerophospholipid Metabolism
2480,ahcys,Glycerophospholipid Metabolism
2485,cpg160,Glycerophospholipid Metabolism
2486,cpe180,Glycerophospholipid Metabolism
2492,cpg180,Glycerophospholipid Metabolism
2502,cgly,"Transport, Inner Membrane"
2508,chol,"Transport, Inner Membrane"
2518,chol,Unassigned
2524,pphn,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
2526,pi,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
2527,3psme,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
2528,4hbz,Cofactor and Prosthetic Group Biosynthesis
2534,chtbs6p,"Transport, Inner Membrane"
2538,cenchddd,Alternate Carbon Metabolism
2539,cinnm,Alternate Carbon Metabolism
2543,ac,Citric Acid Cycle
2544,oaa,Citric Acid Cycle
2549,cit,"Transport, Inner Membrane"
2551,succ,"Transport, Inner Membrane"
2622,cl,Inorganic Ion Transport and Metabolism
2626,csn,Nucleotide Salvage Pathway
2628,cmp,Nucleotide Salvage Pathway
2640,co2,"Transport, Inner Membrane"
2643,cobalt2,Inorganic Ion Transport and Metabolism
2672,colipa,Lipopolysaccharide Biosynthesis / Recycling
2681,cpgn,Inorganic Ion Transport and Metabolism
2685,cpgn_un,Inorganic Ion Transport and Metabolism
2708,cpgn,"Transport, Inner Membrane"
2722,acald,Cofactor and Prosthetic Group Biosynthesis
2723,ahdt,Cofactor and Prosthetic Group Biosynthesis
2730,cpmp,Cofactor and Prosthetic Group Biosynthesis
2733,pppg9,Cofactor and Prosthetic Group Biosynthesis
2734,cpppg3,Cofactor and Prosthetic Group Biosynthesis
2743,crn,Oxidative Phosphorylation
2744,bbtcoa,Oxidative Phosphorylation
2745,crncoa,Oxidative Phosphorylation
2746,gbbtn,Oxidative Phosphorylation
2750,coa,Oxidative Phosphorylation
2753,crndcoa,Oxidative Phosphorylation
2756,ctbtcoa,Oxidative Phosphorylation
2758,ctbt,Oxidative Phosphorylation
2767,crn__d,Oxidative Phosphorylation
2774,crn__d,"Transport, Inner Membrane"
2781,crn,"Transport, Inner Membrane"
2794,gbbtn,"Transport, Inner Membrane"
2806,h,Citric Acid Cycle
2807,accoa,Citric Acid Cycle
2808,ura,Nucleotide Salvage Pathway
2814,csn,"Transport, Inner Membrane"
2831,ctbt,"Transport, Inner Membrane"
2836,tdecoa,Membrane Lipid Metabolism
2838,hdcoa,Membrane Lipid Metabolism
2841,odecoa,Membrane Lipid Metabolism
2842,h2o,Purine and Pyrimidine Biosynthesis
2844,glu__l,Purine and Pyrimidine Biosynthesis
2845,utp,Purine and Pyrimidine Biosynthesis
2848,ctp,Purine and Pyrimidine Biosynthesis
2850,gln__l,Purine and Pyrimidine Biosynthesis
2857,cu,Inorganic Ion Transport and Metabolism
2863,cu2,Inorganic Ion Transport and Metabolism
2877,cu,"Transport, Outer Membrane"
2880,cyan,Unassigned
2881,so3,Unassigned
2882,tsul,Unassigned
2884,tcynt,Unassigned
2892,hco3,Nitrogen Metabolism
2893,cynt,Nitrogen Metabolism
2894,co2,Nitrogen Metabolism
2896,nh4,Nitrogen Metabolism
2898,cynt,"Transport, Inner Membrane"
2903,cys__d,Cysteine Metabolism
2904,pyr,Cysteine Metabolism
2905,nh4,Cysteine Metabolism
2906,h2s,Cysteine Metabolism
2918,cys__d,"Transport, Inner Membrane"
2923,ac,Cysteine Metabolism
2924,acser,Cysteine Metabolism
2927,so2,Cysteine Metabolism
2928,ala__l,Cysteine Metabolism
2930,3sala,Cysteine Metabolism
2931,hcys__l,Methionine Metabolism
2933,pyr,Methionine Metabolism
2934,cyst__l,Methionine Metabolism
2935,nh4,Methionine Metabolism
2936,cys__l,tRNA Charging
2938,cystrna,tRNA Charging
2941,trnacys,tRNA Charging
2942,cys__l,"Transport, Inner Membrane"
2960,o2,Oxidative Phosphorylation
2962,mqn8,Oxidative Phosphorylation
2965,mql8,Oxidative Phosphorylation
2969,q8h2,Oxidative Phosphorylation
2971,q8,Oxidative Phosphorylation
2978,cytd,Nucleotide Salvage Pathway
2979,uri,Nucleotide Salvage Pathway
2983,cytd,Alternate Carbon Metabolism
2985,csn,Alternate Carbon Metabolism
2992,cytd,"Transport, Inner Membrane"
3002,cdp,Nucleotide Salvage Pathway
3006,dcmp,Nucleotide Salvage Pathway
3009,dcdp,Nucleotide Salvage Pathway
3010,lac__d,"Transport, Inner Membrane"
3018,fadh2,Alanine and Aspartate Metabolism
3021,fad,Alanine and Aspartate Metabolism
3022,dad_2,Nucleotide Salvage Pathway
3023,din,Nucleotide Salvage Pathway
3027,dadp,Nucleotide Salvage Pathway
3028,damp,Nucleotide Salvage Pathway
3031,dad_2,"Transport, Inner Membrane"
3037,adp,Glycerophospholipid Metabolism
3038,12dgr120,Glycerophospholipid Metabolism
3046,12dgr140,Glycerophospholipid Metabolism
3048,12dgr141,Glycerophospholipid Metabolism
3053,12dgr160,Glycerophospholipid Metabolism
3058,12dgr161,Glycerophospholipid Metabolism
3062,12dgr180,Glycerophospholipid Metabolism
3067,12dgr181,Glycerophospholipid Metabolism
3072,ala__d,"Transport, Inner Membrane"
3083,23dappa,Alternate Carbon Metabolism
3085,lys__l,Threonine and Lysine Metabolism
3087,26dap__m,Threonine and Lysine Metabolism
3088,26dap_ll,Threonine and Lysine Metabolism
3091,26dap__m,"Transport, Inner Membrane"
3099,ctp,Glycerophospholipid Metabolism
3135,datp,Nucleotide Salvage Pathway
3138,ditp,Nucleotide Salvage Pathway
3139,db4p,Cofactor and Prosthetic Group Biosynthesis
3142,ru5p__d,Cofactor and Prosthetic Group Biosynthesis
3150,acgam,Alternate Carbon Metabolism
3152,chtbs6p,Alternate Carbon Metabolism
3159,dutp,Nucleotide Salvage Pathway
3162,dctp,Nucleotide Salvage Pathway
3163,dcyt,Nucleotide Salvage Pathway
3166,duri,Nucleotide Salvage Pathway
3168,dcyt,"Transport, Inner Membrane"
3176,2dh3dgal,Alternate Carbon Metabolism
3177,2dh3dgal6p,Alternate Carbon Metabolism
3182,2ddglcn,"Transport, Inner Membrane"
3189,2ddg6p,Alternate Carbon Metabolism
3192,pep,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3193,h2o,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3195,2dda7p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3196,e4p,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3199,g3p,Alternate Carbon Metabolism
3200,dgdp,Nucleotide Salvage Pathway
3201,dgmp,Nucleotide Salvage Pathway
3206,dgsn,"Transport, Inner Membrane"
3212,3hadpcoa,Alternate Carbon Metabolism
3214,23dhacoa,Alternate Carbon Metabolism
3215,h2o,"Valine, Leucine, and Isoleucine Metabolism"
3216,23dhmb,"Valine, Leucine, and Isoleucine Metabolism"
3217,3mob,"Valine, Leucine, and Isoleucine Metabolism"
3218,23dhmp,"Valine, Leucine, and Isoleucine Metabolism"
3219,3mop,"Valine, Leucine, and Isoleucine Metabolism"
3221,pep,Alternate Carbon Metabolism
3223,dhap,Alternate Carbon Metabolism
3224,dha,Alternate Carbon Metabolism
3228,dha,"Transport, Inner Membrane"
3229,23dhb,Cofactor and Prosthetic Group Biosynthesis
3231,23ddhb,Cofactor and Prosthetic Group Biosynthesis
3234,23dhba,Cofactor and Prosthetic Group Biosynthesis
3240,ser__l,Cofactor and Prosthetic Group Biosynthesis
3242,23dhbzs,Cofactor and Prosthetic Group Biosynthesis
3249,hkntd,Alternate Carbon Metabolism
3252,thdp,Threonine and Lysine Metabolism
3253,23dhdp,Threonine and Lysine Metabolism
3258,pyr,Threonine and Lysine Metabolism
3261,h2o,Threonine and Lysine Metabolism
3262,dhf,Cofactor and Prosthetic Group Biosynthesis
3265,thf,Cofactor and Prosthetic Group Biosynthesis
3272,dhpt,Cofactor and Prosthetic Group Biosynthesis
3275,thmnp,Cofactor and Prosthetic Group Biosynthesis
3277,dhmpt,Cofactor and Prosthetic Group Biosynthesis
3280,octdp,Cofactor and Prosthetic Group Biosynthesis
3284,dhna,Cofactor and Prosthetic Group Biosynthesis
3285,sbzcoa,Cofactor and Prosthetic Group Biosynthesis
3288,14dhncoa,Cofactor and Prosthetic Group Biosynthesis
3294,dhnpt,Cofactor and Prosthetic Group Biosynthesis
3295,gcald,Cofactor and Prosthetic Group Biosynthesis
3296,6hmhpt,Cofactor and Prosthetic Group Biosynthesis
3299,q8h2,Purine and Pyrimidine Biosynthesis
3300,dhor__s,Purine and Pyrimidine Biosynthesis
3301,q8,Purine and Pyrimidine Biosynthesis
3302,orot,Purine and Pyrimidine Biosynthesis
3304,mqn8,Purine and Pyrimidine Biosynthesis
3306,mql8,Purine and Pyrimidine Biosynthesis
3307,succ,Purine and Pyrimidine Biosynthesis
3315,cechddd,Alternate Carbon Metabolism
3322,25drapp,Cofactor and Prosthetic Group Biosynthesis
3326,6hmhptpp,Cofactor and Prosthetic Group Biosynthesis
3329,dhptd,Methionine Metabolism
3330,mdhdhf,Methionine Metabolism
3331,dhptdn,Alternate Carbon Metabolism
3332,thptdn,Alternate Carbon Metabolism
3341,dhmptp,Cofactor and Prosthetic Group Biosynthesis
3343,3dhq,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3346,3dhsk,"Tyrosine, Tryptophan, and Phenylalanine Metabolism"
3352,din,"Transport, Inner Membrane"
3357,25dkglcn,Alternate Carbon Metabolism
3372,dmpp,Cofactor and Prosthetic Group Biosynthesis
3374,ipdp,Cofactor and Prosthetic Group Biosynthesis
3375,grdp,Cofactor and Prosthetic Group Biosynthesis
3378,h2mb4p,Cofactor and Prosthetic Group Biosynthesis
3383,2omhmbl,Cofactor and Prosthetic Group Biosynthesis
3389,dms,Oxidative Phosphorylation
3390,dmso,Oxidative Phosphorylation
3400,2dmmq8,Oxidative Phosphorylation
3401,2dmmql8,Oxidative Phosphorylation
3410,dmso,"Transport, Inner Membrane"
3416,dhpmp,Cofactor and Prosthetic Group Biosynthesis
3424,23doguln,Alternate Carbon Metabolism
3435,dpcoa,Cofactor and Prosthetic Group Biosynthesis
3440,pant__r,Cofactor and Prosthetic Group Biosynthesis
3444,2dhp,Cofactor and Prosthetic Group Biosynthesis
3447,2dr5p,Alternate Carbon Metabolism
3448,q8h2,Unassigned
3450,q8,Unassigned
3452,mqn8,Unassigned
3454,mql8,Unassigned
3460,dsbdrd,Unassigned
3461,dsbdox,Unassigned
3462,trdox,Unassigned
3463,trdrd,Unassigned
3468,2amsa,Glycine and Serine Metabolism
3469,ser__d,Glycine and Serine Metabolism
3470,nadp,Glycine and Serine Metabolism
3471,nadph,Glycine and Serine Metabolism
3472,h,Glycine and Serine Metabolism
3474,ser__d,"Transport, Inner Membrane"
3480,tartr__d,Alternate Carbon Metabolism
3481,oaa,Alternate Carbon Metabolism
3482,dtmp,Nucleotide Salvage Pathway
3483,dtdp,Nucleotide Salvage Pathway
3491,nadh,Nucleotide Salvage Pathway
3493,nad,Nucleotide Salvage Pathway
3494,56dura,Nucleotide Salvage Pathway
3496,dump,Nucleotide Salvage Pathway
3501,2dr1p,Nucleotide Salvage Pathway
3502,pi,Nucleotide Salvage Pathway
3506,duri,"Transport, Inner Membrane"
3515,2me4p,Cofactor and Prosthetic Group Biosynthesis
3516,dxyl5p,Cofactor and Prosthetic Group Biosynthesis
3524,g3p,Cofactor and Prosthetic Group Biosynthesis
3526,dxyl,Cofactor and Prosthetic Group Biosynthesis
3530,4per,Cofactor and Prosthetic Group Biosynthesis
3532,e4p,Cofactor and Prosthetic Group Biosynthesis
3538,nadh,Cell Envelope Biosynthesis
3540,nad,Cell Envelope Biosynthesis
3683,unagamuf,Lipopolysaccharide Biosynthesis / Recycling
3684,h2o,Membrane Lipid Metabolism
3685,3hbcoa,Membrane Lipid Metabolism
3687,3hhcoa,Membrane Lipid Metabolism
3692,3hocoa,Membrane Lipid Metabolism
3695,3hdcoa,Membrane Lipid Metabolism
3697,3hddcoa,Membrane Lipid Metabolism
3700,3htdcoa,Membrane Lipid Metabolism
3704,3hhdcoa,Membrane Lipid Metabolism
3705,3hodcoa,Membrane Lipid Metabolism
3708,pyr,Pentose Phosphate Pathway
3709,g3p,Pentose Phosphate Pathway
3710,2ddg6p,Pentose Phosphate Pathway
3711,6pgc,Pentose Phosphate Pathway
3712,h2o,Pentose Phosphate Pathway
3714,kdo2lipid4,Lipopolysaccharide Biosynthesis / Recycling
3715,kdo2lipid4l,Lipopolysaccharide Biosynthesis / Recycling
3716,acp,Lipopolysaccharide Biosynthesis / Recycling
3717,ddcaacp,Lipopolysaccharide Biosynthesis / Recycling
3720,lipa,Lipopolysaccharide Biosynthesis / Recycling
3721,myrsacp,Lipopolysaccharide Biosynthesis / Recycling
3724,hdeacp,Lipopolysaccharide Biosynthesis / Recycling
3725,kdo2lipid4p,Lipopolysaccharide Biosynthesis / Recycling
3727,lipa_cold,Lipopolysaccharide Biosynthesis / Recycling
3730,egmeacp,Cofactor and Prosthetic Group Biosynthesis
3734,gmeacp,Cofactor and Prosthetic Group Biosynthesis
3742,pep,Glycolysis/Gluconeogenesis
3743,h2o,Glycolysis/Gluconeogenesis
3744,2pg,Glycolysis/Gluconeogenesis
3746,seramp,Cofactor and Prosthetic Group Biosynthesis
3747,enter,Cofactor and Prosthetic Group Biosynthesis
3751,enter,Inorganic Ion Transport and Metabolism
3753,23dhbzs,Inorganic Ion Transport and Metabolism
3754,fe3,Inorganic Ion Transport and Metabolism
3756,feenter,Inorganic Ion Transport and Metabolism
3759,pmeacp,Cofactor and Prosthetic Group Biosynthesis
3760,epmeacp,Cofactor and Prosthetic Group Biosynthesis
3764,acald,Cell Envelope Biosynthesis
3765,nh4,Cell Envelope Biosynthesis
3766,etha,Cell Envelope Biosynthesis
3769,etha,"Transport, Inner Membrane"
3775,ethso3,"Transport, Inner Membrane"
3785,etoh,"Transport, Inner Membrane"
3786,g3p,Glycolysis/Gluconeogenesis
3787,dha,Glycolysis/Gluconeogenesis
3788,f6p,Glycolysis/Gluconeogenesis
3791,fru,Alternate Carbon Metabolism
3796,f6p,"Transport, Inner Membrane"
3836,coa,Cell Envelope Biosynthesis
3838,dcacoa,Cell Envelope Biosynthesis
3839,ddcacoa,Cell Envelope Biosynthesis
3847,tdcoa,Cell Envelope Biosynthesis
3852,tdecoa,Cell Envelope Biosynthesis
3854,pmtcoa,Cell Envelope Biosynthesis
3860,hdcoa,Cell Envelope Biosynthesis
3864,stcoa,Cell Envelope Biosynthesis
3871,odecoa,Cell Envelope Biosynthesis
3876,hxa,Cell Envelope Biosynthesis
3877,hxcoa,Cell Envelope Biosynthesis
3879,occoa,Cell Envelope Biosynthesis
3964,fad,Cofactor and Prosthetic Group Biosynthesis
3965,fadh2,Cofactor and Prosthetic Group Biosynthesis
3976,hmgth,Cofactor and Prosthetic Group Biosynthesis
3978,sfglutth,Cofactor and Prosthetic Group Biosynthesis
3982,fald,"Transport, Inner Membrane"
3983,gthrd,Cofactor and Prosthetic Group Biosynthesis
3985,fald,Cofactor and Prosthetic Group Biosynthesis
3986,dhap,Glycolysis/Gluconeogenesis
3987,fdp,Glycolysis/Gluconeogenesis
3989,e4p,Pentose Phosphate Pathway
3990,dhap,Pentose Phosphate Pathway
3991,s17bp,Pentose Phosphate Pathway
3993,pi,Glycolysis/Gluconeogenesis
3996,fuc__l,Alternate Carbon Metabolism
3997,fcl__l,Alternate Carbon Metabolism
3998,fc1p,Alternate Carbon Metabolism
4005,lald__l,Alternate Carbon Metabolism
4006,fe2,Cofactor and Prosthetic Group Biosynthesis
4007,ppp9,Cofactor and Prosthetic Group Biosynthesis
4009,pheme,Cofactor and Prosthetic Group Biosynthesis
4022,o2,Inorganic Ion Transport and Metabolism
4023,so3,Inorganic Ion Transport and Metabolism
4024,isetac,Inorganic Ion Transport and Metabolism
4029,gcald,Inorganic Ion Transport and Metabolism
4032,mso3,Inorganic Ion Transport and Metabolism
4034,fald,Inorganic Ion Transport and Metabolism
4040,acald,Inorganic Ion Transport and Metabolism
4041,ethso3,Inorganic Ion Transport and Metabolism
4048,butso3,Inorganic Ion Transport and Metabolism
4049,btal,Inorganic Ion Transport and Metabolism
4058,sulfac,Inorganic Ion Transport and Metabolism
4061,glx,Inorganic Ion Transport and Metabolism
4084,cit,Inorganic Ion Transport and Metabolism
4094,fe3dhbzs,Inorganic Ion Transport and Metabolism
4108,fe3hox_un,Inorganic Ion Transport and Metabolism
4109,fe3hox,Inorganic Ion Transport and Metabolism
4148,fe3,Cofactor and Prosthetic Group Biosynthesis
4162,fecrm,Inorganic Ion Transport and Metabolism
4166,fecrm_un,Inorganic Ion Transport and Metabolism
4240,enter,"Transport, Inner Membrane"
4241,feoxam,Inorganic Ion Transport and Metabolism
4245,feoxam_un,Inorganic Ion Transport and Metabolism
4289,4fe4s,Cofactor and Prosthetic Group Biosynthesis
4290,3fe4s,Cofactor and Prosthetic Group Biosynthesis
4295,no,Cofactor and Prosthetic Group Biosynthesis
4296,n2o,Cofactor and Prosthetic Group Biosynthesis
4302,suc6p,Alternate Carbon Metabolism
4306,co2,Pyruvate Metabolism
4307,h2,Pyruvate Metabolism
4309,for,Pyruvate Metabolism
4310,flxr,Unassigned
4311,flxso,Unassigned
4315,rbflvrd,Cofactor and Prosthetic Group Biosynthesis
4319,ribflv,Cofactor and Prosthetic Group Biosynthesis
4325,thf,tRNA Charging
4326,mettrna,tRNA Charging
4327,10fthf,tRNA Charging
4328,fmettrna,tRNA Charging
4329,h,tRNA Charging
4331,fmn,Cofactor and Prosthetic Group Biosynthesis
4335,fmnh2,Cofactor and Prosthetic Group Biosynthesis
4345,5fthf,Folate Metabolism
4346,h2o,Folate Metabolism
4347,h,Folate Metabolism
4348,methf,Folate Metabolism
4349,oxa,Alternate Carbon Metabolism
4350,oxalcoa,Alternate Carbon Metabolism
4351,forcoa,Alternate Carbon Metabolism
4352,for,Alternate Carbon Metabolism
4353,for,"Transport, Inner Membrane"
4361,succ,Citric Acid Cycle
4362,fum,Citric Acid Cycle
4363,mqn8,Citric Acid Cycle
4364,mql8,Citric Acid Cycle
4367,2dmmq8,Citric Acid Cycle
4368,2dmmql8,Citric Acid Cycle
4370,f1p,Alternate Carbon Metabolism
4373,fdp,Alternate Carbon Metabolism
4375,lys__l,Alternate Carbon Metabolism
4377,frulysp,Alternate Carbon Metabolism
4378,frulys,Alternate Carbon Metabolism
4379,psclys,Alternate Carbon Metabolism
4385,frulys,"Transport, Inner Membrane"
4392,fruur,"Transport, Inner Membrane"
4402,f1p,"Transport, Inner Membrane"
4407,thf,Folate Metabolism
4409,10fthf,Folate Metabolism
4410,for,Folate Metabolism
4412,adp,Folate Metabolism
4413,atp,Folate Metabolism
4416,pi,Folate Metabolism
4421,fuc__l,"Transport, Inner Membrane"
4426,mal__l,Citric Acid Cycle
