,Commentary,Compound,EC_number,KEGG_ID,KI_Value,LigandID,LigandName,Literature,Mode,Organism,Source,bigg.metabolite,chebiID,bigg.reaction
49386,,ADP,1.1.1.28,C00008,,13,4 ADP,286430,-,Escherichia coli,BRENDA,adp,CHEBI:16761,ldh_d
49603,,ATP,1.1.1.28,C00002,,4,ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49604,,ATP,1.1.1.28,C00002,,4,2 ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49605,,ATP,1.1.1.28,C00002,,4,16 ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49606,,ATP,1.1.1.28,C00002,,4,6 ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49607,,ATP,1.1.1.28,C00002,,4,3 ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49608,,ATP,1.1.1.28,C00002,,4,4 ATP,286430,-,Escherichia coli,BRENDA,atp,CHEBI:15422,ldh_d
49950,,Oxamate,1.1.1.28,C01444,,825,Oxamate,286430,-,Escherichia coli,BRENDA,oxam,CHEBI:18058,ldh_d
51615,,Calcium cation,1.1.1.40,C00076,,15,Ca2+,722940,-,Escherichia coli,BRENDA,ca2,CHEBI:29108,me2
51645,,Cobalt ion,1.1.1.40,C00175,,23,Co2+,722940,-,Escherichia coli,BRENDA,cobalt2,CHEBI:48828,me2
51672,strong inhibition,,1.1.1.40,,,19,Cu2+,722940,-,Escherichia coli,BRENDA,cu2,CHEBI:29036,me2
51673,strong inhibition,,1.1.1.40,,,19,4 Cu2+,722940,-,Escherichia coli,BRENDA,cu2,CHEBI:29036,me2
51779,"activates at up to 4 mM, inhibition above, probably due to blockage of substrate binding, Km is 0.19 mM",Magnesium cation,1.1.1.40,C00305,,6,Mg2+,687388,-,Escherichia coli,BRENDA,mg2,CHEBI:18420,me2
51926,strong inhibition,Zinc cation,1.1.1.40,C00038,,14,Zn2+,722940,-,Escherichia coli,BRENDA,zn2,CHEBI:29105,me2
52568,"allosteric inhibition. Phosphoenolpyruvate enhances the uncompetitive inhibition of isocitrate lyase by increasing isocitrate, which protects isocitrate dehydrogenase from the inhibition, and contributes to the control through the tricarboxylic acid cycle and glyoxylate shunt",Phosphoenolpyruvate,1.1.1.42,C00074,,51,phosphoenolpyruvate,680481,-,Escherichia coli,BRENDA,pep,CHEBI:44897,icdhyr
52856,,ATP,1.1.1.44,C00002,,4,ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52857,,ATP,1.1.1.44,C00002,,4,2 ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52858,,ATP,1.1.1.44,C00002,,4,16 ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52859,,ATP,1.1.1.44,C00002,,4,6 ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52860,,ATP,1.1.1.44,C00002,,4,3 ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52861,,ATP,1.1.1.44,C00002,,4,4 ATP,"286861, 286882, 286904",-,Escherichia coli,BRENDA,atp,CHEBI:15422,gnd
52927,,"D-Fructose 1,6-bisphosphate",1.1.1.44,C00354,,583,"D-fructose 1,6-diphosphate","286851, 286861, 286882, 286904",-,Escherichia coli,BRENDA,fdp,CHEBI:37736,gnd
53240,,NADPH,1.1.1.44,C00005,,5,2 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53241,,NADPH,1.1.1.44,C00005,,5,NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53242,,NADPH,1.1.1.44,C00005,,5,3 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53243,,NADPH,1.1.1.44,C00005,,5,14 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53244,,NADPH,1.1.1.44,C00005,,5,7 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53245,,NADPH,1.1.1.44,C00005,,5,6 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53246,,NADPH,1.1.1.44,C00005,,5,4 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53247,,NADPH,1.1.1.44,C00005,,5,8 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53248,,NADPH,1.1.1.44,C00005,,5,11 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53249,,NADPH,1.1.1.44,C00005,,5,5 NADPH,"286851, 286882, 286904",-,Escherichia coli,BRENDA,nadph,CHEBI:16474,gnd
53751,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53752,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,2 ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53753,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,16 ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53754,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,6 ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53755,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,3 ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53756,"10 mM, 50-75% inhibition, assay without MgCl2",ATP,1.1.1.49,C00002,,4,4 ATP,722473,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g6pdh2r
53769,"1 mM, 83% inhibition",Cadmium,1.1.1.49,C01413,,52,Cd2+,722473,-,Escherichia coli,BRENDA,cd2,CHEBI:48775,g6pdh2r
53776,"1 mM, 56% inhibition",Cobalt ion,1.1.1.49,C00175,,23,Co2+,722473,-,Escherichia coli,BRENDA,cobalt2,CHEBI:48828,g6pdh2r
53792,"1 mM, complete inhibition",,1.1.1.49,,,19,Cu2+,722473,-,Escherichia coli,BRENDA,cu2,CHEBI:29036,g6pdh2r
53793,"1 mM, complete inhibition",,1.1.1.49,,,19,4 Cu2+,722473,-,Escherichia coli,BRENDA,cu2,CHEBI:29036,g6pdh2r
53847,"1 mM, complete inhibition",Mercury(2+),1.1.1.49,C00703,,33,Hg2+,722473,-,Escherichia coli,BRENDA,hg2,CHEBI:16793,g6pdh2r
53863,"1 mM, 56% inhibition",,1.1.1.49,,,11,Mn2+,722473,-,Escherichia coli,BRENDA,mn2,CHEBI:29035,g6pdh2r
53864,"1 mM, 56% inhibition",,1.1.1.49,,,11,2 Mn2+,722473,-,Escherichia coli,BRENDA,mn2,CHEBI:29035,g6pdh2r
53896,"allosteric inhibition, inhibition is not reversed by NAD+, AMP, or spermidine",NADH,1.1.1.49,C00004,,8,2 NADH,722577,-,Escherichia coli,BRENDA,nadh,CHEBI:16908,g6pdh2r
53897,"allosteric inhibition, inhibition is not reversed by NAD+, AMP, or spermidine",NADH,1.1.1.49,C00004,,8,NADH,722577,-,Escherichia coli,BRENDA,nadh,CHEBI:16908,g6pdh2r
53898,"allosteric inhibition, inhibition is not reversed by NAD+, AMP, or spermidine",NADH,1.1.1.49,C00004,,8,3 NADH,722577,-,Escherichia coli,BRENDA,nadh,CHEBI:16908,g6pdh2r
53899,"allosteric inhibition, inhibition is not reversed by NAD+, AMP, or spermidine",NADH,1.1.1.49,C00004,,8,4 NADH,722577,-,Escherichia coli,BRENDA,nadh,CHEBI:16908,g6pdh2r
53900,"allosteric inhibition, inhibition is not reversed by NAD+, AMP, or spermidine",NADH,1.1.1.49,C00004,,8,7 NADH,722577,-,Escherichia coli,BRENDA,nadh,CHEBI:16908,g6pdh2r
54161,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,2 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54162,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54163,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,3 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54164,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,14 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54165,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,7 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54166,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,6 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54167,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,4 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54168,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,8 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54169,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,11 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54170,product inhibition with NADP+ or D-glucose 6-phosphate as the varying substrate,NADPH,1.1.1.49,C00005,,5,5 NADPH,722244,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54171,,NADPH,1.1.1.49,C00005,,5,2 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54172,,NADPH,1.1.1.49,C00005,,5,NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54173,,NADPH,1.1.1.49,C00005,,5,3 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54174,,NADPH,1.1.1.49,C00005,,5,14 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54175,,NADPH,1.1.1.49,C00005,,5,7 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54176,,NADPH,1.1.1.49,C00005,,5,6 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54177,,NADPH,1.1.1.49,C00005,,5,4 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54178,,NADPH,1.1.1.49,C00005,,5,8 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54179,,NADPH,1.1.1.49,C00005,,5,11 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54180,,NADPH,1.1.1.49,C00005,,5,5 NADPH,722473,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54181,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,2 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54182,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54183,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,3 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54184,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,14 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54185,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,7 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54186,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,6 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54187,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,4 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54188,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,8 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54189,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,11 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54190,"when NADP+ is the varied substrate, NADPH NADPH is a competitive inhibitor both in the presence and absence of Mg2+, linear competitive inhibition. When glucose 6-phosphate is the varied substrate NADPH causes linear noncompetitive inhibition",NADPH,1.1.1.49,C00005,,5,5 NADPH,722577,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g6pdh2r
54606,competitive,ATP,1.1.1.57,C00002,,4,ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54607,competitive,ATP,1.1.1.57,C00002,,4,2 ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54608,competitive,ATP,1.1.1.57,C00002,,4,16 ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54609,competitive,ATP,1.1.1.57,C00002,,4,6 ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54610,competitive,ATP,1.1.1.57,C00002,,4,3 ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54611,competitive,ATP,1.1.1.57,C00002,,4,4 ATP,287131,-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54612,non-competitive,ATP,1.1.1.57,C00002,,4,ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54613,non-competitive,ATP,1.1.1.57,C00002,,4,2 ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54614,non-competitive,ATP,1.1.1.57,C00002,,4,16 ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54615,non-competitive,ATP,1.1.1.57,C00002,,4,6 ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54616,non-competitive,ATP,1.1.1.57,C00002,,4,3 ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54617,non-competitive,ATP,1.1.1.57,C00002,,4,4 ATP,"287132, 287133",-,Escherichia coli,BRENDA,atp,CHEBI:15422,manao
54618,non-competitive,D-Altronate,1.1.1.57,C00817,,7175,D-Altronate,287131,-,Escherichia coli,BRENDA,altrn,CHEBI:46644,manao
54619,,D-Altronate,1.1.1.57,C00817,,7175,D-Altronate,287132,-,Escherichia coli,BRENDA,altrn,CHEBI:46644,manao
54620,competitive at low concentrations; non-competitive,D-Altronate,1.1.1.57,C00817,,7175,D-Altronate,287133,-,Escherichia coli,BRENDA,altrn,CHEBI:46644,manao
54621,non-competitive,D-Mannonate,1.1.1.57,C00514,,3998,D-mannonate,287131,-,Escherichia coli,BRENDA,mana,CHEBI:33076,manao
54632,,ATP,1.1.1.58,C00002,,4,ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54633,,ATP,1.1.1.58,C00002,,4,2 ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54634,,ATP,1.1.1.58,C00002,,4,16 ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54635,,ATP,1.1.1.58,C00002,,4,6 ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54636,,ATP,1.1.1.58,C00002,,4,3 ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54637,,ATP,1.1.1.58,C00002,,4,4 ATP,"287138, 287140",-,Escherichia coli,BRENDA,atp,CHEBI:15422,tagurr
54638,,D-Fructuronate,1.1.1.58,C00905,,96511,Fructuronate,287140,-,Escherichia coli,BRENDA,fruur,CHEBI:4126,tagurr
54639,inhibitory for forward and reverse reaction,D-Mannonate,1.1.1.58,C00514,,94003,mannonate,287140,-,Escherichia coli,BRENDA,mana,CHEBI:33076,tagurr
56043,"with acetolactate as substrate, Mn2+ behaves as a competitive inhibitor in presence of Mg2+",,1.1.1.86,,,11,Mn2+,639175,-,Escherichia coli,BRENDA,mn2,CHEBI:29035,kara1
56044,"with acetolactate as substrate, Mn2+ behaves as a competitive inhibitor in presence of Mg2+",,1.1.1.86,,,11,2 Mn2+,639175,-,Escherichia coli,BRENDA,mn2,CHEBI:29035,kara1
56147,,NADPH,1.1.1.86,C00005,,5,2 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56148,,NADPH,1.1.1.86,C00005,,5,NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56149,,NADPH,1.1.1.86,C00005,,5,3 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56150,,NADPH,1.1.1.86,C00005,,5,14 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56151,,NADPH,1.1.1.86,C00005,,5,7 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56152,,NADPH,1.1.1.86,C00005,,5,6 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56153,,NADPH,1.1.1.86,C00005,,5,4 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56154,,NADPH,1.1.1.86,C00005,,5,8 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56155,,NADPH,1.1.1.86,C00005,,5,11 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56156,,NADPH,1.1.1.86,C00005,,5,5 NADPH,639183,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,kara1
56365,,ADP,1.1.1.94,C00008,,13,ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56366,,ADP,1.1.1.94,C00008,,13,2 ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56367,,ADP,1.1.1.94,C00008,,13,16 ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56368,,ADP,1.1.1.94,C00008,,13,6 ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56369,,ADP,1.1.1.94,C00008,,13,3 ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56370,,ADP,1.1.1.94,C00008,,13,4 ADP,669177,-,Escherichia coli,BRENDA,adp,CHEBI:16761,g3pd2
56371,,Cyclic ADP-ribose,1.1.1.94,C13050,,402,ADP-ribose,669177,-,Escherichia coli,BRENDA,adprib,CHEBI:31445,g3pd2
56372,,AMP,1.1.1.94,C00020,,30,AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56373,,AMP,1.1.1.94,C00020,,30,39 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56374,,AMP,1.1.1.94,C00020,,30,40 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56375,,AMP,1.1.1.94,C00020,,30,41 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56376,,AMP,1.1.1.94,C00020,,30,2 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56377,,AMP,1.1.1.94,C00020,,30,6 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56378,,AMP,1.1.1.94,C00020,,30,3 AMP,669177,-,Escherichia coli,BRENDA,amp,CHEBI:16027,g3pd2
56379,,ATP,1.1.1.94,C00002,,4,ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56380,,ATP,1.1.1.94,C00002,,4,2 ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56381,,ATP,1.1.1.94,C00002,,4,16 ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56382,,ATP,1.1.1.94,C00002,,4,6 ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56383,,ATP,1.1.1.94,C00002,,4,3 ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56384,,ATP,1.1.1.94,C00002,,4,4 ATP,669177,-,Escherichia coli,BRENDA,atp,CHEBI:15422,g3pd2
56385,noncompetitive versus NADP+,Glycerone phosphate,1.1.1.94,C00111,,278,dihydroxyacetone phosphate,669175,-,Escherichia coli,BRENDA,dhap,CHEBI:16108,g3pd2
56386,"0.05 mM, 26% inhibition",,1.1.1.94,,,4581,DL-glycerol 3-phosphate,287523,-,Escherichia coli,BRENDA,glyc3p,CHEBI:57597,g3pd2
56388,competitive inhibitor,Glyceraldehyde 3-phosphate,1.1.1.94,C00661,,5971,glyceraldehyde-3-phosphate,689802,-,Escherichia coli,BRENDA,g3p,CHEBI:17138,g3pd2
56389,competitive inhibitor,2-Phospho-D-glycerate,1.1.1.94,C00631,,68873,glyceric acid 2-phosphate,689802,-,Escherichia coli,BRENDA,2pg,CHEBI:17835,g3pd2
56390,"50% inhibition with 0.035 mM, sigmoid inhibition curve, competitive inhibition vs. glycerone phosphate, uncompetitive vs. NADPH",,1.1.1.94,,,445,glycerol 3-phosphate,287523,-,Escherichia coli,BRENDA,glyc3p,CHEBI:57597,g3pd2
56436,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,2 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56437,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56438,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,3 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56439,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,14 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56440,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,7 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56441,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,6 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56442,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,4 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56443,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,8 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56444,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,11 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56445,competitive versus NADP+,NADPH,1.1.1.94,C00005,,5,5 NADPH,669175,-,Escherichia coli,BRENDA,nadph,CHEBI:16474,g3pd2
56447,,,1.1.1.94,,,775,NMN,669177,-,Escherichia coli,BRENDA,nmn,CHEBI:14648,g3pd2
56448,"0.0015 mM, 52% inhibition",,1.1.1.94,,,128,palmitoyl-CoA,287523,-,Escherichia coli,BRENDA,pmtcoa,CHEBI:57379,g3pd2
56449,"0.0015 mM, 52% inhibition",,1.1.1.94,,,128,3 palmitoyl-CoA,287523,-,Escherichia coli,BRENDA,pmtcoa,CHEBI:57379,g3pd2
56450,competitive inhibitor,Phosphoenolpyruvate,1.1.1.94,C00074,,51,phosphoenolpyruvate,689802,-,Escherichia coli,BRENDA,pep,CHEBI:44897,g3pd2
56452,"product inhibition at an allosteric, regulatory site, competitive versus dihydroxyacetone phosphate, noncompetitive versus NADPH, the wild-type enzyme is feedback inhibited",,1.1.1.94,,,4869,sn-glycerol-3-phosphate,669175,-,Escherichia coli,BRENDA,glyc3p,CHEBI:57597,g3pd2
56453,"the wild-type enzyme is feedback regulated, competitive versus dihydroxyacetone phosphate, binding to a regulatory site",,1.1.1.94,,,4869,sn-glycerol-3-phosphate,669177,-,Escherichia coli,BRENDA,glyc3p,CHEBI:57597,g3pd2
56457,,Glycerate 3-phosphate,1.1.1.95,C00597,,194,3-phosphoglycerate,287546,-,Escherichia coli,BRENDA,3pg,CHEBI:17050,pgcd
56473,inhibition can be overcome by addition of dithiothreitol,,1.1.1.95,,,75,Ag+,287530,-,Escherichia coli,BRENDA,ag,CHEBI:49468,pgcd
56494,slightly,,1.1.1.95,,,494,beta-Alanine,287548,-,Escherichia coli,BRENDA,ala_b,CHEBI:57966,pgcd
56500,,,1.1.1.95,,,72,glycine,287546,-,Escherichia coli,BRENDA,gly,CHEBI:57305,pgcd
56508,,,1.1.1.95,,,103,L-alanine,287525,-,Escherichia coli,BRENDA,ala__l,CHEBI:57972,pgcd
56510,,,1.1.1.95,,,7217,L-allothreonine,287525,-,Escherichia coli,BRENDA,athr__l,CHEBI:58585,pgcd
56511,,,1.1.1.95,,,345,L-homoserine,287525,-,Escherichia coli,BRENDA,hom__l,CHEBI:57476,pgcd
56513,binding of the inhibitor to the apoenzyme displays positive cooperativity in the binding of the first two serine molecules and negative cooperativity in the binding of the last two serine molecules. At least two NADH-induced conformational forms of the enzyme bind the inhibitor in the physiological range. Successive binding of NADH to the enzyme results in an increase in the affinity for the first inhibitor ligand bound and a lessening of both the positive and negative cooperativity of inhibitor binding,,1.1.1.95,,,262,L-Ser,656083,-,Escherichia coli,BRENDA,ser__l,CHEBI:33384,pgcd
