,EC_number,subsystem,$| log_{10}(\Gamma) |$,bigg.metabolite,num_regulators,Regulation
305,4.2.1.46,Cell Envelope Biosynthesis,18.65,3.0,3+ regulators,regulated
306,4.2.1.47,Cell Envelope Biosynthesis,20.71,5.0,3+ regulators,regulated
307,4.2.1.55,Membrane Lipid Metabolism,1.53,0.0,0 regulators,not regulated
308,4.2.1.7,Alternate Carbon Metabolism,15.11,4.0,3+ regulators,regulated
309,4.2.1.74,Membrane Lipid Metabolism,0.28,0.0,0 regulators,not regulated
310,4.2.1.79,Alternate Carbon Metabolism,0.31,1.0,1-2 regulators,regulated
311,4.2.1.8,Alternate Carbon Metabolism,15.11,5.0,3+ regulators,regulated
312,4.2.1.80,Alternate Carbon Metabolism,0.29,0.0,0 regulators,not regulated
313,4.2.1.9,"Valine, Leucine, and Isoleucine Metabolism",14.33,2.0,1-2 regulators,regulated
314,4.2.1.91,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",23.45,0.0,0 regulators,not regulated
315,4.2.1.99,Alternate Carbon Metabolism,0.31,0.0,0 regulators,not regulated
316,4.2.3.1,Cofactor and Prosthetic Group Biosynthesis,8.28,2.0,1-2 regulators,regulated
317,4.2.3.3,Methylglyoxal Metabolism,19.71,8.0,3+ regulators,regulated
318,4.2.3.4,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",39.52,2.0,1-2 regulators,regulated
319,4.2.3.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",17.13,1.0,1-2 regulators,regulated
320,4.2.99.20,Cofactor and Prosthetic Group Biosynthesis,39.2,0.0,0 regulators,not regulated
321,4.3.2.2,Purine and Pyrimidine Biosynthesis,0.995,0.0,0 regulators,not regulated
322,4.6.1.1,Nucleotide Salvage Pathway,3.01,8.0,3+ regulators,regulated
323,4.6.1.2,Nucleotide Salvage Pathway,3.03,0.0,0 regulators,not regulated
324,5.1.3.13,Cell Envelope Biosynthesis,4.98,0.0,0 regulators,not regulated
325,5.1.3.14,Cell Envelope Biosynthesis,0.01,1.0,1-2 regulators,regulated
326,5.1.3.2,Alternate Carbon Metabolism,1.19,4.0,3+ regulators,regulated
327,5.1.3.3,Alternate Carbon Metabolism,2.52,0.0,0 regulators,not regulated
328,5.1.3.9,Alternate Carbon Metabolism,0.88,0.0,0 regulators,not regulated
329,5.3.1.1,Glycolysis/Gluconeogenesis,2.23,1.0,1-2 regulators,regulated
330,5.3.1.12,Alternate Carbon Metabolism,0.22,3.0,3+ regulators,regulated
331,5.3.1.14,Alternate Carbon Metabolism,0.07,0.0,0 regulators,not regulated
332,5.3.1.16,Histidine Metabolism,2.33,0.0,0 regulators,not regulated
333,5.3.1.22,Alternate Carbon Metabolism,0.57,0.0,0 regulators,not regulated
334,5.3.1.24,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",2.34,1.0,1-2 regulators,regulated
335,5.3.1.28,Lipopolysaccharide Biosynthesis / Recycling,0.6,0.0,0 regulators,not regulated
336,5.3.1.8,Alternate Carbon Metabolism,0.27,1.0,1-2 regulators,regulated
337,5.3.1.9,Glycolysis/Gluconeogenesis,1.02,2.0,1-2 regulators,regulated
338,5.3.3.2,Cofactor and Prosthetic Group Biosynthesis,1.98,0.0,0 regulators,not regulated
339,5.3.3.7,Unassigned,1.49,0.0,0 regulators,not regulated
340,5.4.2,Alternate Carbon Metabolism,5.39,0.0,0 regulators,not regulated
341,5.4.2.10,Cell Envelope Biosynthesis,2.88,3.0,3+ regulators,regulated
342,5.4.2.12,Glycolysis/Gluconeogenesis,1.68,0.0,0 regulators,not regulated
343,5.4.2.5,Alternate Carbon Metabolism,2.99,0.0,0 regulators,not regulated
344,5.4.2.7,Alternate Carbon Metabolism,11.68,9.0,3+ regulators,regulated
345,5.4.2.8,Alternate Carbon Metabolism,1.74,0.0,0 regulators,not regulated
346,5.4.3.8,Cofactor and Prosthetic Group Biosynthesis,3.12,1.0,1-2 regulators,regulated
347,5.4.99.18,Purine and Pyrimidine Biosynthesis,15.39,0.0,0 regulators,not regulated
348,5.4.99.5,"Tyrosine, Tryptophan, and Phenylalanine Metabolism",8.5,4.0,3+ regulators,regulated
349,5.4.99.9,Cell Envelope Biosynthesis,1.93,1.0,1-2 regulators,regulated
350,6.2.1.1,Pyruvate Metabolism,0.79,3.0,3+ regulators,regulated
351,6.2.1.13,Alternate Carbon Metabolism,2.12,0.0,0 regulators,not regulated
352,6.2.1.26,Cofactor and Prosthetic Group Biosynthesis,2.1,3.0,3+ regulators,regulated
353,6.2.1.30,Alternate Carbon Metabolism,10.1,0.0,0 regulators,not regulated
354,6.2.1.5,Citric Acid Cycle,0.22,5.0,3+ regulators,regulated
355,6.3.2.10,Cell Envelope Biosynthesis,3.91,4.0,3+ regulators,regulated
356,6.3.3.3,Cofactor and Prosthetic Group Biosynthesis,0.86,4.0,3+ regulators,regulated
357,6.3.4.13,Purine and Pyrimidine Biosynthesis,3.1,2.0,1-2 regulators,regulated
358,6.3.4.18,Purine and Pyrimidine Biosynthesis,8.79,1.0,1-2 regulators,regulated
359,6.3.4.21,Cofactor and Prosthetic Group Biosynthesis,5.06,0.0,0 regulators,not regulated
360,6.3.4.3,Folate Metabolism,0.46,0.0,0 regulators,not regulated
361,6.4.1.2,Membrane Lipid Metabolism,0.81,3.0,3+ regulators,regulated
