,Type,Key,EC_number,LigandID,Compound,TotalEntries,Entropy,Summary,URL,NullEntropy,NullSummary,Literature,NumReferences,Organisms,DeltaEntropy
ki:2.3.1.30:74,ki,"('2.3.1.30', '74')",2.3.1.30,74,L-cysteine,10,0.305432151027,Plantae:7;Bacteria:3,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.30#INHIBITORS,0.268704144074,Bacteria:26;Plantae:16;Protozoa:8;Animalia:1,"34691;486752,486756,486757,486777;486753;486768;486772;486775;657672;660107;660267;660305",10,Paracoccus denitrificans;Phaseolus vulgaris;Arabidopsis thaliana;Spinacia oleracea;Allium tuberosum;Escherichia coli;Haemophilus influenzae;Allium cepa;Pisum sativum;Glycine max,0.0367280069534
ki:2.3.1.37:822,ki,"('2.3.1.37', '822')",2.3.1.37,822,Hemin,12,0.299712328228,Animalia:6;Bacteria:3;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.37#INHIBITORS,0.268400852377,Animalia:83;Bacteria:61;Plantae:12;Fungi:10,"486809;486810;486813,486820;486814,486820,486832;486817,486820;486819;486820;486820,486835;486820,486843;486850",10,Solanum tuberosum;Paracoccus denitrificans;Rhodobacter sphaeroides;Homo sapiens;Oryctolagus cuniculus;Rattus norvegicus;Rhodospirillum rubrum;Spinacia oleracea;Gallus gallus;Saccharomyces cerevisiae;Cavia porcellus;Mus musculus,0.0313114758517
ki:2.3.1.41:1438,ki,"('2.3.1.41', '1438')",2.3.1.41,1438,cerulenin,12,0.342727953111,Bacteria:5;Plantae:5;Animalia:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.41#INHIBITORS,0.304647537762,Bacteria:25;Plantae:9;Animalia:6,"285669;486920;486935;486939;486941;486942;486946;486948;658746,659442;659451;661000",11,Carthamus tinctorius;Spinacia oleracea;Allium ampeloprasum;Haemophilus influenzae;Streptococcus pneumoniae;Escherichia coli;Mycobacterium tuberculosis;Staphylococcus aureus;Coriandrum sativum;Arabidopsis thaliana;Homo sapiens;Rattus norvegicus,0.0380804153488
ki:2.3.1.5:67,ki,"('2.3.1.5', '67')",2.3.1.5,67,iodoacetamide,10,0.213010619883,Bacteria:8;Animalia:1;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.1.5#INHIBITORS,0.253064865024,Animalia:106;Bacteria:66;Fungi:4,"487142;487143;487145;487146;487148,661996;487149;658090;659692;661996;685192",10,Enterobacter aerogenes;Lactobacillus acidophilus;Candida albicans;Helicobacter pylori;Escherichia coli;Mesocricetus auratus;Klebsiella pneumoniae;Citrobacter koseri;Pseudomonas aeruginosa;Mycobacterium tuberculosis,-0.0400542451405
ki:2.3.3.16:4,ki,"('2.3.3.16', '4')",2.3.3.16,4,ATP,24,0.242666241166,Archaea:10;Bacteria:7;Plantae:3;Animalia:2;Protozoa:1;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.3.16#INHIBITORS,0.242350348047,Bacteria:51;Archaea:34;Animalia:20;Plantae:10;Fungi:6;Protozoa:3,488030;488036;488037;488038;488039;488041;488043;488048;488059;488062;488063;488068;488070;488078;657610;799,16,Azotobacter vinelandii;Bacillus subtilis;Thermus aquaticus;Anthocidaris crassispina;Agave americana;Pisum sativum;Bacillus megaterium;Sulfolobus acidocaldarius;Thermoplasma acidophilum;Sulfolobus solfataricus;Drosophila melanogaster;Pseudomonas aeruginosa;Tetrahymena pyriformis;Saccharomyces cerevisiae;Methylobacterium extorquens;Cicer arietinum;Geobacter sulfurreducens;Haloarcula vallismortis;Halobacterium salinarum;Haloferax volcanii;Methanosarcina barkeri;Natronobacterium gregoryi;Natronococcus occultus;Natronomonas pharaonis,0.000315893119268
ki:2.3.3.16:8,ki,"('2.3.3.16', '8')",2.3.3.16,8,2 NADH,24,0.259449204029,Bacteria:13;Archaea:8;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.3.16#INHIBITORS,0.242350348047,Bacteria:51;Archaea:34;Animalia:20;Plantae:10;Fungi:6;Protozoa:3,"488028;488036;488039;488040,488069;488041;488043;488044;488048;488062;488068;488070;488078;662550;799",14,Azotobacter vinelandii;Thermus aquaticus;Pisum sativum;Bacillus megaterium;Sulfolobus acidocaldarius;Thermoplasma acidophilum;Methylophilus methylotrophus;Sulfolobus solfataricus;Pseudomonas aeruginosa;Saccharomyces cerevisiae;Escherichia coli;Methylobacterium extorquens;Cicer arietinum;Mesorhizobium ciceri;Brevundimonas diminuta;Delftia acidovorans;Pseudomonas fluorescens;Pseudomonas putida;Pseudomonas stutzeri;Halobacterium salinarum;Haloferax volcanii;Methanosarcina barkeri;Natronobacterium gregoryi;Natronomonas pharaonis,0.0170988559824
ki:2.4.1.1:1112,ki,"('2.4.1.1', '1112')",2.4.1.1,1112,ADPglucose,13,0.286246971002,Plantae:8;Bacteria:4;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.1#INHIBITORS,0.215946661983,Animalia:363;Plantae:123;Bacteria:82;Fungi:36;Archaea:1,488226;488229;488238;488241;488246;488252;488255;488264;488266;488271;488277;488297;488298,13,Dioscorea cayenensis;Dioscorea rotundata;Escherichia coli;Clostridium pasteurianum;Cryptococcus laurentii;Streptococcus salivarius;Chlorella vulgaris;Zea mays;Pisum sativum;Ipomoea batatas;Solanum tuberosum;Geobacillus stearothermophilus;Xanthosoma sagittifolium,0.0703003090187
ki:2.4.1.1:186,ki,"('2.4.1.1', '186')",2.4.1.1,186,UDPglucose,11,0.310171072988,Plantae:5;Bacteria:3;Fungi:2;Animalia:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.1#INHIBITORS,0.215946661983,Animalia:363;Plantae:123;Bacteria:82;Fungi:36;Archaea:1,"488238;488241;488246;488247;488253;488254,488277;488255;488258;488269;488271;488297",11,Escherichia coli;Clostridium pasteurianum;Cryptococcus laurentii;Oryctolagus cuniculus;Saccharomyces cerevisiae;Chlorella vulgaris;Musa x paradisiaca;Pisum sativum;Ipomoea batatas;Solanum tuberosum;Geobacillus stearothermophilus,0.094224411005
ki:2.4.1.1:4,ki,"('2.4.1.1', '4')",2.4.1.1,4,ATP,14,0.318566630371,Plantae:8;Animalia:4;Bacteria:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.4.1.1#INHIBITORS,0.215946661983,Animalia:363;Plantae:123;Bacteria:82;Fungi:36;Archaea:1,488226;488229;488234;488241;488254;488255;488258;488271;488283;488289;488295;488298;671229;718691,14,Dioscorea cayenensis;Dioscorea rotundata;Manihot esculenta;Clostridium pasteurianum;Oryctolagus cuniculus;Chlorella vulgaris;Musa x paradisiaca;Ipomoea batatas;Sus scrofa;Manduca sexta;Corynebacterium callunae;Xanthosoma sagittifolium;Homo sapiens;Oryza sativa,0.102619968387
ki:2.5.1.19:788,ki,"('2.5.1.19', '788')",2.5.1.19,788,glyphosate,13,0.178653683236,Bacteria:11;Chromista:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.19#INHIBITORS,0.206067654186,Bacteria:56;Plantae:18;Chromista:1,658298;658759;682400;690523;690976;691436;691936;694557;694929;721350;721379;723574;723804,13,Escherichia coli;Staphylococcus aureus;Oryza sativa;Pseudomonas fluorescens;Mycobacterium tuberculosis;Pseudomonas stutzeri;Bacteria;plant;Pseudomonas aeruginosa;Ochrobactrum anthropi;Halothermothrix orenii;Rahnella aquatilis;Bacillus cereus,-0.02741397095
ki:2.5.1.54:21,ki,"('2.5.1.54', '21')",2.5.1.54,21,EDTA,12,0.279685833996,Bacteria:7;Archaea:2;Plantae:2;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.5.1.54#INHIBITORS,0.167654749299,Bacteria:115;Plantae:18;Archaea:5;Fungi:5,639742;639746;639758;639766;639790;639795;657871;659228;660428;684585;721793;723700,12,Streptomyces aureofaciens;Escherichia coli;Daucus carota;Saccharomyces cerevisiae;Arachis hypogaea;Xanthomonas campestris;Helicobacter pylori;Thermotoga maritima;Pyrococcus furiosus;Corynebacterium glutamicum;Aeropyrum pernix;Actinosynnema pretiosum,0.112031084698
ki:2.7.1.1:105,ki,"('2.7.1.1', '105')",2.7.1.1,105,D-glucose 6-phosphate,12,0.245771939644,Animalia:8;Plantae:2;Archaea:1;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.1#INHIBITORS,0.2183488535,Animalia:110;Plantae:23;Fungi:22;Archaea:12;Protozoa:4,640206;640211;640219;640239;640240;640251;640253;640255;661952;662531;662842;676389,12,Oryctolagus cuniculus;Rattus norvegicus;Homo sapiens;Solanum tuberosum;Sus scrofa;Bubalus bubalis;Schistosoma mansoni;Thermoproteus tenax;Saccharomyces cerevisiae;Mammalia;Bos taurus;Solanum lycopersicum,0.0274230861436
ki:2.7.1.1:13,ki,"('2.7.1.1', '13')",2.7.1.1,13,ADP,14,0.266332862059,Plantae:7;Animalia:3;Archaea:2;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.1#INHIBITORS,0.2183488535,Animalia:110;Plantae:23;Fungi:22;Archaea:12;Protozoa:4,640207;640234;640239;640241;640251;640255;640266;661952;674266;676389;723049,11,Rattus norvegicus;Catharanthus roseus;Solanum tuberosum;Sus scrofa;Bubalus bubalis;Thermoproteus tenax;Entamoeba histolytica;Saccharomyces cerevisiae;Sulfolobus tokodaii;Pisum sativum;Solanum chacoense;Solanum lycopersicum;Triticum aestivum;Helianthus annuus,0.0479840085585
ki:2.7.1.11:131,ki,"('2.7.1.11', '131')",2.7.1.11,131,citrate,36,0.24552684979,Animalia:17;Bacteria:10;Plantae:7;Fungi:1;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.11#INHIBITORS,0.220030838727,Animalia:117;Plantae:74;Bacteria:66;Archaea:11;Fungi:5;Protozoa:4,"640421;640422;640423;640429;640438;640442;640458,640479;640460;640464;640475;640476;640477;640479;640495;640507;672415;727725",17,Arthrobacter crystallopoietes;Arthrobacter nicotianae;Bos taurus;Clostridium pasteurianum;Daucus carota;Enterobacter aerogenes;Escherichia coli;Fasciola hepatica;Gallus gallus;Homo sapiens;Lactobacillus casei;Lactobacillus plantarum;Mus musculus;Oryctolagus cuniculus;Ovis aries;Pisum sativum;Rattus norvegicus;Saccharomyces cerevisiae;Thermus thermophilus;Zea mays;Triticum aestivum;Lymantria dispar;Camelus dromedarius;Vigna mungo;Musa acuminata;Crassostrea virginica;Bacillus licheniformis;Oncorhynchus mykiss;Rana temporaria;Trachemys scripta;Apis mellifera;Calliphoridae;Oceanimonas doudoroffii;Citrus x paradisi;Sparus aurata;Methanococcus maripaludis,0.0254960110627
ki:2.7.1.11:4,ki,"('2.7.1.11', '4')",2.7.1.11,4,ATP,28,0.222076469676,Animalia:17;Plantae:6;Bacteria:3;Protozoa:1;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.11#INHIBITORS,0.220030838727,Animalia:117;Plantae:74;Bacteria:66;Archaea:11;Fungi:5;Protozoa:4,"640421;640421,640425,640487;640421,640455,640456,640487;640421,640462;640423;640427;640429;640432;640433;640436;640440;640446;640450;640455;640457;640458,640479;640475;640476;640477;640487;640495;640500;640507;672415",24,Enterobacter aerogenes;Escherichia coli;Mus musculus;Oryctolagus cuniculus;Rattus norvegicus;Lymantria dispar;Cucumis sativus;Camelus dromedarius;Chlorella pyrenoidosa;Platichthys flesus;Solanum lycopersicum;Ricinus communis;Spinacia oleracea;Tetrahymena pyriformis;Fasciola hepatica;Bombus atratus;Saccharomyces cerevisiae;Oncorhynchus mykiss;Rana temporaria;Trachemys scripta;Apis mellifera;Bos taurus;Ovis aries;Sus scrofa;Oceanimonas doudoroffii;Homo sapiens;Citrus x paradisi;Sparus aurata,0.00204563094855
ki:2.7.1.11:51,ki,"('2.7.1.11', '51')",2.7.1.11,51,phosphoenolpyruvate,17,0.361742680024,Plantae:7;Animalia:5;Bacteria:5,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.11#INHIBITORS,0.220030838727,Animalia:117;Plantae:74;Bacteria:66;Archaea:11;Fungi:5;Protozoa:4,"640421;640421,640463;640422;640431;640432;640433;640438;640440;640443;640445;640464;640465;640475;640495;640515;640518;672415",17,Mus musculus;Triticum aestivum;Rattus norvegicus;Chlorella pyrenoidosa;Platichthys flesus;Vigna mungo;Ricinus communis;Cucumis sativus;Spinacia oleracea;Escherichia coli;Bacillus licheniformis;Lactococcus lactis;Oncorhynchus mykiss;Oceanimonas doudoroffii;Thermotoga maritima;Musa acuminata;Sparus aurata,0.141711841297
ki:2.7.1.137:631,ki,"('2.7.1.137', '631')",2.7.1.137,631,Wortmannin,12,0.143417991528,Animalia:11;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.137#INHIBITORS,0.0658457782662,Animalia:100;Plantae:3,"640861;640907;640914;640914,691984;640917;640944;660688;661681;661892;707020;708568;723554",12,Homo sapiens;Cavia porcellus;Bos taurus;Sus scrofa;Drosophila melanogaster;Mus musculus;Rattus norvegicus;Mammalia;Gallus gallus;Xenopus laevis;Canis lupus familiaris;Oryza sativa,0.0775722132619
ki:2.7.1.137:770,ki,"('2.7.1.137', '770')",2.7.1.137,770,LY294002,10,0.250201211769,Animalia:8;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.137#INHIBITORS,0.0658457782662,Animalia:100;Plantae:3,640917;660688;661328;661498;661892;707877;708568;710020;710307;723554,10,Sus scrofa;Mus musculus;Homo sapiens;Rattus norvegicus;Mammalia;Xenopus laevis;Canis lupus familiaris;Gallus gallus;Arabidopsis thaliana;Oryza sativa,0.184355433503
ki:2.7.1.21:145,ki,"('2.7.1.21', '145')",2.7.1.21,145,dTTP,10,0.283696732389,Animalia:4;Bacteria:3;Fungi:1;Protozoa:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.21#INHIBITORS,0.18723437582,Animalia:158;Bacteria:30;Fungi:12;Protozoa:12;Plantae:7,"641117;641124;641125,641142,641143,641150;641130;641135;641141;641145;661751;663222;722671",10,Escherichia coli;Rattus norvegicus;Physarum polycephalum;Chlamydomonas reinhardtii;Mus musculus;Bos taurus;Homo sapiens;Mycoplasma pneumoniae;Ureaplasma urealyticum;Cryptosporidium parvum,0.0964623565687
ki:2.7.1.40:103,ki,"('2.7.1.40', '103')",2.7.1.40,103,L-alanine,10,0.162541486696,Animalia:9;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.40#INHIBITORS,0.205751333703,Bacteria:129;Animalia:103;Plantae:58;Fungi:6;Archaea:6;Protozoa:2,641514;641534;641535;641537;641540;641542;641547;641553;641555;641585,10,Dicentrarchus labrax;Periplaneta americana;Tenebrio molitor;Anguilla rostrata;Mytilus galloprovincialis;Nautilus pompilius;Oncorhynchus kisutch;Homo sapiens;Rattus norvegicus;Halobacterium salinarum,-0.0432098470069
ki:2.7.1.40:4,ki,"('2.7.1.40', '4')",2.7.1.40,4,ATP,26,0.266758349352,Animalia:9;Bacteria:8;Plantae:7;Fungi:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.40#INHIBITORS,0.205751333703,Bacteria:129;Animalia:103;Plantae:58;Fungi:6;Archaea:6;Protozoa:2,"641514;641516;641519;641523;641524;641526;641539;641542;641547;641549;641552,641553,660823;641555;641556;641586;641587;641607;641610;641611;641613;661513;661672;662143;676434;676689;721624;723044",26,Dicentrarchus labrax;Chlamydomonas reinhardtii;Brochothrix thermosphacta;Cicer arietinum;Bos taurus;Pigeon;Pelophylax ridibundus;Nautilus pompilius;Oncorhynchus kisutch;Bacillus licheniformis;Rattus norvegicus;Lactococcus lactis;Mycobacterium smegmatis;Rhodosporidium toruloides;Lethenteron camtschaticum;Sporosarcina psychrophila;Vigna radiata;Chlamydia trachomatis;Homo sapiens;Takifugu rubripes;Entamoeba histolytica;Thermotoga maritima;Arabidopsis thaliana;Ricinus communis;Staphylococcus aureus;Brassica juncea,0.0610070156489
ki:2.7.1.90:16,ki,"('2.7.1.90', '16')",2.7.1.90,16,phosphate,12,0.18869524632,Plantae:10;Bacteria:1;Protozoa:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.1.90#INHIBITORS,0.242675901623,Plantae:82;Bacteria:36;Protozoa:16;Archaea:2,640438;642074;642078;642081;642086;642090;642091;642095;642097;642098;642106;642115,12,Vigna radiata;Entamoeba histolytica;Cucumis sativus;Propionibacterium freudenreichii;Ricinus communis;Glycine max;Phaseolus vulgaris;Oryza sativa;Triticum aestivum;Solanum tuberosum;Brassica nigra;Spinacia oleracea,-0.0539806553034
ki:2.7.2.4:134,ki,"('2.7.2.4', '134')",2.7.2.4,134,L-lysine,29,0.309688144871,Bacteria:20;Plantae:9,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.2.4#INHIBITORS,0.194531712799,Bacteria:68;Plantae:38;Archaea:2;Fungi:1,"390201;642308,642312,642314;642313,642314;642314;642314,642319,642339;642315;642316;642318;642321;642322;642323;642324;642325,642326;642330;642335;670165;677561;677773;680701;722530;723377",21,Amycolatopsis mediterranei;Bacillus cereus;Bacillus licheniformis;Corynebacterium glutamicum;Geobacillus stearothermophilus;Paenibacillus polymyxa;Pseudomonas aeruginosa;Pseudomonas fluorescens;Pseudomonas putida;Rhodobacter capsulatus;Rhodobacter sphaeroides;Rhodocyclus tenuis;Triticum aestivum;Lemna minor;Brevibacillus brevis;Hordeum vulgare;Streptococcus mutans;Spinacia oleracea;Daucus carota;Zea mays;Arabidopsis thaliana;Oryza sativa;Bacillus subtilis;Lactobacillus plantarum;Sorghum bicolor;Streptomyces albulus;Escherichia coli;Pseudomonas stutzeri;Xenorhabdus bovienii,0.115156432072
ki:2.7.2.4:250,ki,"('2.7.2.4', '250')",2.7.2.4,250,L-threonine,22,0.230745165272,Bacteria:14;Plantae:6;Archaea:1;Fungi:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.2.4#INHIBITORS,0.194531712799,Bacteria:68;Plantae:38;Archaea:2;Fungi:1,"390201;642308,642312,642314;642313;642314;642314,642332,660862;642315;642316;642320,660868;642323;642327;642340,642341;654640;670165;677365;677561;677773;681433;722530",18,Amycolatopsis mediterranei;Pseudomonas fluorescens;Bacillus subtilis;Geobacillus stearothermophilus;Paenibacillus polymyxa;Pseudomonas aeruginosa;Pseudomonas putida;Rhodocyclus tenuis;Triticum aestivum;Lemna minor;Spinacia oleracea;Zea mays;Arabidopsis thaliana;Escherichia coli;Saccharomyces cerevisiae;Thermus thermophilus;Lactobacillus plantarum;Methanocaldococcus jannaschii;Sorghum bicolor;Streptomyces albulus;Corynebacterium glutamicum;Pseudomonas stutzeri,0.0362134524728
ki:2.7.4.22:65,ki,"('2.7.4.22', '65')",2.7.4.22,65,UTP,12,0.143417991528,Bacteria:11;Archaea:1,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.4.22#INHIBITORS,0.135594686521,Bacteria:60;Archaea:5,663945;664816;665362;672233;674896;692284;693652;721458;723289;723708,10,Streptococcus pneumoniae;Bacillus subtilis;Escherichia coli;Sulfolobus solfataricus;Enterococcus faecalis;Haemophilus influenzae;Neisseria meningitidis;Ureaplasma parvum;Bacillus anthracis;Helicobacter pylori;Mycobacterium tuberculosis;Staphylococcus aureus,0.00782330500716
ki:2.7.4.3:30,ki,"('2.7.4.3', '30')",2.7.4.3,30,AMP,12,0.337134754902,Bacteria:6;Animalia:4;Archaea:2,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.4.3#INHIBITORS,0.211448300817,Animalia:66;Bacteria:45;Archaea:8;Fungi:4;Plantae:2,"642567;642568;642572;642578;642581;642586;642588;642589,642605;642614;725225",10,Homo sapiens;Sus scrofa;Bos taurus;Starkeya novella;Rhodobacter sphaeroides;Rhodopseudomonas palustris;Escherichia coli;Geobacillus stearothermophilus;Halothiobacillus neapolitanus;Oryctolagus cuniculus;Sulfolobus solfataricus;Methanococcus voltae,0.125686454086
ki:2.7.7.27:16,ki,"('2.7.7.27', '16')",2.7.7.27,16,phosphate,47,0.343738894677,Bacteria:26;Plantae:21,http://www.brenda-enzymes.org/enzyme.php?ecno=2.7.7.27#INHIBITORS,0.344392639623,Bacteria:164;Plantae:136,"488901;488901,643135;643113;643115;643117;643119,643120;643122;643126;643130;643142;643144;643153;723485",13,Aeromonas hydrophila;Edwardsiella tarda;Hafnia alvei;Klebsiella pneumoniae;Serratia marcescens;Shigella dysenteriae;Hordeum vulgare;Solanum tuberosum;Spinacia oleracea;Zea mays;Chlamydomonas reinhardtii;Escherichia coli;Mycobacterium smegmatis;Serratia liquefaciens;Citrobacter freundii;Enterobacter aerogenes;Enterobacter cloacae;Aeromonas caviae;Allochromatium vinosum;Arachis hypogaea;Arthrobacter viscosus;Beta vulgaris;Chlorella pyrenoidosa;Chlorella vulgaris;Chlorobaculum thiosulfatiphilum;Clostridium pasteurianum;Daucus carota;Lactuca sativa;Micrococcus luteus;Nicotiana tabacum;Oryza sativa;Persea americana;Phaeospirillum molischianum;Phaseolus vulgaris;Pisum sativum;Rhodobacter capsulatus;Rhodobacter sphaeroides;Rhodocyclus tenuis;Rhodomicrobium vannielii;Rhodopseudomonas palustris;Rhodospirillum rubrum;Rubrivivax gelatinosus;Solanum lycopersicum;Triticum aestivum;Vigna radiata var. radiata;Arabidopsis thaliana;Lens culinaris,-0.000653744945814
ki:3.1.1.1:228,ki,"('3.1.1.1', '228')",3.1.1.1,228,Paraoxon,18,0.310613331223,Animalia:9;Archaea:3;Bacteria:3;Plantae:3,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.1#INHIBITORS,0.233834311451,Animalia:496;Bacteria:119;Archaea:99;Plantae:22,"170981;170988;170994;171000;171004;171017;171022;171028;651506;670552;678016;678538;680782;682315;691075;692111;722036,723677;725745",18,Bombyx mori;Triticum aestivum;Rattus norvegicus;Sus scrofa;Myzus persicae;Caenorhabditis elegans;Alicyclobacillus acidocaldarius;Culex quinquefasciatus;Reticulitermes flavipes;Alopecurus myosuroides;Sulfolobus acidocaldarius;Bacillus subtilis;Mycobacterium tuberculosis;Arabidopsis thaliana;Homo sapiens;Lumbricus terrestris;Archaeoglobus fulgidus;Sulfolobus solfataricus,0.0767790197726
ki:3.1.1.1:248,ki,"('3.1.1.1', '248')",3.1.1.1,248,PMSF,17,0.301424443003,Animalia:7;Bacteria:6;Archaea:3;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.1#INHIBITORS,0.233834311451,Animalia:496;Bacteria:119;Archaea:99;Plantae:22,"170979,170991;170986;170988;171000;171017;171020;171021;171022;171025;171026,171031;171029;650921;651506;652627;719146;725749;726707",17,Oryctolagus cuniculus;Triticum aestivum;Homo sapiens;Sus scrofa;Caenorhabditis elegans;Ovis aries;Geobacillus stearothermophilus;Alicyclobacillus acidocaldarius;Rattus norvegicus;Arthrobacter globiformis;Pseudomonas fluorescens;Acinetobacter lwoffii;Reticulitermes flavipes;Lactobacillus casei;Sulfolobus solfataricus;Sulfolobus tokodaii;Pyrobaculum calidifontis,0.067590131552
ki:3.1.1.1:257,ki,"('3.1.1.1', '257')",3.1.1.1,257,phenylmethylsulfonyl fluoride,13,0.326526652271,Bacteria:5;Archaea:4;Animalia:2;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.1#INHIBITORS,0.233834311451,Animalia:496;Bacteria:119;Archaea:99;Plantae:22,649395;661545;669545;670552;670779;677751;679382;679986;691328;692927;693444;721413;727066,13,Bacillus circulans;Pseudomonas aeruginosa;Sulfolobus shibatae;Alopecurus myosuroides;Bacillus subtilis;Thermotoga maritima;Arthrobacter nitroguajacolicus;Sulfolobus solfataricus;Rattus norvegicus;Sus scrofa;Triticum aestivum;Archaeoglobus fulgidus;Haloarcula marismortui,0.0926923408205
ki:3.1.1.1:33,ki,"('3.1.1.1', '33')",3.1.1.1,33,Hg2+,12,0.274653072167,Bacteria:8;Animalia:3;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.1#INHIBITORS,0.233834311451,Animalia:496;Bacteria:119;Archaea:99;Plantae:22,"170978,171009;170985;170987;170988;171008;171020;171021;171028;650921;653765;667247;679382",12,Arthrobacter viscosus;Escherichia coli;Triticum aestivum;Bacillus subtilis;Homo sapiens;Ovis aries;Geobacillus stearothermophilus;Culex quinquefasciatus;Acinetobacter lwoffii;Pseudomonas fluorescens;Lactobacillus casei;Arthrobacter nitroguajacolicus,0.0408187607161
ki:3.1.1.3:11,ki,"('3.1.1.3', '11')",3.1.1.3,11,Mn2+,13,0.178653683236,Bacteria:11;Fungi:1;Plantae:1,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.3#INHIBITORS,0.205063538931,Bacteria:263;Animalia:125;Plantae:28;Fungi:27;Archaea:1,650524;650654;651018;652958;665729;666830;682616;692254;694933;713783;715206;716567;80829,13,Pseudomonas mendocina;Pseudomonas aeruginosa;Geobacillus thermoleovorans;Geobacillus stearothermophilus;Mycobacterium tuberculosis;Bacillus coagulans;Bacillus cereus;Pseudoalteromonas haloplanktis;Serratia marcescens;Acinetobacter baylyi;Candida albicans;Olea europaea;Pseudomonas fragi,-0.0264098556949
ki:3.1.1.3:124,ki,"('3.1.1.3', '124')",3.1.1.3,124,SDS,16,0.245207313253,Bacteria:12;Fungi:2;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.3#INHIBITORS,0.205063538931,Bacteria:263;Animalia:125;Plantae:28;Fungi:27;Archaea:1,650524;650654;653521;653738;653758;665288;665729;677300;680528;681482;682616;692254;713783;715206;716527;729064,16,Pseudomonas mendocina;Pseudomonas aeruginosa;Oryza sativa;Geobacillus stearothermophilus;Geobacillus thermocatenulatus;Candida rugosa;Mycobacterium tuberculosis;Bacillus subtilis;Bacillus megaterium;Serratia marcescens;Bacillus cereus;Pseudoalteromonas haloplanktis;Acinetobacter baylyi;Candida albicans;Carica papaya;Cupriavidus necator,0.0401437743217
ki:3.1.1.3:14,ki,"('3.1.1.3', '14')",3.1.1.3,14,Zn2+,20,0.267272850848,Bacteria:14;Animalia:4;Plantae:2,http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.1.3#INHIBITORS,0.205063538931,Bacteria:263;Animalia:125;Plantae:28;Fungi:27;Archaea:1,650654;650660;651018;652958;653521;665729;666830;677300;680528;681482;682616;690670;692424;713783;715063;715393;716567;729064;80829,19,Pseudomonas aeruginosa;Cephaloleia presignis;Geobacillus thermoleovorans;Geobacillus stearothermophilus;Oryza sativa;Mycobacterium tuberculosis;Bacillus coagulans;Bacillus subtilis;Bacillus megaterium;Serratia marcescens;Bacillus cereus;Liza parsia;Bacillus licheniformis;Acinetobacter baylyi;Macruronus novaezelandiae;Oncorhynchus tshawytscha;Pseudomonas mendocina;Olea europaea;Cupriavidus necator;Pseudomonas fragi,0.0622093119165
