,EC_number,Compound,Organism_inh,Organism_act
2420,2.7.1.1,"alpha,alpha'-Trehalose 6-phosphate",1.0,0.0
2421,2.7.1.1,"beta-D-Fructose 1,6-bisphosphate",2.0,0.0
2422,2.7.1.105,2-Phosphoglycolate,2.0,0.0
2423,2.7.1.105,ADP,1.0,0.0
2424,2.7.1.105,ATP,2.0,2.0
2425,2.7.1.105,DL-Glycerol 1-phosphate,5.0,0.0
2426,2.7.1.105,Diphosphate,3.0,0.0
2427,2.7.1.105,Glycerate 3-phosphate,1.0,0.0
2428,2.7.1.105,Glycerone phosphate,4.0,0.0
2429,2.7.1.105,Phosphoenolpyruvate,16.0,0.0
2430,2.7.1.105,beta-D-Fructose 6-phosphate,13.0,0.0
2431,2.7.1.107,ADP,1.0,0.0
2432,2.7.1.107,ATP,1.0,0.0
2433,2.7.1.107,CDP,1.0,0.0
2434,2.7.1.107,GDP,1.0,0.0
2435,2.7.1.107,GTP,1.0,0.0
2436,2.7.1.107,IDP,1.0,0.0
2437,2.7.1.107,ITP,1.0,0.0
2438,2.7.1.107,Orthophosphate,1.0,0.0
2439,2.7.1.107,UDP,1.0,0.0
2440,2.7.1.107,UTP,1.0,0.0
2441,2.7.1.108,CDP,1.0,0.0
2442,2.7.1.11,2-Oxoglutarate,2.0,0.0
2443,2.7.1.11,ADP,10.0,20.0
2444,2.7.1.11,ATP,34.0,0.0
2445,2.7.1.11,Calcium cation,1.0,0.0
2446,2.7.1.11,Diphosphate,1.0,0.0
2447,2.7.1.11,Glycerate 3-phosphate,3.0,0.0
2448,2.7.1.11,Isocitrate,2.0,0.0
2449,2.7.1.11,Malate,2.0,0.0
2450,2.7.1.11,Phosphoenolpyruvate,5.0,0.0
2451,2.7.1.11,Sodium chloride,1.0,0.0
2452,2.7.1.11,Succinate,2.0,0.0
2453,2.7.1.11,cis-Aconitate,1.0,0.0
2454,2.7.1.113,2'-Deoxyinosine 5'-phosphate,3.0,0.0
2455,2.7.1.113,ADP,1.0,0.0
2456,2.7.1.113,Deoxyadenosine,1.0,0.0
2457,2.7.1.113,Deoxyinosine,1.0,0.0
2458,2.7.1.113,UDP,2.0,1.0
2459,2.7.1.113,dAMP,1.0,0.0
2460,2.7.1.113,dATP,1.0,0.0
2461,2.7.1.113,dGDP,3.0,0.0
2462,2.7.1.113,dGTP,8.0,0.0
2463,2.7.1.113,dITP,2.0,0.0
2464,2.7.1.113,dTDP,3.0,1.0
2465,2.7.1.127,Ellagic acid,2.0,0.0
2466,2.7.1.127,Epigallocatechin 3-gallate,1.0,0.0
2467,2.7.1.127,Gossypol,2.0,0.0
2468,2.7.1.127,Quercetin,2.0,0.0
2469,2.7.1.134,"1D-myo-Inositol 1,3,4,5,6-pentakisphosphate",1.0,0.0
2470,2.7.1.134,"1D-myo-Inositol 1,3,4,6-tetrakisphosphate",1.0,0.0
2471,2.7.1.137,LY 294002,1.0,0.0
2472,2.7.1.137,Staurosporine,1.0,0.0
2473,2.7.1.145,Deoxyadenosine,2.0,0.0
2474,2.7.1.145,Deoxycytidine,1.0,0.0
2475,2.7.1.145,Deoxyguanosine,2.0,0.0
2476,2.7.1.145,Diphosphate,1.0,0.0
2477,2.7.1.145,Triphosphate,1.0,0.0
2478,2.7.1.146,ADP,1.0,0.0
2479,2.7.1.146,AMP,1.0,0.0
2480,2.7.1.146,D-Fructose 6-phosphate,1.0,0.0
2481,2.7.1.146,D-Glucose,1.0,0.0
2482,2.7.1.147,ADP,4.0,0.0
2483,2.7.1.147,AMP,2.0,0.0
2484,2.7.1.147,D-Fructose 6-phosphate,1.0,0.0
2485,2.7.1.147,D-Glucose,1.0,0.0
2486,2.7.1.15,ATP,3.0,0.0
2487,2.7.1.15,D-Ribose 5-phosphate,2.0,0.0
2488,2.7.1.157,N-Acetyl-D-galactosamine,1.0,0.0
2489,2.7.1.159,"1D-myo-Inositol 1,3,4,6-tetrakisphosphate",1.0,0.0
2490,2.7.1.159,"1D-myo-Inositol 1,4,5,6-tetrakisphosphate",1.0,0.0
2491,2.7.1.165,ATP,1.0,0.0
2492,2.7.1.165,D-Glycerate,1.0,0.0
2493,2.7.1.169,(R)-Pantoate,1.0,0.0
2494,2.7.1.170,ADP,1.0,0.0
2495,2.7.1.19,6-Phospho-D-gluconate,10.0,0.0
2496,2.7.1.19,"D-Ribulose 1,5-bisphosphate",2.0,0.0
2497,2.7.1.19,Glyceraldehyde,1.0,0.0
2498,2.7.1.20,ADP,3.0,0.0
2499,2.7.1.20,AMP,6.0,1.0
2500,2.7.1.20,Adenosine,5.0,0.0
2501,2.7.1.20,Bis(5'-adenosyl) pentaphosphate,3.0,0.0
2502,2.7.1.20,Cordycepin,1.0,0.0
2503,2.7.1.20,Deoxyadenosine,1.0,0.0
2504,2.7.1.20,Etidronic acid,1.0,0.0
2505,2.7.1.20,"P1,P3-Bis(5'-adenosyl) triphosphate",1.0,0.0
2506,2.7.1.20,"P1,P4-Bis(5'-adenosyl)tetraphosphate",4.0,0.0
2507,2.7.1.20,Phosphonoacetate,1.0,0.0
2508,2.7.1.21,5-Fluorodeoxyuridine,3.0,0.0
2509,2.7.1.21,ADP,2.0,0.0
2510,2.7.1.21,ATP,1.0,2.0
2511,2.7.1.21,Acyclovir,1.0,0.0
2512,2.7.1.21,Caffeine,1.0,0.0
2513,2.7.1.21,Deoxycytidine,3.0,0.0
2514,2.7.1.21,Deoxyuridine,3.0,0.0
2515,2.7.1.21,Magnesium cation,1.0,0.0
2516,2.7.1.21,dCTP,5.0,2.0
2517,2.7.1.21,dTDP,1.0,0.0
2518,2.7.1.23,NADH,6.0,0.0
2519,2.7.1.23,NADPH,5.0,0.0
2520,2.7.1.23,Trifluoperazine,1.0,0.0
2521,2.7.1.25,Adenylyl sulfate,15.0,0.0
2522,2.7.1.26,FMN,2.0,0.0
2523,2.7.1.26,Lumichrome,1.0,0.0
2524,2.7.1.26,Riboflavin,11.0,0.0
2525,2.7.1.28,ADP,1.0,0.0
2526,2.7.1.28,ATP,1.0,0.0
2527,2.7.1.29,ADP,2.0,0.0
2528,2.7.1.29,Glyceraldehyde,2.0,0.0
2529,2.7.1.3,ADP,2.0,0.0
2530,2.7.1.30,Propan-2-ol,1.0,2.0
2531,2.7.1.30,Propane-1-ol,1.0,2.0
2532,2.7.1.32,Choline phosphate,1.0,0.0
2533,2.7.1.32,Ethanolamine,2.0,0.0
2534,2.7.1.33,CoA,3.0,1.0
2535,2.7.1.33,Pantetheine 4'-phosphate,1.0,0.0
2536,2.7.1.33,Pantothenol,1.0,0.0
2537,2.7.1.35,AMP,1.0,0.0
2538,2.7.1.35,Magnesium cation,1.0,0.0
2539,2.7.1.35,Theophylline,1.0,0.0
2540,2.7.1.35,Zinc cation,1.0,0.0
2541,2.7.1.36,ADP,1.0,0.0
2542,2.7.1.36,Dimethylallyl diphosphate,1.0,0.0
2543,2.7.1.36,Geranyl diphosphate,7.0,0.0
2544,2.7.1.36,Geranylgeranyl diphosphate,5.0,0.0
2545,2.7.1.36,Isopentenyl diphosphate,1.0,0.0
2546,2.7.1.36,Phytyl diphosphate,4.0,0.0
2547,2.7.1.36,"trans,trans-Farnesyl diphosphate",21.0,0.0
2548,2.7.1.39,(S)-2-Aminobutanoate,1.0,0.0
2549,2.7.1.39,L-Glutamate,1.0,0.0
2550,2.7.1.39,L-Ornithine,1.0,0.0
2551,2.7.1.39,O-Phospho-L-serine,1.0,0.0
2552,2.7.1.4,ADP,3.0,0.0
2553,2.7.1.4,D-Fructose,11.0,0.0
2554,2.7.1.4,D-Fructose 6-phosphate,1.0,0.0
2555,2.7.1.40,AMP,1.0,7.0
2556,2.7.1.40,L-Glutamate,4.0,1.0
2557,2.7.1.40,Oxalate,3.0,0.0
2558,2.7.1.43,UDP-glucuronate,1.0,0.0
2559,2.7.1.48,UTP,1.0,0.0
2560,2.7.1.49,4-Amino-5-hydroxymethyl-2-methylpyrimidine,1.0,0.0
2561,2.7.1.49,Pyridoxine,1.0,0.0
2562,2.7.1.52,GDP-L-fucose,1.0,0.0
2563,2.7.1.56,ADP,2.0,0.0
2564,2.7.1.56,"beta-D-Fructose 1,6-bisphosphate",1.0,0.0
2565,2.7.1.59,ADP,1.0,0.0
2566,2.7.1.59,D-Glucosamine,1.0,0.0
2567,2.7.1.59,D-Glucose,1.0,0.0
2568,2.7.1.59,N-Acetyl-D-glucosamine,1.0,0.0
2569,2.7.1.6,ADP,4.0,0.0
2570,2.7.1.6,AMP,1.0,0.0
2571,2.7.1.6,D-Galactose 1-phosphate,2.0,0.0
2572,2.7.1.6,Genistein,1.0,0.0
2573,2.7.1.6,Magnesium cation,1.0,0.0
2574,2.7.1.6,Quercetin,1.0,0.0
2575,2.7.1.6,alpha-D-Galactose 1-phosphate,3.0,0.0
2576,2.7.1.63,ADP,1.0,0.0
2577,2.7.1.63,AMP,1.0,0.0
2578,2.7.1.63,ATP,2.0,0.0
2579,2.7.1.67,"3',5'-Cyclic AMP",2.0,0.0
2580,2.7.1.67,ADP,4.0,0.0
2581,2.7.1.67,AMP,5.0,0.0
2582,2.7.1.67,ATP,1.0,0.0
2583,2.7.1.67,Adenosine,12.0,0.0
2584,2.7.1.67,Adenosine 5-O-(3-thiotriphophate),1.0,0.0
2585,2.7.1.67,CDP,1.0,0.0
2586,2.7.1.67,Calcium cation,4.0,0.0
2587,2.7.1.67,GTP,2.0,0.0
2588,2.7.1.67,UTP,1.0,0.0
2589,2.7.1.67,dATP,1.0,0.0
2590,2.7.1.68,Quercetin,1.0,0.0
2591,2.7.1.69,D-Mannose,1.0,0.0
2592,2.7.1.7,D-Glucose,1.0,0.0
2593,2.7.1.7,D-Mannosamine,2.0,0.0
2594,2.7.1.7,D-Mannose 6-phosphate,2.0,0.0
2595,2.7.1.7,N-Acetyl-D-mannosamine,1.0,0.0
2596,2.7.1.72,ADP,1.0,0.0
2597,2.7.1.72,ATP,1.0,0.0
2598,2.7.1.72,Adenosine,1.0,0.0
2599,2.7.1.72,Diphosphate,1.0,0.0
2600,2.7.1.74,UDP,2.0,1.0
2601,2.7.1.74,dCMP,2.0,0.0
2602,2.7.1.74,dCTP,8.0,0.0
2603,2.7.1.76,Adenosine,2.0,0.0
2604,2.7.1.76,Deoxyadenosine,1.0,0.0
2605,2.7.1.76,Diphosphate,2.0,0.0
2606,2.7.1.76,dATP,2.0,0.0
2607,2.7.1.78,ADP,1.0,0.0
2608,2.7.1.78,Diphosphate,2.0,0.0
2609,2.7.1.78,Sulfate,3.0,0.0
2610,2.7.1.90,Alendronic acid,1.0,0.0
2611,2.7.1.90,D-Arabinose 5-phosphate,1.0,0.0
2612,2.7.1.90,D-Fructose 6-phosphate,4.0,0.0
2613,2.7.1.90,D-Tagatose 6-phosphate,2.0,0.0
2614,2.7.1.90,Diphosphate,3.0,0.0
2615,2.7.1.90,Etidronic acid,1.0,0.0
2616,2.7.1.90,Glycerate 3-phosphate,1.0,0.0
2617,2.7.1.90,Hydrochloric acid,3.0,0.0
2618,2.7.1.90,Orthophosphate,8.0,1.0
2619,2.7.1.90,Risedronic acid,1.0,0.0
2620,2.7.1.90,Sorbitol 6-phosphate,2.0,0.0
2621,2.7.1.90,"beta-D-Fructose 1,6-bisphosphate",2.0,1.0
2622,2.7.1.91,ADP,1.0,0.0
2623,2.7.1.91,"N,N-Dimethylsphing-4-enine",2.0,0.0
2624,2.7.10.2,Adenosine 5-O-(3-thiotriphophate),1.0,0.0
2625,2.7.11.1,ATP,1.0,0.0
2626,2.7.11.1,Apigenin,1.0,0.0
2627,2.7.11.1,Ellagic acid,1.0,0.0
2628,2.7.11.1,Emodin,1.0,0.0
2629,2.7.11.1,Staurosporine,1.0,0.0
2630,2.7.11.14,5'-Deoxyadenosine,1.0,0.0
2631,2.7.11.14,ADP,2.0,0.0
2632,2.7.11.14,AMP,2.0,0.0
2633,2.7.11.14,Adenine,1.0,0.0
2634,2.7.11.14,Adenosine,2.0,0.0
2635,2.7.11.14,Adenosine 5-O-(3-thiodiphophate),1.0,0.0
2636,2.7.11.14,Cordycepin,1.0,0.0
2637,2.7.11.14,Diphosphate,1.0,0.0
2638,2.7.11.14,Triphosphate,1.0,0.0
2639,2.7.11.19,Staurosporine,1.0,0.0
2640,2.7.11.2,ADP,6.0,0.0
2641,2.7.11.2,Dichloroacetate,5.0,0.0
2642,2.7.11.2,Orthophosphate,1.0,1.0
2643,2.7.11.2,Pyruvate,2.0,3.0
2644,2.7.11.21,LY 294002,4.0,0.0
2645,2.7.11.21,Staurosporine,4.0,0.0
2646,2.7.11.24,ADP,1.0,0.0
2647,2.7.11.24,"beta,gamma-Methylene ATP",2.0,0.0
2648,2.7.11.27,DL-Glycerol 1-phosphate,1.0,0.0
2649,2.7.11.27,Glycerol 2-phosphate,2.0,0.0
2650,2.7.11.27,alpha-D-Glucose 6-phosphate,1.0,0.0
2651,2.7.11.3,Sodium fluoride,1.0,0.0
2652,2.7.11.32,Oxalate,1.0,0.0
2653,2.7.11.32,Pyruvate,2.0,0.0
2654,2.7.11.4,4-Methyl-2-oxopentanoate,3.0,0.0
2655,2.7.11.4,ADP,4.0,0.0
2656,2.7.11.4,Diphosphate,1.0,0.0
2657,2.7.11.5,ADP,1.0,0.0
2658,2.7.11.5,AMP,4.0,0.0
2659,2.7.11.5,Glycerate 3-phosphate,3.0,0.0
2660,2.7.11.5,Isocitrate,4.0,0.0
2661,2.7.11.5,NADPH,4.0,0.0
2662,2.7.11.5,Phosphoenolpyruvate,1.0,0.0
2663,2.7.11.5,Pyruvate,3.0,0.0
2664,2.7.12.1,Genistein,6.0,0.0
2665,2.7.12.1,Staurosporine,10.0,0.0
2666,2.7.2.1,ADP,2.0,0.0
2667,2.7.2.1,Acetate,1.0,0.0
2668,2.7.2.1,Adenosine 5-O-(3-thiotriphophate),1.0,0.0
2669,2.7.2.1,Magnesium chloride,2.0,0.0
2670,2.7.2.1,Sodium fluoride,1.0,0.0
2671,2.7.2.11,ADP,1.0,0.0
2672,2.7.2.2,ATP,2.0,0.0
2673,2.7.2.2,Phosphonoacetate,2.0,0.0
2674,2.7.2.3,"2,3-Bisphosphoglycerate",11.0,0.0
2675,2.7.2.3,2-Phosphoglycolate,1.0,0.0
2676,2.7.2.3,ADP,5.0,0.0
2677,2.7.2.3,AMP,3.0,0.0
2678,2.7.2.3,Cytosine arabinoside,1.0,0.0
2679,2.7.2.3,DL-Glycerol 1-phosphate,1.0,0.0
2680,2.7.2.3,Diphosphate,7.0,0.0
2681,2.7.2.3,Gemcitabine,1.0,0.0
2682,2.7.2.3,Glycerol 2-phosphate,1.0,0.0
2683,2.7.2.3,Orthophosphate,1.0,0.0
2684,2.7.2.3,Salicylate,2.0,0.0
2685,2.7.2.3,Sulfate,1.0,2.0
2686,2.7.2.3,Zalcitabine,1.0,0.0
2687,2.7.2.4,(S)-2-Aminobutanoate,1.0,0.0
2688,2.7.2.4,(S)-Malate,1.0,0.0
2689,2.7.2.4,L-Glutamate,1.0,0.0
2690,2.7.2.4,L-Lysine,3.0,2.0
2691,2.7.2.4,Malonate,1.0,0.0
2692,2.7.2.4,Succinate,1.0,0.0
2693,2.7.2.8,ATP,2.0,1.0
2694,2.7.2.8,L-Arginine,1.0,1.0
2695,2.7.3.2,SDS,1.0,0.0
2696,2.7.3.3,Calcium cation,1.0,0.0
2697,2.7.3.3,D-Arginine,1.0,0.0
2698,2.7.3.3,Fe2+,1.0,0.0
2699,2.7.3.3,NADH,1.0,0.0
2700,2.7.3.3,Sulfate,1.0,0.0
2701,2.7.3.3,Zinc cation,1.0,0.0
2702,2.7.3.9,Cobalt ion,1.0,1.0
2703,2.7.3.9,Oxalate,1.0,0.0
2704,2.7.4.1,ADP,1.0,0.0
2705,2.7.4.1,AMP,1.0,0.0
2706,2.7.4.1,GMP,3.0,0.0
2707,2.7.4.1,IMP,1.0,0.0
2708,2.7.4.10,ADP,1.0,0.0
2709,2.7.4.10,AMP,1.0,0.0
2710,2.7.4.10,ATP,2.0,0.0
2711,2.7.4.10,Bis(5'-adenosyl) pentaphosphate,1.0,0.0
2712,2.7.4.10,GDP,1.0,0.0
2713,2.7.4.10,GTP,1.0,0.0
2714,2.7.4.12,5-Hydroxymethyldeoxycytidylate,2.0,0.0
2715,2.7.4.13,dAMP,1.0,0.0
2716,2.7.4.13,dCMP,1.0,0.0
2717,2.7.4.14,Bis(5'-adenosyl) pentaphosphate,2.0,0.0
2718,2.7.4.14,CMP,2.0,0.0
2719,2.7.4.14,UMP,2.0,0.0
2720,2.7.4.2,4-Coumarate,1.0,0.0
2721,2.7.4.2,ADP,1.0,0.0
2722,2.7.4.2,ATP,1.0,0.0
2723,2.7.4.2,Cinnamic acid,1.0,0.0
2724,2.7.4.2,Isoferulic acid,1.0,0.0
2725,2.7.4.22,ATP,1.0,0.0
2726,2.7.4.22,GTP,2.0,19.0
2727,2.7.4.22,UMP,11.0,0.0
2728,2.7.4.22,UTP,6.0,0.0
2729,2.7.4.27,ADP,1.0,0.0
2730,2.7.4.27,AMP,1.0,0.0
2731,2.7.4.27,Adenosine 5-O-(3-thiodiphophate),1.0,0.0
2732,2.7.4.27,Diphosphate,1.0,0.0
2733,2.7.4.27,Pyridoxal phosphate,1.0,0.0
2734,2.7.4.3,ADP,1.0,1.0
2735,2.7.4.3,AMP,1.0,1.0
2736,2.7.4.3,Bis(5'-adenosyl) pentaphosphate,3.0,0.0
2737,2.7.4.6,GDP,1.0,0.0
2738,2.7.4.8,GDP,1.0,0.0
2739,2.7.4.8,GMP,4.0,0.0
2740,2.7.4.9,5-Fluorodeoxyuridine,3.0,0.0
2741,2.7.4.9,ADP,3.0,0.0
2742,2.7.4.9,Bis(5'-adenosyl) pentaphosphate,1.0,0.0
2743,2.7.4.9,Deoxyuridine,2.0,0.0
2744,2.7.4.9,Zidovudine,1.0,0.0
2745,2.7.4.9,dTDP,3.0,0.0
2746,2.7.6.1,5-Phospho-alpha-D-ribose 1-diphosphate,7.0,0.0
2747,2.7.6.1,ADP,11.0,0.0
2748,2.7.6.1,AMP,10.0,0.0
2749,2.7.6.1,ATP,3.0,0.0
2750,2.7.6.1,Calcium cation,4.0,0.0
2751,2.7.6.1,D-Ribose 5-phosphate,3.0,0.0
2752,2.7.6.1,GDP,1.0,0.0
2753,2.7.6.1,"alpha,beta-Methylene ATP",2.0,0.0
2754,2.7.6.1,dTDP,2.0,0.0
2755,2.7.6.2,Diphosphate,1.0,0.0
2756,2.7.6.3,"2-Amino-7,8-dihydro-4-hydroxy-6-(diphosphooxymethyl)pteridine",2.0,0.0
2757,2.7.6.3,AMP,2.0,0.0
2758,2.7.6.3,Sulfadoxine,1.0,0.0
2759,2.7.6.3,"alpha,beta-Methylene ATP",1.0,0.0
2760,2.7.7.1,Diphosphate,6.0,0.0
2761,2.7.7.13,D-Mannose 1-phosphate,1.0,0.0
2762,2.7.7.13,Diphosphate,1.0,0.0
2763,2.7.7.13,GDP-glucose,1.0,0.0
2764,2.7.7.13,GDP-mannose,6.0,0.0
2765,2.7.7.13,Magnesium cation,1.0,1.0
2766,2.7.7.14,Choline phosphate,1.0,0.0
2767,2.7.7.14,Phosphodimethylethanolamine,1.0,0.0
2768,2.7.7.15,Ethanolamine phosphate,1.0,0.0
2769,2.7.7.15,Phosphodimethylethanolamine,1.0,0.0
2770,2.7.7.2,ATP,5.0,1.0
2771,2.7.7.2,D-Glucose 6-phosphate,1.0,0.0
2772,2.7.7.2,Diphosphate,3.0,0.0
2773,2.7.7.2,FAD,2.0,0.0
2774,2.7.7.2,FMN,4.0,0.0
2775,2.7.7.2,GDP,1.0,0.0
2776,2.7.7.2,GTP,1.0,0.0
2777,2.7.7.23,Luteolin,2.0,0.0
2778,2.7.7.23,UMP,1.0,0.0
2779,2.7.7.27,ADP,19.0,17.0
2780,2.7.7.27,AMP,31.0,19.0
2781,2.7.7.27,Diphosphate,1.0,0.0
2782,2.7.7.27,Orthophosphate,73.0,2.0
2783,2.7.7.27,Phosphoenolpyruvate,2.0,65.0
2784,2.7.7.28,D-Mannose 1-phosphate,2.0,0.0
2785,2.7.7.28,GDP-mannose,2.0,0.0
2786,2.7.7.3,CoA,4.0,0.0
2787,2.7.7.3,Dephospho-CoA,2.0,0.0
2788,2.7.7.3,Diphosphate,1.0,0.0
2789,2.7.7.3,Pantetheine 4'-phosphate,2.0,0.0
2790,2.7.7.31,Baicalin,2.0,0.0
2791,2.7.7.31,Cordycepin,1.0,0.0
2792,2.7.7.31,Genistein,2.0,0.0
2793,2.7.7.33,CDP-glucose,1.0,0.0
2794,2.7.7.33,Diphosphate,1.0,0.0
2795,2.7.7.35,AMP,4.0,0.0
2796,2.7.7.35,ATP,4.0,0.0
2797,2.7.7.35,Arsenic acid,4.0,0.0
2798,2.7.7.35,D-Ribose 5-phosphate,5.0,0.0
2799,2.7.7.4,3'-Phosphoadenylyl sulfate,5.0,0.0
2800,2.7.7.4,ADP,3.0,0.0
2801,2.7.7.4,AMP,5.0,1.0
2802,2.7.7.4,ATP,2.0,0.0
2803,2.7.7.4,"Adenosine 3',5'-bisphosphate",3.0,0.0
2804,2.7.7.4,Adenosine 5'-phosphoramidate,1.0,0.0
2805,2.7.7.4,Adenylyl sulfate,5.0,0.0
2806,2.7.7.4,Chloric acid,4.0,0.0
2807,2.7.7.4,Diphosphate,1.0,0.0
2808,2.7.7.4,Molybdate,2.0,0.0
2809,2.7.7.4,Selenate,1.0,0.0
2810,2.7.7.4,Sulfate,2.0,0.0
2811,2.7.7.4,Thiosulfuric acid,4.0,1.0
2812,2.7.7.41,CDP,1.0,0.0
2813,2.7.7.41,CMP,1.0,0.0
2814,2.7.7.41,Diphosphate,2.0,0.0
2815,2.7.7.41,dCTP,1.0,0.0
2816,2.7.7.43,CMP,1.0,0.0
2817,2.7.7.46,Sisomicin,1.0,0.0
2818,2.7.7.47,Kanamycin A,2.0,0.0
2819,2.7.7.47,"alpha,beta-Methylene ATP",2.0,0.0
2820,2.7.7.48,GDP,1.0,0.0
2821,2.7.7.48,"Guanosine 3',5'-bis(diphosphate)",1.0,0.0
2822,2.7.7.5,Orthophosphate,1.0,0.0
2823,2.7.7.5,Sulfate,1.0,0.0
2824,2.7.7.7,Aphidicolin,2.0,0.0
2825,2.7.7.7,Sphingosine,1.0,0.0
2826,2.7.7.7,dATP,1.0,0.0
2827,2.7.7.8,dADP,1.0,0.0
2828,2.7.7.9,D-Glucose 1-phosphate,1.0,0.0
2829,2.7.7.9,Diphosphate,2.0,0.0
2830,2.7.7.9,Orthophosphate,2.0,0.0
2831,2.7.7.9,UDP-D-galacturonate,2.0,0.0
2832,2.7.7.9,UDP-D-xylose,2.0,0.0
2833,2.7.7.9,UDP-alpha-D-galactose,2.0,0.0
2834,2.7.7.9,UDP-glucose,5.0,0.0
2835,2.7.7.9,UDP-glucuronate,2.0,0.0
2836,2.7.7.9,UTP,2.0,0.0
2837,2.7.8.11,ADP,1.0,0.0
2838,2.7.8.11,AMP,1.0,0.0
2839,2.7.8.11,ATP,1.0,0.0
2840,2.7.8.11,CDP,1.0,0.0
2841,2.7.8.11,Calcium chloride anhydrous,1.0,0.0
2842,2.7.8.11,Diphosphate,2.0,0.0
2843,2.7.8.11,GTP,1.0,0.0
2844,2.7.8.11,Orthophosphate,2.0,0.0
2845,2.7.8.11,UDP,1.0,0.0
2846,2.7.8.11,UTP,1.0,0.0
2847,2.7.8.17,UDP-glucose,1.0,0.0
2848,2.7.8.7,"Adenosine 3',5'-bisphosphate",1.0,0.0
2849,2.7.9.1,AMP,3.0,0.0
2850,2.7.9.1,ATP,9.0,0.0
2851,2.7.9.1,Adenosine,1.0,0.0
2852,2.7.9.1,Diphosphate,3.0,0.0
2853,2.7.9.1,GMP,1.0,0.0
2854,2.7.9.1,Orthophosphate,6.0,0.0
2855,2.7.9.1,Oxalate,2.0,0.0
2856,2.7.9.1,Phosphoenolpyruvate,2.0,0.0
2857,2.7.9.1,Pyruvate,4.0,0.0
2858,2.7.9.2,2-Oxoglutarate,1.0,0.0
2859,2.7.9.2,ADP,1.0,0.0
2860,2.7.9.2,AMP,1.0,0.0
2861,2.7.9.3,AMP,1.0,0.0
2862,2.8.1.2,2-Oxobutanoate,1.0,0.0
2863,2.8.1.2,2-Oxoglutarate,1.0,0.0
2864,2.8.1.2,Pyruvate,1.0,0.0
2865,2.8.1.2,Tetrathionate,1.0,0.0
2866,2.8.1.3,Sulfate,1.0,0.0
2867,2.8.1.4,Mercaptopyruvate,1.0,0.0
2868,2.8.2.1,2-Aminophenol,1.0,0.0
2869,2.8.2.1,3'-Phosphoadenylyl sulfate,1.0,0.0
2870,2.8.2.1,4-Ethylphenol,1.0,0.0
2871,2.8.2.1,4-Nitrophenol,4.0,0.0
2872,2.8.2.1,4-n-Pentylphenol,1.0,0.0
2873,2.8.2.1,ATP,1.0,0.0
2874,2.8.2.1,"Adenosine 3',5'-bisphosphate",2.0,2.0
2875,2.8.2.1,Aspirin,2.0,0.0
2876,2.8.2.1,CoA,3.0,0.0
2877,2.8.2.1,Dopamine,2.0,0.0
2878,2.8.2.1,Ethynyl estradiol,3.0,0.0
2879,2.8.2.1,Meclofenamate,2.0,0.0
2880,2.8.2.1,Pyridoxal phosphate,1.0,0.0
2881,2.8.2.11,8-Anilino-1-naphthalene sulfonic acid,1.0,0.0
2882,2.8.2.11,"Adenosine 3',5'-bisphosphate",1.0,0.0
2883,2.8.2.11,Pyridoxal phosphate,1.0,0.0
2884,2.8.2.14,"Adenosine 3',5'-bisphosphate",1.0,0.0
2885,2.8.2.14,Glycolithocholate,1.0,0.0
2886,2.8.2.14,Isolithocholate,1.0,0.0
2887,2.8.2.15,"Adenosine 3',5'-bisphosphate",1.0,0.0
2888,2.8.2.15,Androsterone,1.0,0.0
2889,2.8.2.15,Dehydroepiandrosterone,3.0,0.0
2890,2.8.2.16,ADP,1.0,0.0
2891,2.8.2.16,AMP,1.0,0.0
2892,2.8.2.16,Adenylyl sulfate,1.0,0.0
2893,2.8.2.2,4-tert-Octylphenol,1.0,0.0
2894,2.8.2.2,"Adenosine 3',5'-bisphosphate",1.0,0.0
2895,2.8.2.2,Androsterone,7.0,0.0
2896,2.8.2.2,Dehydroepiandrosterone,9.0,0.0
2897,2.8.2.20,3'-Phosphoadenylyl sulfate,2.0,0.0
2898,2.8.2.20,"Adenosine 3',5'-bisphosphate",2.0,0.0
2899,2.8.2.22,4-Nitrophenol,4.0,0.0
2900,2.8.2.22,ATP,2.0,0.0
2901,2.8.2.22,Diphosphate,2.0,0.0
2902,2.8.2.22,Phenol,4.0,0.0
2903,2.8.2.24,"Adenosine 3',5'-bisphosphate",1.0,0.0
2904,2.8.2.32,"Adenosine 3',5'-bisphosphate",5.0,0.0
2905,2.8.2.34,3-Oxo-5beta-cholanate,1.0,0.0
2906,2.8.2.34,Chenodeoxycholate,1.0,0.0
2907,2.8.2.34,Glycolithocholate,1.0,0.0
2908,2.8.2.34,Ursodiol,2.0,0.0
2909,2.8.2.37,"Adenosine 3',5'-bisphosphate",2.0,0.0
2910,2.8.2.4,"3',4',7-Trihydroxyisoflavone",1.0,0.0
2911,2.8.2.4,3'-AMP,3.0,0.0
2912,2.8.2.4,3'-Phosphoadenylyl sulfate,3.0,0.0
2913,2.8.2.4,3-Deoxyestradiol,1.0,0.0
2914,2.8.2.4,"4-Aminoestra-1,3,5(10)-triene-3,17beta-diol",1.0,0.0
2915,2.8.2.4,"5alpha-Androstan-3beta,17beta-diol",1.0,0.0
2916,2.8.2.4,5beta-Dihydrotestosterone,1.0,0.0
2917,2.8.2.4,ADP,2.0,0.0
2918,2.8.2.4,"Adenosine 3',5'-bisphosphate",1.0,0.0
2919,2.8.2.4,Adenylyl sulfate,1.0,0.0
